V1
ANGOLA
""
""
"                 Table 2c. Angola: Statement of Central Government Operations, 2019–24"
"                             (Percent of non-oil GDP, unless otherwise indicated)"
                                                                                    2019          2020        2021         2022       2023         2024
                                                                                           Est.               Prel.                 Proj.
""
 Revenue                                                                               30.6         28.5         31.8      32.2       27.8         26.0
   Taxes                                                                               28.4         26.7         30.3      29.8       24.7         22.9
     Oil                                                                               18.5         14.6         18.5      19.3       14.9         13.0
     Non-oil                                                                            9.9         12.1         11.8      10.4        9.8          9.8
   Social contributions                                                                 1.5          1.3          1.0       1.0        0.7          0.8
   Grants                                                                               0.0          0.0          0.0       0.0        0.0          0.0
   Other revenue                                                                        0.7          0.5          0.5       1.4        2.4          2.3
""
 Expenditure                                                                           29.5         31.1         27.8      29.8       28.3         28.5
   Current expenditure                                                                 24.2         23.9         22.4      22.1       21.8         22.3
     Compensation of employees                                                          9.4          8.4          7.6       5.8        5.9          5.9
     Use of goods and services                                                          4.0          3.9          4.6       5.2        6.0          5.8
     Interest                                                                           8.1          9.3          7.5       6.0        5.4          6.5
       Domestic                                                                         3.7          4.1          3.7       3.2        2.4          2.8
       Foreign                                                                          4.3          5.2          3.7       2.8        3.1          3.7
      Subsidies 1                                                                       0.4          0.2          0.6      3.7         3.1         2.9
      Other expense                                                                     2.4          2.2          2.1      1.4         1.3         1.3
     Net acquisition of nonfinancial assets                                             5.3          7.2          5.3      7.7         6.5         6.2
""
 Net lending (+) / Net borrowing (-)                                                    1.1         -2.6          4.1      2.3         -0.5        -2.5
""
 Statistical discrepancy                                                                -0.3         2.8          0.0       0.0        0.0         0.0
""
 Net acquisition of financial assets (+: increase)                                     -0.6         -6.9          8.1      -1.0        0.6         0.2
  Domestic                                                                              0.5         -6.3          7.0      -3.1        0.6         0.2
       Cash and deposits 2                                                              -0.5        -4.3          7.3      -2.7        0.6         0.4
       Equity and investment fund shares                                                 1.0        -2.0         -0.3      -0.5        0.0         -0.2
       Other accounts receivable                                                         0.0         0.0          0.0       0.0        0.0         0.0
     Foreign                                                                            -1.1        -0.7          1.1       2.1        0.0         0.0
""
 Net incurrence of liabilities (+: increase)                                           -4.1         -0.5          4.1      -3.3        1.1         2.3
  Domestic                                                                             -5.4         -3.2         -1.5      -3.7        0.1         0.5
    Debt securities                                                                     0.0         -3.2          0.1      -1.3        0.6         1.4
       Disbursements                                                                    8.5         12.7         10.4       6.1        5.9         6.1
       Amortizations                                                                   -8.5        -15.8        -10.3      -7.4        -5.3        -4.7
    Loans                                                                              -1.6          0.5         -1.0      -0.1        -0.1        -0.1
       Other accounts payable3                                                         -3.8         -0.5         -1.6      -2.4        -0.5        -0.9
     Foreign                                                                            1.3          2.6          5.6       0.4        1.0         1.8
       Disbursements                                                                   12.7          7.3         10.0       7.4        6.1         7.7
       Amortizations                                                                   -9.5         -6.5         -5.1      -5.5        -4.7        -4.8
""
 Memorandum items:
 Non-oil primary fiscal balance                                                        -8.8         -7.6         -6.3      -10.4       -9.5        -8.7
" Angola oil price (average, U.S. dollars per barrel)                                   65.0         41.3         68.5      97.8        81.6        77.4"
 Social expenditures 4                                                                   8.1         7.0          8.6       8.8        8.4         8.1
 Public sector debt (gross)5                                                          164.3        184.9        125.2      90.6        84.1        80.4
   Of which : Central Government                                                      151.4        171.4        112.4      83.4        78.0        79.5
 Sources: Angolan authorities; and IMF staff estimates and projections.
 1
"     Subsidies include gasoline and diesel subsidies beginning in 2022, in line with their inclusion in the 2022 budget."
 2
     Historical figures may include valuation effects related to FX-denominated deposits. Projections for 2020-23 include deposit withdrawals from FSDEA.
 3
     Includes repayment of debt owed to Sonangol related to the National Urbanization and Housing Plan (PNUH).
 4
"     Spending on education, health, social protection, and housing and community services."
 5
"     Includes debt of the Central Government, external debt of state oil company Sonangol and state airline company TAAG, and guaranteed debt."
""
""
""
""
28      INTERNATIONAL MONETARY FUND
