V1
AUSTRIA
""
""
""
"                                         Table 2. Austria: Fiscal Accounts, 2015–23"
"                                        (In percent of GDP, unless otherwise indicated)"
                                                      2015       2016      2017   2018   2019   2020       2021   2022   2023
                                                                                                 Projections
""
""
 GENERAL GOVERNMENT OPERATIONS
""
 Revenue                                              49.9       49.0      48.3   48.2   48.1   48.0      48.0    48.0   48.0
  Tax revenue                                         28.6       27.5      27.2   27.2   27.1   27.1      27.0    27.1   27.1
   Direct taxes                                       14.1       12.9      12.9   13.0   13.0   13.1      13.1    13.1   13.1
     Of which: Personal income tax                    10.7        9.4       9.4    9.5    9.5    9.5       9.5     9.5    9.5
       Corporate income tax                            2.3        2.4       2.4    2.5    2.5    2.5       2.5     2.5    2.5
   Indirect taxes                                     14.5       14.6      14.3   14.1   14.0   14.0      13.9    13.9   13.9
     Of which: VAT                                     7.6        7.7       7.5    7.5    7.4    7.4       7.4     7.4    7.4
  Social contributions                                15.1       15.3      15.1   15.1   15.1   15.1      15.1    15.1   15.1
  Other current revenue                                6.2        6.2       6.0    6.0    5.9    5.8       5.8     5.8    5.8
 Expenditure                                          51.0       50.6      49.0   48.4   48.1   47.8      47.8    48.0   48.2
  Expense                                             48.0       47.6      46.0   45.4   45.0   44.8      44.8    45.0   45.2
    Compensation of employees                         10.7       10.7      10.6   10.5   10.5   10.5      10.4    10.4   10.5
    Goods and services                                 6.4        6.4       6.1    6.0    5.9    5.9       5.9     6.0    6.1
    Social benefits                                   22.8       22.9      22.2   21.9   21.9   21.9      22.0    22.2   22.3
    Other current transfers                            2.7        2.8       2.5    2.5    2.4    2.4       2.4     2.5    2.5
    Capital transfers                                  1.3        0.8       0.8    0.9    0.8    0.9       0.9     0.8    0.8
    Interest                                           2.3        2.1       1.8    1.6    1.5    1.4       1.3     1.2    1.2
    Subsidies                                          1.3        1.4       1.4    1.5    1.5    1.5       1.4     1.3    1.3
    Other                                              0.5        0.5       0.5    0.4    0.4    0.4       0.4     0.4    0.5
  Acquisition of nonfinancial assets                   3.0        3.0       3.0    3.0    3.0    3.0       3.1     3.1    3.1
   Of which: Gross fixed capital formation             3.0        3.0       3.0    3.0    3.0    3.0       3.1     3.1    3.1
 Operating balance                                      1.9        1.4      2.3    2.9    3.0    3.2       3.2     3.0    2.8
 Primary balance                                        1.3        0.5      1.1    1.4    1.5    1.6       1.5     1.2    0.9
 Net lending/borrowing                                 -1.0       -1.6     -0.7   -0.2    0.0    0.1       0.1    -0.1   -0.3
""
 GENERAL GOVERNMENT BALANCE SHEET
""
 Financial liabilities                                 108           108   101     96     92      88        84     82     79
   Gross debt                                           95            96    89     84     80      77        74     71     69
   Other                                                12            12    12     12     11      11        11     10     10
 Financial assets                                       50            50    47     45     43      42        40     39     37
 Net financial worth                                    -57          -59    -54    -51    -49    -46       -44     -43    -42
 Net debt                                                69           70     66     62     60     57        54      52     51
""
 Gross debt (Maastricht def.)                         84.3       83.6      78.5   74.2   70.9   67.8      65.0    62.8   60.9
 Guarantees                                           23.1       20.5      16.6   15.8   15.2   14.7      14.2    13.7    13
""
 MEMORANDUM ITEMS
""
 Cyclically adjusted balance                           -0.1       -0.7     -0.6   -0.7   -0.8   -0.5       -0.4   -0.5   -0.6
 Structural balance 1/                                  0.5       -0.6     -0.6   -0.7   -0.8   -0.5       -0.4   -0.5   -0.6
 Structural primary balance 1/                          2.8        1.5      1.2    0.9    0.7    0.9        0.9    0.8    0.6
 Change in real revenue (percent)                       3.3       -0.3      0.8    2.6    1.4    1.3       1.5     1.5    1.6
 Change in real primary expenditure (percent)           0.0        1.3     -0.5    2.0    1.3    1.2       1.8     2.2    2.1
 Nominal GDP (bn €)                                    344           353   370    387    403     417       433    449    465
""
 Sources: Authorities' data and IMF staff estimates and projections.
 1/ One-off measures as defined in the Austrian Stability Program.
""
""
""
""
22     INTERNATIONAL MONETARY FUND
