V1
                                                                                                                                                                                ALGERIA
""
""
""
"                    Table 4. Algeria: Summary of Central Government Operations, 2014–231"
                                   (In percent of GDP unless otherwise indicated)
                                                                                                                 Prel.                                  Proj.
""
                                                                             2014        2015       2016        2017        2018       2019          2020       2021    2022      2023
""
                                                                                                                 (In percent of GDP)
Budget revenue and grants                                                     33.3        30.6       28.8        32.7      30.6      28.2            27.0       26.3    25.9       25.3
 Hydrocarbon revenue 2/                                                       19.7        14.2        9.7        12.5        12.4       11.2         10.4       10.0     9.7        9.4
 Nonhydrocarbon revenue                                                       13.6        16.3       19.1        20.2        18.2       17.0         16.6       16.3    16.2       15.9
  Tax revenue                                                                 12.1        14.1       14.3        14.1        13.8       13.9         13.8       14.1    14.3       14.5
  Nontax revenues                                                              1.5         2.2        4.9         6.1         4.4        3.1          2.8        2.1     1.8        1.4
   o/w Bank of Algeria dividends and interests                                 0.7         0.5        3.5         4.9         3.3        1.9          1.6        1.0     0.6        0.2
 Grants                                                                        0.0         0.0        0.0         0.0         0.0        0.0          0.0        0.0     0.0        0.0
Total expenditure                                                             40.6        45.8       41.9        39.1        38.9       32.5         29.8       27.9    25.9       25.3
 Current expenditure                                                          26.1        27.6       26.3        25.2        23.9       20.4         19.2       18.7    18.1       17.5
  Personnel expenditure                                                       11.3        12.7       12.7        11.6        10.3        9.6          9.1        8.8     8.6        8.4
  Current transfers                                                           12.4        12.2       11.0        11.0        11.6        8.7          8.0        7.8     7.3        6.9
 Capital expenditure                                                          14.5        18.2       15.6        13.9        15.0       12.2         10.6        9.2     7.8        7.8
Budget balance                                                                 -7.3      -15.3      -13.1        -6.4       -8.3         -4.3         -2.8       -1.6     0.0       0.0
Overall balance                                                                -8.0      -15.7      -13.5        -8.8       -9.0         -4.8         -3.0       -1.7    -0.1       0.0
Overall balance (excluding Bank of Algeria dividends)                          -8.7      -16.2      -17.0       -13.7      -12.3         -6.8         -4.6       -2.7    -0.7      -0.2
Primary overall balance                                                        -7.8      -15.4      -13.2        -8.0       -8.6         -4.3         -2.4       -1.1     0.5       0.5
Nonhydrocarbon balance                                                       -27.7       -29.9      -23.1       -21.3      -21.4       -16.1         -13.4      -11.7    -9.8      -9.4
Financing                                                                       8.0       15.7       13.5         8.8         9.0        4.8           3.0        1.7     0.1       0.0
  Domestic                                                                      8.0       15.7       12.9         8.8         9.0        5.8           3.1        1.7     0.1       0.1
   Bank 3/                                                                      6.8       14.9       12.5         7.3        12.6        5.8           3.1        1.7     0.1       0.1
      o/w central bank                                                          0.0        0.0        0.0        11.6         9.9        5.1           3.1        1.7     0.1       0.1
   Nonbank                                                                      1.2        0.8        0.4         1.5        -3.5        0.0           0.0        0.0     0.0       0.0
  Foreign                                                                       0.0        0.0        0.6         0.0        -0.1       -0.1           0.0        0.0    -0.1       0.0
""
                                                                                                             (In percent of non-oil GDP)
Budget revenue and grants                                                     45.6        37.6       34.8        40.4      38.6      34.7            32.8       31.7    31.0       30.1
 Hydrocarbon revenue 2/                                                       27.0        17.5       11.7        15.5        15.6       13.8         12.6       12.1    11.6       11.2
 Nonhydrocarbon revenue                                                       18.7        20.1       23.1        24.9        23.0       20.9         20.2       19.6    19.4       18.9
  Tax revenue                                                                 16.6        17.4       17.3        17.4        17.4       17.1         16.8       17.0    17.2       17.3
  Nontax revenues                                                              2.1         2.8        5.9         7.5         5.6        3.8          3.4        2.6     2.2        1.6
 Grants                                                                        0.0         0.0        0.0         0.0         0.0        0.0          0.0        0.0     0.0        0.0
Total expenditure                                                             55.7        56.4       50.7        48.3        49.1       40.1         36.2       33.5    31.0       30.0
 Current expenditure                                                          35.8        34.0       31.9        31.1        30.1       25.1         23.3       22.5    21.7       20.8
 Capital expenditure                                                          19.9        22.4       18.9        17.2        18.9       15.0         12.9       11.1     9.3        9.2
Budget balance                                                               -10.0       -18.8      -15.9        -7.9      -10.5        -5.3          -3.4       -1.9     0.0       0.0
Overall balance                                                              -10.9       -19.3      -16.3       -10.9      -11.3        -6.0          -3.7       -2.0    -0.1       0.0
Primary overall balance                                                      -10.6       -19.0      -16.0        -9.9      -10.8        -5.3          -2.9       -1.3     0.6       0.7
Nonhydrocarbon balance                                                       -37.9       -36.8      -28.0       -26.4      -26.9       -19.8         -16.3      -14.1   -11.7     -11.1
Nonhydrocarbon balance (excluding Bank of Algeria dividends)                 -38.9       -37.5      -32.2       -32.4      -31.1       -22.2         -18.2      -15.3   -12.5     -11.3
Financing                                                                     10.9        19.3       16.3        10.9        11.3         6.0          3.7        2.0     0.1       0.0
  Domestic                                                                    11.0        19.3       15.6        10.9        11.4         7.1          3.7        2.1     0.1       0.1
   Bank 3/                                                                     9.3        18.3       15.1         9.1        15.9         7.1          3.7        2.1     0.1       0.1
     o/w central bank                                                           0.0        0.0         0.0       14.3        12.5        6.3           3.7        2.1     0.1       0.1
  Nonbank 4/                                                                    1.6        1.0         0.4        1.8        -4.5        0.0           0.0        0.0     0.0       0.0
 Foreign                                                                        0.0        0.0         0.7        0.0        -0.1       -0.1           0.0       -0.1    -0.1      -0.1
""
""
 Sources: Algerian authorities; and IMF staff estimates and projections.
 1/ On cash basis.
 2/ Including Sonatrach dividends.
 3/ Bank financing includes domestic debt issuance and a drawdown of the oil stabilization fund and other government deposits at the central bank.
 4/ Includes proceeds from sales of state-owned assets.
""
""
""
""
                                                                                                                         INTERNATIONAL MONETARY FUND                                27
