V1
PRINCIPALITY OF ANDORRA
""
""
""
                                          Table 4. Andorra: General Government Operations
                                                                                                  Estimate                                      Projections
                                                             2017         2018         2019         2020          2021          2022         2023        2024         2025      2026
                                                                                                              (millions national currency)
"     Revenue                                                 1,008.5      1,048.6      1,071.4      1,021.8       1,016.9       1,075.6      1,131.3     1,187.5      1,231.4   1,273.2"
        Tax Revenue                                            398.2        409.1       416.3        359.4          383.5        416.7        441.0           464.6    482.5     500.4
           Income                                               71.2         84.3         88.0         96.3          81.4          89.1        93.7            98.2    102.0     105.3
           Goods and services                                  135.1        128.5       132.9        107.7          117.9        128.3        136.0           143.5    149.0     154.8
           International trade                                 154.0        156.2       150.9        108.1          133.2        145.0        153.7           162.2    168.4     174.8
           Other                                                37.8         40.2         44.5         47.4          51.1          54.3        57.5            60.7     63.0      65.5
        Social Contributions                                   249.9        263.9       274.2        269.0          268.4        277.7        289.4           302.7    312.4     322.4
        Grants                                                   0.0          0.0          0.0          0.0           0.0           0.0          0.0            0.0       0.0       0.0
        Other Revenue                                          360.4        375.6       381.0        393.4          364.9        381.3        400.9           420.2    436.5     450.5
"     Expenditure                                               920.1        973.6      1,003.2      1,093.2       1,078.4       1,057.8      1,071.7     1,105.2      1,131.5   1,160.1"
"      Current expenditure                                      799.5        839.7       863.7        960.5          938.6        923.6        932.8           962.1    985.1    1,008.7"
        Wages and salaries                                     212.3       219.4        226.8        236.0          240.1        247.8        252.6           257.5    262.4     267.5
        Goods and services                                     127.5       136.6        138.4        156.2          164.5        164.8        165.7           166.5    167.3     168.2
        Subsidies and transfers                                441.5       467.3        485.0        553.7          517.9        494.1        496.8           519.6    536.2     553.3
        Interest                                                18.0         16.4         13.6        14.5           16.0          16.9        17.7            18.5     19.1      19.7
      Net acquisition of non-financial assets                  120.6       133.9        139.5        132.7          139.8        134.2        138.9           143.2    146.4     151.4
        Net acquisition of fixed assets                         66.9         80.1         88.2        62.8           78.6          80.2        82.2            85.1     88.0      91.1
        Capital transfers                                       53.8         53.8         51.3        69.9           61.2          54.0        56.7            58.1     58.4      60.2
     Primary balance                                           106.4         91.4         81.8        -56.8         -45.5          34.7        77.4           100.8    119.0     132.8
     Net lending/borrowing                                      88.4         75.1         68.2        -71.3         -61.5          17.8        59.7            82.2     99.9     113.1
     Financing
      Net acquisition of financial assets                           …            …            …      210.4          158.0         -37.2      -126.1            76.4     94.1     107.3
        Domestic                                                    …            …            …      210.4          158.0         -37.2      -126.1            76.4     94.1     107.3
        External                                                    …            …            …         0.0           0.0           0.0          0.0            0.0       0.0       0.0
      Net incurrence of liabilities                                 …            …            …      281.7          219.5         -55.1      -185.8            -5.8      -5.8      -5.8
        Domestic                                                    …            …            …      169.7         -180.5       -655.1       -185.8            -5.8      -5.8      -5.8
         New Issuances                                              …            …            …      515.5           15.5          15.5        15.5            15.5     15.5      15.5
         Amortizations                                              …            …            …      345.8          196.0        670.6        201.3            21.3     21.3      21.3
        External                                                    …            …            …      112.0          400.0        600.0           0.0            0.0       0.0       0.0
         New Issuances                                              …            …            …      112.0          500.0        600.0           0.0            0.0       0.0       0.0
         Amortizations                                              …            …            …         0.0         100.0           0.0          0.0            0.0       0.0       0.0
                                                                                                                   (percent of GDP)
     Revenue                                                    38.0         38.5         38.0        41.1           38.4          38.6        38.7            38.8     39.0      39.1
       Tax Revenue                                              15.0         15.0         14.8        14.5           14.5          15.0        15.1            15.2     15.3      15.4
           Income                                                2.7          3.1          3.1          3.9           3.1           3.2          3.2            3.2       3.2       3.2
           Goods and services                                    5.1          4.7          4.7          4.3           4.5           4.6          4.7            4.7       4.7       4.8
           International trade                                   5.8          5.7          5.4          4.4           5.0           5.2          5.3            5.3       5.3       5.4
           Other                                                 1.4          1.5          1.6          1.9           1.9           1.9          2.0            2.0       2.0       2.0
        Social Contributions                                     9.4          9.7          9.7         10.8          10.1          10.0          9.9            9.9       9.9       9.9
        Grants                                                   0.0          0.0          0.0          0.0           0.0           0.0          0.0            0.0       0.0       0.0
        Other Revenue                                           13.6         13.8         13.5         15.8          13.8          13.7        13.7            13.7     13.8      13.8
""
     Expenditure                                                34.6         35.7         35.6         44.0          40.8          38.0        36.7            36.1     35.9      35.6
      Current expenditure                                       30.1         30.8         30.6         38.7          35.5          33.2        31.9            31.5     31.2      31.0
        Wages and salaries                                       8.0          8.1          8.0          9.5           9.1           8.9          8.6            8.4       8.3       8.2
        Goods and services                                       4.8          5.0          4.9          6.3           6.2           5.9          5.7            5.4       5.3       5.2
        Subsidies and transfers                                 16.6         17.1         17.2         22.3          19.6          17.8        17.0            17.0     17.0      17.0
        Interest                                                 0.7          0.6          0.5          0.6           0.6           0.6          0.6            0.6       0.6       0.6
      Net acquisition of non-financial assets                    4.5          4.9          5.0          5.3           5.3           4.8          4.8            4.7       4.6       4.6
        Net acquisition of fixed assets                          2.5          2.9          3.1          2.5           3.0           2.9          2.8            2.8       2.8       2.8
        Capital transfers                                        2.0          2.0          1.8          2.8           2.3           1.9          1.9            1.9       1.9       1.9
     Primary balance                                             4.0          3.4          2.9         -2.3          -1.7           1.2          2.6            3.3       3.8       4.1
     Net lending/borrowing                                       3.3          2.8          2.4         -2.9          -2.3           0.6          2.0            2.7       3.2       3.5
     Financing
      Net acquisition of financial assets                           …            …            …         8.5           6.0          -1.3         -4.3            2.5       3.0       3.3
        Domestic                                                    …            …            …         8.5           6.0          -1.3         -4.3            2.5       3.0       3.3
        External                                                    …            …            …         0.0           0.0           0.0          0.0            0.0       0.0       0.0
      Net incurrence of liabilities                                 …            …            …       11.3            8.3          -2.0         -6.4           -0.2      -0.2      -0.2
        Domestic                                                    …            …            …         6.8          -6.8         -23.5         -6.4           -0.2      -0.2      -0.2
         New Issuances                                              …            …            …       20.8            0.6           0.6          0.5            0.5       0.5       0.5
         Amortizations                                              …            …            …       13.9            7.4          24.1          6.9            0.7       0.7       0.7
        External                                                    …            …            …         4.5          15.1          21.6          0.0            0.0       0.0       0.0
         New Issuances                                              …            …            …         4.5          18.9          21.6          0.0            0.0       0.0       0.0
         Amortizations                                              …            …            …         0.0           3.8           0.0          0.0            0.0       0.0       0.0
""
     Memorandum items
      Gross Financing Needs (millions of euros)                     …            …            …      417.2          357.5        652.8        141.7             0.0       0.0       0.0
        Percent of GDP                                              …            …            …       16.8           13.5          23.5          4.8            0.0       0.0       0.0
"      Public Debt (millions of euros)                        1,004.6       990.5        997.7       1,279.4       1,498.9      1,443.8       1,258.0     1,252.2      1,246.4   1,240.6"
        Percent of GDP                                          37.8         36.3         35.4        51.5           56.7          51.9        43.0            41.0     39.5      38.1
"      Nominal GDP (in millions of euros)                     2,655.8      2,725.3      2,818.4      2,484.2       2,644.7      2,783.6       2,923.5     3,057.5      3,155.2   3,256.3"
""
"      Sources: Govern d'Andorra Department of Statistics, Andorran authorities and IMF staff calculations."
"      Note: The general government comprises the central government, local governments and the social security fund."
""
""
""
""
22   INTERNATIONAL MONETARY FUND
