V1
                                                                                                                                                                                                                                ARGENTINA
34
""
""
""
""
                                                                                    Table 3. Argentina: Consolidated Public Sector Operations
INTERNATIONAL MONETARY FUND
""
""
""
""
                                                                                                                                  Prog.      Prog.                                         Proj.
                                                                                                   2015          2016     2017    2018       2019        2018          2019         2020           2021      2022      2023
                                                                                                                                             (Billions of Argentine pesos)
"                               Revenues                                                          2,106.6     2,871.6    3,677.9   4,633.7    5,718.0     4,859.0       6,570.0      7,883.7        8,862.6   9,633.3 10,384.9"
"                                Tax revenues                                                     1,429.9     1,952.8    2,454.3   3,076.3     3,794.8     3,262.6      4,525.1       5,452.7       6,147.0   6,627.8  7,090.3"
"                                Social security contributions                                      529.5       709.8      924.6   1,153.2     1,429.1     1,170.2      1,455.7      1,745.4        2,013.5   2,261.6  2,491.3"
                                Other revenues                                                     147.2       209.0      299.1     404.2       494.1       426.3        589.2         685.6         702.1     743.9    803.3
"                               Primary Expenditures 1/                                           2,368.9     3,255.5    4,144.9   4,998.7    5,926.7     5,197.0       6,558.1      7,621.0        8,534.8   9,221.6 9,898.4"
"                                Wages                                                              738.7     1,008.4    1,281.3   1,527.6     1,801.6     1,577.6      2,043.3      2,361.1        2,641.8   2,889.9  3,108.6"
                                Goods and services                                                 169.7       205.8      279.9     313.7       364.5       324.6        399.6         450.8         498.2     531.9    558.6
"                                Transfers to the private sector                                    932.0     1,343.4    1,680.2   2,070.5     2,514.5     2,159.1      2,755.5      3,178.4        3,512.4   3,748.2  3,998.3"
"                                  Of which: federal pensions                                       535.7       734.7    1,022.5   1,312.1     1,643.4     1,310.4      1,763.1      2,193.7        2,439.3   2,636.5  2,829.8"
                                Capital spending                                                   216.6       280.1      375.5     404.4       416.0       471.0        543.9         674.1         780.0     873.2    988.6
"                                Other                                                              311.9       417.9      528.1     682.5       830.0       664.8        815.9         956.5       1,102.5   1,178.4  1,244.4"
                               Primary balance                                                    -262.3      -383.9     -467.0    -365.0     -208.7      -338.0          11.9        262.7          327.8     411.7    486.5
"                                Interest cash                                                       94.2       155.7      262.8     313.4       403.7       406.0        779.0         920.0       1,073.4   1,048.7  1,018.0"
                               Overall balance                                                    -357.3      -542.3     -737.6    -678.4     -612.4      -751.8        -782.0       -672.5         -760.0    -649.4   -542.5
                                                                                                                                     (Percent of GDP unless otherwise indicated)
                               Revenues                                                             35.4         35.1     34.8        35.0      35.6         35.7            36.8      37.4           37.0      36.6     36.3
                                Tax revenues                                                        24.0         23.8     23.3        23.2      23.6         23.9            25.3      25.9           25.7      25.1     24.8
                                Social security contributions                                        8.9          8.7      8.8         8.7       8.9          8.6             8.1       8.3            8.4       8.6      8.7
                                Other revenues                                                       2.5          2.6      2.8         3.1       3.1          3.1             3.3       3.3            2.9       2.8      2.8
                               Primary expenditures 1/                                              39.8         39.8     39.3        37.8      36.9         38.1            36.7      36.2           35.6      35.0     34.6
                                Wages                                                               12.4         12.3     12.1        11.5      11.2         11.6            11.4      11.2           11.0      11.0     10.9
                                Goods and services                                                   2.8          2.5      2.7         2.4       2.3          2.4             2.2       2.1            2.1       2.0      2.0
                                Transfers to the private sector                                     15.7         16.4     15.9        15.6      15.6         15.8            15.4      15.1           14.7      14.2     14.0
                                  Of which: federal pensions                                         9.0          9.0      9.7         9.9      10.2          9.6             9.9      10.4           10.2      10.0      9.9
                                Capital spending                                                     3.6          3.4      3.6         3.1       2.6          3.5             3.0       3.2            3.3       3.3      3.5
                                Other                                                                5.2          5.1      5.0         5.2       5.2          4.9             4.6       4.5            4.6       4.5      4.4
                               Primary balance                                                      -4.4         -4.7     -4.4        -2.8      -1.3         -2.5             0.1       1.2            1.4       1.6      1.7
                                Interest cash                                                        1.6          1.9      2.5         2.4       2.5          3.0             4.4       4.4            4.5       4.0      3.6
                               Overall balance                                                      -6.0         -6.6     -7.0        -5.1      -3.8         -5.5            -4.4      -3.2           -3.2      -2.5     -1.9
                               Structural primary balance (General Government) 2/                   -5.0         -4.8     -4.4        -1.9      -0.3         -1.0             2.1       3.0            2.7       2.5      2.3
                               Structural primary balance (Federal) 2/                              -4.2         -4.5     -4.1        -2.1      -0.6         -1.7             1.4       2.2            2.0       1.9      1.8
                               Structural primary balance (Provinces) 2/                            -0.8         -0.3     -0.3         0.2       0.3          0.7             0.7       0.8            0.7       0.6      0.5
""
                              Sources: Ministerio de Economía y Finanzas Públicas and Fund staff calculations.
"                              1/ Include transfers to municipalities, but exclude municipal spending."
                              2/ Percent of potential GDP.
