V1
                                                                                                                REPUBLIC OF AZERBAIJAN
""
""
""
"     Table 3b. Azerbaijan: Statement of Consolidated Government Operations, 2017–24"
                                 (In percent of non-oil GDP)
                                                                                                     Projections
                                                       2017       2018       2019        2020       2021       2022          2023         2024
""
Revenue
 Total revenue                                            53.5       66.0        63.1       58.7        56.4       53.5       51.1        48.9
  Tax revenue                                             22.2       24.0        25.5       24.1        22.8       21.7       20.9        20.2
      Income taxes                                         7.4        7.5         9.2        8.6         8.1        7.6        7.3         7.0
          Individual income tax                            2.3        2.1         1.8        1.8         1.8        1.8        1.8         1.8
          Enterprise profits tax                           5.1        5.3         7.4        6.8         6.3        5.8        5.5         5.2
      Value added tax (VAT)                                8.1        9.1         8.6        8.1         7.6        7.2        6.9         6.6
      Excise taxes                                         1.4        1.6         2.1        2.0         1.9        1.9        1.8         1.8
      Taxes on international trade                         2.3        2.7         2.6        2.4         2.2        2.1        2.0         1.9
     Other taxes                                           1.6        1.5         1.4        1.4         1.4        1.4        1.4         1.4
      Social security contributions                        1.5        1.6         1.7        1.6         1.6        1.6        1.6         1.5
  Nontax revenue                                          31.2       41.9        37.5       34.6        33.5       31.7       30.2        28.8
      Of which : Oil Fund revenues                        27.0       37.6        32.1       29.8        28.5       26.7       25.2        23.9
  Tax credits for SOCAR energy subsidies                   0.0        0.0         0.0        0.0         0.0        0.0        0.0         0.0
  Grants                                                   0.0        0.0         0.0        0.0         0.0        0.0        0.0         0.0
Expenditure
 Total Expenditure                                        55.6       56.4        56.0       53.5        51.9       50.2       48.5        46.8
 Current Expense                                          39.6       32.5        36.9       40.1        38.6       37.7       36.3        34.8
  Compensation of employees                                8.8        9.4        12.8       12.8        12.8       12.8       12.8        12.8
  Use of goods and services                                6.6        6.6         7.8        7.4         8.1        8.2        8.4         9.9
  Social benefits                                          9.8        9.8        10.2       14.2        12.2       11.6       10.3         7.6
      Of which : Social protection fund                    2.9        2.9         2.9        2.9         2.9        2.9        2.9         2.9
  Subsidies                                                4.8        5.5         4.9        4.5         4.3        4.1        3.9         3.8
  Grants                                                   0.0        0.0         0.0        0.0         0.0        0.0        0.0         0.0
  Interest                                                 0.8        1.2         1.1        1.1         1.1        1.0        0.9         0.7
  Other expense 1/                                         8.8        0.0         0.0        0.0         0.0        0.1        0.1         0.1
""
Net Acquisition of Nonfinancial Assets                    16.0       23.9        19.1       13.4        13.3       12.5       12.2         12.0
Overall balance 1/                                        -2.1        9.5         7.1        5.3         4.5        3.3        2.5          2.2
Overall balance excluding one off items 2/                 3.4        9.5         7.1        5.3         4.5        3.3        2.5          2.2
Statistical discrepancy                                    0.0        0.0         0.0        0.0         0.0        0.0        0.0          0.0
Non-oil primary balance 3/                               -30.9      -32.1       -31.1      -30.0       -29.1      -28.1      -27.1        -26.1
""
Net financial transactions                                -2.1        9.5         7.1         5.3        4.5        3.3        2.5          2.2
  Net acquisition of financial assets                     11.0       10.7        12.1         7.9        6.3        4.7        4.0          3.6
     Oil Fund                                              4.4        9.8         8.4         4.6        2.9        1.1        0.4          0.1
     Privatizations and other sale of assets              -0.2       -0.2        -0.2        -0.2       -0.2       -0.2       -0.2         -0.2
     Banking system 4/                                    -1.4       -1.0        -0.7        -0.5       -0.5       -0.4       -0.4         -0.4
     Other                                                 8.3        2.1         4.5         4.0        4.2        4.2        4.2          4.1
""
  Net incurrence of liabilities                           13.2         1.1        5.0         2.7        1.8        1.4        1.4          1.5
    Debt securities                                        2.2        -2.3        1.6         1.5        1.4        1.3        1.4          1.5
      Of which: Domestic banking sector                    2.1        -2.3        0.7         0.4        0.4        0.3        0.0          0.0
    Loans (all external)                                  11.0         3.4        3.4         1.2        0.4        0.1        0.0          0.0
""
Memorandum items:
 Oil revenue                                              29.6       42.8        39.3       36.4        34.7       32.4       30.6        29.0
 Non-oil revenue 5/                                       23.9       23.2        23.8       22.3        21.7       21.1       20.5        20.0
 Non-oil tax revenue 6/                                   18.1       17.2        16.5       15.8        15.1       14.5       14.0        13.5
 Non-oil GDP (in billion of manats)                        45.0       46.9       49.7       52.7        56.0       59.6       63.5        67.8
Sources: Azerbaijani authorities; and IMF staff estimates and projections.
"1/ Includes the extraordinary SOFAZ transfer ($1.4 billion) to the CBA in 2017, and in 2019 a transfer of CBA profits (AzN 650 million)"
and expenditures for the NPL program (AzN 650 million).
2/ Excludes the impact of the 2017 extraordinary SOFAZ transfer ($1.4 billion) to the CBA.
3/ Defined as non-oil revenue minus total expenditure (excl. interest payments) and statistical discrepancies.
4/ Comprises government deposits in CBA and commercial banks.
"5/ Excludes AIOC profit tax, profit oil, and SOCAR profit tax, but includes VAT and excise taxes on oil and gas, tax withholding on the"
"AIOC's subcontractors, energy subsidies."
"6/ Tax revenue excluding AIOC and SOCAR profit tax, and social contributions."
""
""
""
""
                                                                                          INTERNATIONAL MONETARY FUND                             35
