V1
REPUBLIC OF AZERBAIJAN
""
""
""
"         Table 5. Azerbaijan: Statement of Consolidated Government Operations, 2018–26"
                                     (In percent of non-oil GDP)
                                                                                                                           Projections
                                                                     2018       2019       2020       2021       2022       2023      2024   2025    2026
 Revenue
  Total revenue                                                          64.7       65.7      47.1       48.2       49.1    45.7     43.1    40.8    39.0
   Tax revenue                                                           23.6       26.9      26.6       27.8       27.2    25.9     24.9    24.2    23.5
       Income taxes                                                       7.3        6.8       6.7        8.4        8.8     8.2      7.8     7.4     7.1
          Individual income tax                                           2.1        1.8       2.2        2.2        2.2     2.2      2.2     2.2     2.2
          Enterprise profits tax                                          5.2        4.9       4.5        6.2        6.6     6.0      5.5     5.1     4.9
       Value added tax (VAT)                                              9.0       10.0       9.3        8.6        8.0     7.6      7.3     7.2     7.0
       Excise taxes                                                       1.5        1.7       1.7        1.8        1.8     1.8      1.8     1.8     1.7
       Taxes on international trade                                       2.7        3.2       3.0        2.7        2.5     2.4      2.3     2.2     2.1
       Other taxes                                                        1.5        1.4       1.2        1.2        1.2     1.2      1.2     1.2     1.2
       Social security contributions                                      1.5        3.7       4.5        5.0        4.8     4.7      4.6     4.5     4.4
   Nontax revenue                                                        41.1       38.8      20.5       20.4       21.9    19.8     18.1    16.6    15.4
       Of which : Oil Fund revenues                                      36.9       36.9      18.0       19.2       20.7    18.6     17.0    15.5    14.3
   Grants                                                                 0.0        0.0       0.0        0.0        0.0     0.0      0.0     0.0     0.0
 Expenditure
  Total Expenditure                                                      55.5       52.8      56.3       56.7       53.5    52.0      50.5    49.0    48.5
  Current Expense                                                        32.1       34.2      40.2       41.4       40.4    40.1      39.7    39.7    39.8
   Compensation of employees                                              9.2       10.2      11.9       11.7       11.7    11.7      11.7    11.7    11.7
   Use of goods and services                                              6.6        7.5      11.5       12.2       12.2    12.5      12.5    12.7    12.9
   Social benefits                                                        9.6       10.5      10.9       10.9       10.1     9.6       9.2     9.1     9.0
       Of which : Social protection fund                                  2.8        3.4       2.3        2.9        2.6     2.3       2.3     2.3     2.3
   Subsidies                                                              5.4        4.8       4.7        5.4        5.3     5.2       5.1     5.0     4.9
   Grants                                                                 0.0        0.0       0.0        0.0        0.0     0.0       0.0     0.0     0.0
   Interest                                                               1.1        1.1       1.2        1.1        1.0     1.0       1.1     1.1     1.2
   Other expense                                                          0.0        0.0       0.0        0.0        0.0     0.0       0.0     0.0     0.0
 Net Acquisition of Nonfinancial Assets                                  23.5       18.6      16.1       15.2       13.1    11.9      10.7     9.3     8.7
 Overall balance                                                          9.2       13.0      -9.2       -8.5       -4.4    -6.3      -7.4    -8.2    -9.5
 Non-oil primary balance 1/                                            -31.7       -27.2     -30.3      -32.1      -30.2   -29.3     -28.2   -27.2   -26.9
 Net financial transactions                                               9.2       13.0      -9.2       -8.5       -4.4    -6.3      -7.4    -8.2    -9.5
   Net acquisition of financial assets                                   10.3       15.6      -7.8       -4.1       -0.6    -0.8      -0.9    -1.1    -1.0
     Privatizations and other sale of assets                             -0.2       -0.2      -0.1       -0.2       -0.2    -0.2      -0.3    -0.3    -0.3
        General government debt 2/                                        0.5        1.7      -1.6       -0.9       -0.7    -0.3      -0.3    -0.3    -0.3
        General government and government-guaranteed debt                 0.4       -1.7      -0.2        0.0        0.0     0.0       0.0     0.0     0.0
   Net incurrence of liabilities                                          1.1        2.6       1.4        4.3        3.8     5.5       6.5     7.1     8.6
     Debt securities                                                     -2.3        0.3       1.4        2.5        0.4     0.3       0.3     0.3     0.3
          Of which: Domestic banking sector                              -2.3        0.3       2.2        2.3        0.3     0.3       0.3     0.3     0.3
      External Loans                                                      3.4        2.4       1.8        1.1        0.8     0.8       0.8     0.7     0.7
         Other                                                            0.0        0.0      -1.9        0.7        2.6     4.4       5.4     6.1     7.6
 Memorandum items:
  Oil revenue                                                            42.0       41.2      22.3       24.7       26.7    24.0     21.9    20.0    18.6
  Non-oil revenue                                                        22.7       24.5      24.8       23.5       22.4    21.7     21.1    20.7    20.4
  Non-oil tax revenue 3/                                                 16.9       18.8      17.7       17.2       16.4    15.8     15.4    15.1    14.8
  Non-oil GDP (in billion of manats)                                     47.8       51.6      52.0       56.0       59.2    62.6     66.2    70.1    74.1
" Sources: National authorities, and IMF staff estimates and projections."
 1/ Defined as non-oil revenue minus total expenditure (excl. interest payments) and statistical discrepancies.
" 2/ Starting in 2021, includes guarantees issued to Aqracredit for its acquisition of distressed assets from the IBA."
" 3/ Tax revenue excluding AIOC and SOCAR profit tax, and social contributions."
""
""
""
""
31    INTERNATIONAL MONETARY FUND
