V1
BELGIUM
""
""
""
"               Table 3. Belgium: General Government Statement of Operations, 2018−25"
                                                                Est.                      Projections
                                                     2018      2019     2020       2021   2022    2023    2024   2025
                                                                       (In percent of GDP)
 Revenue                                              51.4     50.3     50.0       49.8    49.8   49.8    49.8    49.8
     Taxes                                            30.9     29.9     29.6       29.6    29.6   29.6    29.6    29.6
      Personal income tax                             12.1     11.7     11.7       11.7    11.7   11.7    11.7    11.7
      Corporate income tax                              4.4      3.9         3.7    3.6     3.6    3.6     3.6     3.6
      Taxes on property                                 2.0      2.0         2.0    2.0     2.0    2.0     2.0     2.0
      VAT                                               6.9      6.8         6.8    6.8     6.8    6.8     6.8     6.8
      Excise                                            2.7      2.6         2.7    2.7     2.7    2.7     2.7     2.7
      Other taxes                                       2.9      2.9         2.9    2.9     2.9    2.9     2.9     2.9
     Social contributions                             15.5     15.5     15.4       15.4    15.4   15.4    15.4    15.4
      Actual social contributions                     13.3     13.3     13.2       13.2    13.2   13.2    13.2    13.2
      Imputed social contributions                      2.2      2.2         2.2    2.2     2.2    2.2     2.2     2.2
     Other revenue (incl. grants)                       5.0      5.0         5.0    4.9     4.9    4.9     4.9     4.9
""
 Expenditure                                          52.1     51.9     52.3       52.4    52.3   52.5    52.8    53.0
     Expense                                          48.7     48.6     49.0       49.0    48.9   49.0    49.2    49.5
      Compensation of employees                       12.3     12.2     12.3       12.3    12.2   12.2    12.2    12.2
      Use of goods and services                         4.1      4.1         4.1    4.1     4.1    4.1     4.1     4.1
      Interest                                          2.1      1.9         1.8    1.6     1.4    1.3     1.3     1.3
      Subsidies                                         3.6      3.6         3.6    3.6     3.6    3.6     3.6     3.6
      Grants                                            1.1      1.1         1.1    1.1     1.1    1.1     1.1     1.1
      Social benefits                                 24.6     24.8     25.2       25.4    25.6   25.8    26.0    26.2
      Other expense                                     0.9      0.9         0.9    0.9     0.9    0.9     0.9     0.9
     Net acquisition of nonfinancial assets             3.4      3.3         3.3    3.4     3.4    3.5     3.6     3.5
""
 Gross operating balance                                2.7      1.7         1.0    0.9     0.9    0.8     0.6     0.4
 Net lending/borrowing                                 -0.7     -1.7     -2.3      -2.5    -2.5    -2.7   -3.0    -3.1
""
 Memorandum items
""
     Primary balance                                    1.4      0.2     -0.6      -0.9    -1.2    -1.4   -1.7    -1.8
     Structural fiscal adjustment                      -0.2     -0.5     -0.4      -0.2     0.0    -0.2   -0.3    -0.2
     Structural fiscal primary adjustment              -0.4     -0.7     -0.5      -0.4    -0.2    -0.3   -0.3    -0.1
     Gross government debt                           100.0     99.0     99.5       99.6    99.6   99.6    99.7   100.0
     Real growth of primary expenditure                 2.3      1.4         1.9    1.7     1.7    1.9     1.9     1.5
""
" Sources: Haver Analytics, Belgian authorities, and IMF staff projections."
""
""
""
""
26     INTERNATIONAL MONETARY FUND
