V1
                                                                                                                                                                  BARBADOS
""
""
""
"             Table 2a. Barbados: Central Government Operations, 2018/2019–2025/2026"
                                  (In millions of Barbados dollars) 1/
""
                                                                           Program        Proj.       Program      Proj.                      Projections
""
                                                   2018/19     2019/20      2020/21     2020/21       2021/22    2021/22       2022/23   2023/24      2024/25     2025/26
""
"Total revenue                                         2,994       3,156       2,762       2,613         3,162      2,874        3,143       3,286       3,436       3,592"
"Current revenue                                       2,994       3,144        2,751       2,602        3,150       2,861        3,130      3,272       3,421        3,577"
" Tax revenue                                          2,812       2,943        2,543       2,454        2,929       2,690        2,946      3,080       3,220        3,367"
   Income and profits                                   838         764         649          774         752         720          771         806           843       881
   Taxes on property                                    161         215         191          165         206         198          212         221           231       242
"   VAT                                                  941         967         852          732         953         819          897         938           981      1,025"
   Social levy (NSRL)                                    49            0           0              0         0              0        0           0             0          0
   Excise                                               271         251         230          195         254         239          256         268           280       293
   Import taxes                                         214         232         208          212         236         238          264         276           288       302
   Other taxes                                          338         515         412          376         530         476          546         571           597       624
 Nontax revenue                                         181         201         208          147         221         171          184         192           201       210
Capital revenue and grants                                0          12           11          12           12         13           13          14            15         15
""
"Total expenditure                                     3,024       2,772       3,019       3,030         3,233      3,080        3,224       3,266       3,300       3,431"
"Current expenditure                                   2,826       2,580        2,746       2,774        2,946       2,817        2,953      3,030       3,106        3,208"
" Wages, salaries and SSC                                812         807         809          817         825         820          839         859           879       899"
 Goods and services                                     356         375         397          419         416         373          378         385           381       398
 Interest                                               385         250         352          326         430         403          503         531           557       562
" Transfers                                            1,273       1,147        1,188       1,212        1,275       1,220        1,232      1,255       1,289        1,348"
   o/w Subsidies                                        136         100         133          149         151         124          111         117           122       127
   o/w Grants to public institutions                    815         689         687          691         735         706          703         701           710       743
   o/w Retirement benefits                              323         358         368          372         388         391          418         437           457       478
Capital expenditure and net lending                     198         192         273          256         287         263          271         236           194       223
""
CG Fiscal balance                                       -31         385        -257        -417          -71        -206          -81          21           135       161
CG Primary balance                                     354          634          95          -91         359         197          422         552           692       724
 Repayment of domestic arrears                          n.a.        140           43          72           48         40           41           0             0          0
CG Fiscal balance (net of arrears)                      n.a.        244        -301        -489         -119        -246         -122          21           135       161
CG Primary balance (net of arrears)                     n.a.        494          51        -163          311         157          381         552           692       724
""
Financing                                                31        -385         257         417           71         206           81         -21        -135        -161
"Net Financing - External                                346         109         639        1,018           36        166           13           8            -8       -317"
 Capital Markets                                          0            0           0              0         0              0        0           0             0          0
 Project Funds                                           88          72           78          68         100         124          100         100           100       100
 Policy Loans                                           350         150         560          800           80        180           80          80            80          0
   o/w IDB                                              200            0        360          400           80         80           80          80            80          0
   o/w CDB                                              150         150            0              0         0        100            0           0             0          0
   o/w CAF                                                0            0        200          200            0              0        0           0             0          0
   o/w WB                                                 0            0         n.a.        200          n.a.             0        0           0             0          0
 IMF EFF budget support                                   0            0        180          340            0              0        0           0             0          0
 Privatization 2/                                         0            0           0              0         0              0        0           0             0          0
 Amortization                                            92         112         180          190         144         138          167         172           188       417
Net Financing - Central Gov. 5/                         575        -353        -338         -530           83         80          109         -28        -128         156
 Central bank                                          -166         165            0        -367            0        200          150           0             0          0
 Commercial banks                                        83         -58          -72              0         0              0        0           0             0          0
 National Insurance Scheme                                9         -85        -200         -207           83       -164          -41         -28        -128         156
 Private non-bank 3/                                   -120        -218            0          44            0         44            0           0             0          0
 Others/unidentified financing                          769        -157          -66              0         0              0        0           0             0          0
""
Memorandum items:
Financing Gap 6/                                          0            0           0         180            0              0        0           0             0          0
 IMF EFF budget support 6/                                0            0         n.a.        180          n.a.             0        0           0             0          0
 Unidentified financing                                   0            0         n.a.             0       n.a.             0        0           0             0          0
"CG gross debt 4/                                     12,949      12,674      12,651       13,247       12,722     13,346        13,324     13,303      13,149       12,930"
"Nominal GDP, FY (BDS$ millions)                      10,235      10,033        9,467       9,076       10,245       9,862       10,557     11,037      11,539       12,064"
""
Sources: Ministry of Finance; and Fund staff estimates.
1/ Fiscal year is from April to March.
2/ Privatization proceeds.
3/ Insurance companies and other non bank private sector.
"4/ Including: CG, CG guaranteed, arrears, and IMF EFF loan. From FY 2018/19, data includes both external and domestic debt restructuring; hence, it excludes debt directly"
serviced by SOEs no longer guaranteed by the CG.
5/ Net of domestic expenditure arrears repayment.
6/ Relative to third EFF review projections.
""
""
""
""
                                                                                                                 INTERNATIONAL MONETARY FUND                                 21
