V1
                                                                                                                                  BARBADOS
""
""
""
"         Table 2b. Barbados: Central Government Operations, 2019/2020–2027/2028"
"                      (In percent of FY-GDP, unless otherwise indicated) 1/"
""
                                                                Est.                                Projections
""
                                        2019/20    2020/21    2021/22     2022/23    2023/24    2024/25     2025/26     2026/27   2027/28
""
Total revenue                              30.6       28.4        28.9       29.3       28.9        29.1       29.6        29.7      29.7
Current revenue                            30.5        28.4       28.8       29.1        28.8       29.1       29.6        29.6      29.6
 Tax revenue                               28.6        26.6       27.1       27.5        27.2       27.3       27.8        27.8      27.8
   Income and profits                        7.4        9.7        8.2         8.4        7.5        7.5          7.6       7.6       7.6
   Taxes on property                         2.1        1.9        2.0         2.0        2.0        2.0          2.1       2.1       2.1
   VAT                                       9.4        7.4        8.7         8.6        8.9        8.9          9.0       9.0       9.0
   Excise                                    2.4        1.6        2.1         2.0        2.1        2.1          2.2       2.2       2.2
   Import taxes                              2.2        2.0        2.2         2.3        2.3        2.3          2.4       2.4       2.4
   Other taxes                               5.0        3.9        4.0         4.2        4.5        4.5          4.5       4.5       4.5
 Nontax revenue                              2.0        1.8        1.7         1.6        1.6        1.8          1.8       1.8       1.8
Capital revenue and grants                   0.1        0.0        0.1         0.2        0.1        0.1          0.1       0.1       0.1
""
Total expenditure                          26.9        32.9       33.7       31.5        29.8       29.6       28.9        28.8      28.7
Current expenditure                         25.0       30.0       29.5       28.1        26.9       26.5       25.8        25.5      25.4
" Wages, salaries and SSC                     7.8        8.5        8.2         7.9        7.7        7.6          7.6       7.5       7.5"
 Goods and services                          3.6        4.2        4.8         4.7        3.8        3.7          3.6       3.6       3.6
 Interest                                    2.4        3.6        3.9         4.2        4.4        4.5          4.3       4.1       4.0
 Transfers                                  11.1       13.7       12.6       11.3        10.9       10.7       10.3        10.3      10.3
   o/w Subsidies                             1.0        1.7        1.9         1.3        1.1        1.1          1.0       1.0       1.0
   o/w Grants to public institutions         6.7        8.4        7.4         6.5        6.3        6.0          5.7       5.7       5.7
   o/w Retirement benefits                   3.5        3.7        3.3         3.6        3.5        3.5          3.5       3.5       3.5
Capital expenditure and net lending          1.9        2.9        4.2         3.4        3.0        3.1          3.1       3.2       3.3
""
CG Fiscal balance                            3.7       -4.5       -4.8        -2.2       -0.9       -0.5          0.7       0.9       1.0
CG Primary balance                           6.2       -0.9       -0.9        2.0         3.5        4.0          5.0       5.0       5.0
 Repayment of domestic arrears (net)         1.4        0.8        0.6        -0.8        0.4        0.4          0.4       0.4       0.3
CG Fiscal balance (net of arrears)           2.4       -5.3       -5.4        -1.4       -1.3       -0.9          0.3       0.5       0.7
CG Primary balance (net of arrears)          4.8       -1.7       -1.5        2.8         3.1        3.6          4.6       4.6       4.7
""
Financing                                   -2.4        5.3        5.4        1.4         1.3        0.9        -0.3       -0.5      -0.7
Net Financing - External                     1.1        8.9        5.3         4.3        3.3        2.6          0.3      -1.8      -1.5
 Capital Markets                             0.0        0.0        0.0         0.0        0.0        0.0          0.7       0.7       0.9
 Project Funds                               0.7        0.9        2.0         1.8        1.5        1.4          1.3       1.1       1.1
 Policy Loans                                1.5        6.3        3.9         3.4        1.6        1.2          1.1       0.0       0.0
   o/w IDB                                   0.0        4.2        2.0         1.7        1.6        1.2          1.1       0.0       0.0
   o/w CDB                                   1.5        0.0        0.0         0.0        0.0        0.0          0.0       0.0       0.0
   o/w CAF                                   0.0        2.1        0.0         0.0        0.0        0.0          0.0       0.0       0.0
   o/w WB                                    0.0        0.0        2.0         1.7        0.0        0.0          0.0       0.0       0.0
   IMF EFF budget support                    0.0        3.7        0.9         0.7        1.8        1.7          0.8       0.0       0.0
    ow: RSF financing                                   0.0        0.0         0.0        1.2        1.1          0.5       0.0       0.0
 Amortization                                1.1        2.0        1.6         1.7        1.6        1.7          3.7       3.6       3.5
Net Financing - Domestic                    -3.4       -3.6        0.1        -2.8       -1.9       -1.7        -0.6        1.3       0.9
 Central bank                                1.6       -0.7        3.3        -0.7        0.4        0.1        -0.1        0.0       0.0
 Commercial banks                           -0.6        1.1       -0.2        0.0         0.0        0.0          0.0       0.0       0.0
 National Insurance Scheme                  -0.8       -2.2        0.1        0.0         0.0        0.0          0.0       0.0       0.0
 Private non-bank and others 2/ 3/          -3.6       -1.8       -3.1        -2.2       -2.3       -1.8        -0.5        1.3       0.9
""
Memorandum items:
CG gross debt 4/                          123.0      139.8       135.1      122.5      114.6       107.9      101.1        94.9      89.4
"Nominal GDP, FY (BDS$ millions)          10,305      9,507      10,193     11,817     12,672      13,446     14,139      14,797    15,450"
""
Sources: Ministry of Finance; and Fund staff estimates and projections.
1/ Fiscal year is from April to March.
2/ Insurance companies and other non bank private sector; BOSS programs are also included here.
3/ Including government's equity investment into crisis-affected companies in the tourism sector.
"4/ Including: Central Government debt, Central Government expenditure and debt arrears (if any), and SOE debt guaranteed by"
the Central Government including IMF loan to the CBB; it excludes debt directly serviced by SOEs and not guaranteed by the CG.
""
""
""
""
                                                                                           INTERNATIONAL MONETARY FUND                      31
