V1
                                                                                                                                             BELIZE
""
""
""
""
                               Table 2a. Belize: Operations of the Central Government 1/ 2/
                                                 (In millions of Belize dollars)
                                                                                                                         Projections
                                                          2015/16   17        2017/18             2018/19           2019/20   21   22   23
                                                                              Budget       Proj. Budget        Proj.     Proj.    Proj.    Proj.        Proj.
""
"Revenue and grants                                         1,000     1,052     1,187    1,111      1,183    1,163       1,215    1,260    1,308     1,357"
""
"Revenue                                                      980     1,006     1,140    1,081      1,138    1,127       1,178    1,222    1,269     1,316"
"Current revenue                                              974      1,004     1,134    1,079      1,135    1,126       1,176    1,220    1,267     1,314"
" Tax revenue                                                 864        925     1,033      967      1,023    1,013       1,059    1,099    1,141     1,184"
   Income and profits                                        256        262       271      270        277      271         290      300      312       323
   Goods and services                                        354        489       552      533        569      566         587      609      632       655
     General Sales Tax                                       270        292       440      292          …      317         329      341      354       367
   Taxes on international trade                              249        167       204      158        170      170         177      184      191       197
 Nontax revenue                                              109         79       101      112        112      112         117      121      126       130
Capital revenue                                                6          3         6        2          3        2           2        2        2         2
Grants                                                        20         45        47       30         45       35          36       38       39        41
""
"Total expenditure                                          1,264     1,206     1,180    1,258      1,209    1,197       1,247    1,294    1,339     1,388"
"Current expenditure                                          904       953      1,030    1,013      1,051    1,045       1,084    1,120    1,159     1,201"
 Wages and salaries                                          384       403        422      426        432      436         451      468      486       504
 Pensions                                                     77        83         79       95         91       98         101      105      109       113
 Goods and services                                          197       216        236      215        238      222         230      239      248       257
 Interest payments                                            85        87        109      105        112      112         117      117      118       121
 Transfers                                                   161       164        184      173        178      178         184      191      199       206
Capital expenditure and net lending                          360       253        150      245        157      152         163      173      180       186
 Capital expenditure                                         260       251        147      151        155      149         160      171      177       184
   Domestically financed expenditure (Capital II)            100       114         66       59         62       66          74       81       84        88
   Foreign financed expenditure (Capital III)                161       137         81       92         93       83          86       89       93        96
 Net lending                                                 100         3          2       95          2        2           2        2        3         3
""
Primary balance                                             -179       -68       116        -42       87         78        85       84       87           90
Overall balance                                             -264      -155         7       -147      -25        -34       -33      -33      -31          -31
""
Financing                                                    264      155          7       147       -25         34        33       33       31           31
Privatization (net)                                          -135     -196         …       -153        …          0         0        0        0            0
Domestic                                                      302      269         …        250        …         28         9       29       42           63
  Of which: Amortization                                        1        1         …          0        …          0         9       33       42           76
External                                                       98       82         …         50        …          6        24        5      -12          -32
  Disbursements                                               173      162         …        141        …        107       129      111      102           90
  Amortization                                                 75       80         …         91        …        101       105      106      114          122
""
Memorandum items:
Primary balance (excluding one-off capital transfer) 3/     -179       -68       116        50         87      78           85      84       87            90
Structural primary balance 3/                                 -99      -60          …       62          …      86           89      85       88            92
"Nominal GDP (in BZ$ millions)                               3,547    3,641      3,684    3,760      3,902   3,887        4,029   4,180    4,340         4,500"
"Public sector debt 4/                                       2,796    3,372          …    3,488          …   3,629        3,667   3,702    3,737         3,769"
"  Domestic                                                    494    1,022          …    1,027          …   1,155        1,163   1,190    1,233         1,287"
"  External                                                  2,302    2,350          …    2,461          …   2,475        2,504   2,513    2,505         2,482"
""
 Sources: Ministry of Finance; Central Bank of Belize; and Fund staff estimates and projections.
 1/ Fiscal year ends in March.
" 2/ Due to data limitations, the table deviates from the GFSM 2001 methodology."
 3/ Excludes assumption of UHS debt by the government in FY 2017/18 (2.5 percent of GDP).
 4/ On calendar year basis.
""
""
""
""
                                                                                                   INTERNATIONAL MONETARY FUND                     27
