V1
                                                                                                                                                    BOLIVIA
""
""
""
"              Table 3b. Bolivia: Operations of the Combined Public Sector, 2019–2026   "
                                            (Percent of GDP)
                                                                    Est.                                       Projections
""
                                                      2019         2020          2021           2022        2023         2024        2025        2026
""
Total Revenues                                          28.8          25.3          26.3          27.7        27.6           27.5      27.2        27.3
 Tax Revenues                                            22.5          19.7         21.0           22.1        22.0          22.1       21.9        21.9
   IDH and royalties                                      3.6           3.6           3.4           3.4         3.0           2.8        2.5            2.6
   Indirect Taxes                                        14.4          12.7         14.1           15.1        15.3          15.5       15.5        15.5
     o/w VAT                                              7.2           6.0           6.9           7.7         7.7           7.7        7.7            7.7
     o/w Excise tax on fuel                               0.9           1.0           1.0           1.0         1.1           1.1        1.0            1.1
 Grants                                                   0.1           0.0           0.0           0.0         0.0           0.0        0.0            0.0
 Other revenue                                            6.3           5.6           5.3           5.6         5.5           5.4        5.3            5.4
   Nontax revenue                                         4.4           3.9           4.2           4.3         4.4           4.4        4.4            4.4
   Public enterprises operating balance                   1.3           1.1           0.6           0.8         0.7           0.6        0.6            0.7
   Central bank operating balance                         0.6           0.5           0.5           0.5         0.5           0.4        0.4            0.4
""
Total Expenditures                                      36.1          38.0          36.0          36.1        35.2           34.7      33.9        33.7
 Current Expenditure                                     26.3          33.1         29.0           27.9        27.0          26.2       25.6        24.8
   Compensation of employees                             12.4          14.5         13.8           13.1        12.3          11.7       11.0        10.5
   Purchases of goods and services                        3.8           3.8           3.5           3.4         3.4           3.3        3.2            3.2
   Interest                                               1.4           1.5           1.8           2.0         2.1           2.2        2.4            2.3
     Domestic                                             0.5           0.6           0.8           0.9         1.0           1.1        1.3            1.2
     Foreign                                              0.9           0.9           1.0           1.1         1.1           1.1        1.1            1.1
   Energy-related subsidies to SOEs 2/                    1.4           1.7           1.7           1.5         1.4           1.3        1.3            1.2
   Social benefits 3/                                     6.1          10.4           7.1           6.7         6.6           6.6        6.5            6.5
   Other expense                                          1.1           1.2           1.2           1.2         1.1           1.1        1.1            1.1
     Other                                                1.1           1.2           1.2           1.2         1.1           1.1        1.1            1.1
     Nationalization cost                                 0.0           0.0           0.0           0.0         0.0           0.0        0.0            0.0
 Net acquisition of nonfinancial assets 4/                9.8           5.0           7.0           8.2         8.2           8.5        8.3            8.9
   o/w Public Enterprises                                 2.2           0.9           1.1           1.3         1.4           1.4        1.5            1.5
Gross operating balance                                   2.6          -7.8         -2.7           -0.2         0.6           1.3        1.6            2.5
Primary Balance                                          -5.8        -11.2          -7.9           -6.4        -5.5          -5.0       -4.4        -4.0
Net lending/borrowing (Fiscal Balance)                   -7.2        -12.7          -9.7           -8.4        -7.6          -7.2       -6.7        -6.3
""
Net financial transactions                               -7.2        -12.7          -9.7           -8.4        -7.6          -7.2       -6.7        -6.3
  Net incurrence of liabilities                           7.2         12.7           9.7            8.4         7.6           7.2        6.7            6.3
   External                                               2.7           2.2           7.7           2.2         2.1           2.0        1.9            1.8
     Disbursements                                        3.7           3.4           9.3           5.1         5.0           4.0        3.8            3.5
     Amortizations                                       -1.0          -1.2          -1.6          -2.9        -2.9          -1.9       -1.8        -1.8
     Other external                                       0.0           0.0           0.0           0.0         0.0           0.0        0.0            0.0
   Domestic                                               4.6          10.6           2.0           6.2         5.5           5.2        4.8            4.6
     Banking system                                       3.7           9.6           1.1           5.3         4.6           4.4        4.1            3.9
       Central Bank                                       3.4           9.5           1.1           5.3         4.6           4.4        4.1            3.9
       Commercial banks                                   0.3           0.1           0.0           0.0         0.0           0.0        0.0            0.0
     Pension funds                                       -0.5           0.2           0.2           0.2         0.2           0.2        0.1            0.1
     Other domestic                                       1.3           0.8           0.8           0.7         0.7           0.6        0.6            0.5
""
Memorandum items:
Hydrocarbon related revenue 5/                            4.8           4.7           4.0           4.1         3.8           3.4        3.1            3.3
Nonfinancial public sector gross public debt 6/          59.1          78.8         83.4           85.7        86.6          87.6       88.5        89.1
   o/w gross foreign public debt                         27.4          33.0         39.3           39.3        38.7          38.1       37.5        36.8
NFPS deposits                                            11.0          10.9           8.7           6.8         5.5           4.8        4.5            4.2
"Nominal GDP (Bs million)                             282,587       252,718      264,252         279,904     300,659      322,395     345,368    369,609"
""
Sources: Ministry of Finance; Bolivia Central Bank; and Fund staff estimates and projections.
"1/ The operation of mixed-ownership companies, primarily in the telecom, electricity and hydrocarbon sectors, are not included."
2/ Includes incentives for hydrocarbon exploration investments in the projection period.
"3/ Includes pensions, cash transfers to households, and social investment programs (previously classified as capital expenditure)."
4/ Includes net lending.
"5/ Hydrocarbon related revenues are defined as direct hydrocarbon tax (IDH), royalties, and the operating balance o the fstate oil/gas company (YPFB)"
6/ Public debt includes SOE's borrowing from the BCB but not from other domestic institutions.
""
""
""
""
                                                                                                          INTERNATIONAL MONETARY FUND                         31
