V1
                                                                                                                                                        BULGARIA
""
""
""
""
"                         Table 6b. Bulgaria: General Government Operations, 2013–22   "
"                                      (Percent of GDP, unless noted otherwise)"
                                                          2013       2014       2015        2016       2017        2018       2019       2020        2021          2022
                                                                                                        Est.                           Proj.
""
Revenue                                                   33.8        33.7       35.0       34.7        34.0       34.9        34.8       34.8       34.9          35.0
 Taxes                                                    19.9        19.8       20.2       20.8        21.2       21.1        21.1       21.2       21.2          21.2
   Taxes on profits                                        1.9         2.0        2.1        2.2         2.3        2.2         2.2        2.2        2.2           2.2
   Taxes on income                                         2.9         3.1        3.1        3.1         3.2        3.3         3.3        3.3        3.3           3.3
   Value-added taxes                                       9.0         8.7        8.7        9.1         9.3        9.3         9.4        9.4        9.4           9.4
   Excises                                                 4.9         4.8        5.1        5.1         5.1        5.0         5.0        5.0        5.0           5.0
   Customs duties                                          0.2         0.2        0.2        0.2         0.2        0.2         0.2        0.2        0.2           0.2
   Other taxes                                             1.0         1.0        1.0        1.1         1.1        1.1         1.1        1.1        1.1           1.1
 Social contributions                                      5.9         6.2        6.4        6.4         6.8        6.9         6.9        6.9        6.9           6.9
 Grants                                                    3.2         3.5        4.1        3.1         1.5        2.3         2.5        2.5        2.6           2.6
 Other revenue 2/                                          4.8         4.1        4.2        4.4         4.5        4.6         4.2        4.2        4.2           4.2
Expenditure                                               35.5        37.3       37.8       33.1        33.2       35.8        35.3       34.9       34.9          34.9
 Expense                                                  29.9        30.5       29.3       28.7        29.2       29.8        29.5       29.3       29.3          29.3
   Compensation of employees 3/                            5.5         6.7        6.4        6.1         6.2        6.2         6.2        6.2        6.2           6.2
     Wages and salaries                                    5.4         5.4        5.2        5.1         5.2        5.4         5.4        5.4        5.5           5.5
     Other compensation                                    0.1         1.3        1.2        1.0         1.0        0.8         0.8        0.7        0.7           0.7
   Use of goods and services 4/                            5.6         4.2        3.7        4.0         4.1        4.4         4.2        4.0        4.0           4.0
   Interest                                                0.8         0.7        0.8        0.8         0.8        0.7         0.7        0.7        0.7           0.7
     External                                              0.6         0.4        0.5        0.5         0.6        0.4         0.4        0.4        0.4           0.4
     Domestic                                              0.2         0.3        0.3        0.3         0.3        0.2         0.2        0.2        0.2           0.2
   Subsidies                                               1.6         1.7        1.8        1.7         2.0        2.1         2.1        2.1        2.1           2.1
   Grants 5/                                               1.1         1.1        1.1        0.9         0.9        1.1         1.1        1.1        1.1           1.1
   Social benefits                                        15.0        15.9       15.3       15.0        15.1       15.2        15.2       15.1       15.1          15.1
     Pensions                                              9.4         9.7        9.5        9.3         9.2        9.1         9.0        9.0        9.0           9.0
     Social assistance                                     2.6         2.8        2.7        2.7         2.7        2.7         2.5        2.4        2.4           2.4
     Health Insurance Fund                                 2.9         3.4        3.0        3.0         3.1        3.5         3.6        3.7        3.7           3.7
   Other expense                                           0.2         0.2        0.2        0.2         0.2        0.1         0.1        0.1        0.1           0.1
 Contingency                                               0.8         1.4        0.9        0.4         0.4        0.2         0.2        0.2        0.2           0.2
 Net acquisition of nonfinancial assets 6/                 4.8         5.3        7.6        4.0         3.5        5.9         5.6        5.4        5.4           5.4
""
Net lending/borrowing                                      -1.8       -3.6       -2.8         1.6        0.8        -1.0       -0.5        0.0         0.0          0.0
 Primary balance                                           -0.9       -3.0       -2.0         2.3        1.6        -0.3        0.2        0.6         0.7          0.7
""
Financing                                                   1.8        3.6        2.8        -1.6       -0.8         1.0        0.5        0.0         0.0           0.0
  Privatization proceeds                                    0.0        0.0        0.0         0.0        0.0         0.0        0.0        0.0         0.0           0.0
  Net external financing                                   -0.8        6.9        1.6         3.7       -2.2         0.2        0.0        0.0         1.6           0.1
   Disbursements                                            1.4        7.3        7.3         4.1        0.0         0.5        0.3        0.3         1.8           2.2
   Amortization                                            -2.2       -0.4       -5.6        -0.4       -2.2        -0.3       -0.2       -0.3        -0.2          -2.1
  Net domestic financing                                    2.6       -1.5       -1.1        -0.6        1.4         0.8        0.4        0.1        -1.6          -0.2
   Bank credit / Securities issuance                        2.1        6.8        0.0         5.1        0.8         2.0        1.3        1.0        -0.9           0.1
   Amortization                                            -1.2       -4.2       -2.5        -1.1       -0.8        -1.2       -0.8       -0.9        -0.7          -0.2
   Fiscal Reserve Account                                   1.7       -4.1        1.5        -4.6        1.4         0.0        0.0        0.0         0.0           0.0
  Net lending and other items                               0.0       -1.9        2.2        -4.7        0.0         0.0        0.0        0.0         0.0           0.0
""
Memorandum items:
 Gross public debt                                        17.2       26.4        25.6       27.4       23.9       23.5        22.8       21.8        20.7          19.7
 Structural fiscal balance                                 -0.7       -2.3        -1.8        2.1        1.1       -1.0        -0.6       -0.1         0.0           0.0
 Output gap (percent of potential GDP)                     -2.8       -3.6        -2.5       -1.6       -0.8        0.1         0.3        0.2         0.1           0.0
" Nominal GDP (millions of leva)                         82,166     83,634      88,571     94,130     98,868    104,664     110,175    115,638     121,372       127,391"
""
Sources: Ministry of Finance; and IMF staff estimates.
1/ On cash basis.
"2/ Includes dividends. For 2018, includes concession revenue BGN 400 million for the Sofia Airport."
"3/ Includes Other remuneration, which were previously integrated in use of goods and services, from 2014."
"4/ From 2014, with the adoption of the Public Finance Act, other remunerations are re-classified to the compensation of employees."
5/ Contribution to EU budget.
"6/ Includes only acquisitions of nonfinancial assets, i.e., capital expenditure. For 2018, includes concession revenue BGN 400 million for the Sofia Airport."
""
""
""
""
                                                                                                            INTERNATIONAL MONETARY FUND                               29
