V1
SWITZERLAND
""
""
""
"                          Table 4. Switzerland: General Government Finances, 2016–24"
""
                                                             2016       2017         2018       2019       2020       2021   2022   2023   2024
                                                                       Estimate                         Staff projections
""
"                                           (In billions of Swiss francs, unless otherwise specified)"
""
 General government
  Revenue                                                     220           229       233        237        237       243    250    256    263
  Expenditure                                                 218           221       224        230        234       240    247    253    260
  Net lending/net borrowing                                     2             8         9          7          3         3      3      3      3
 Confederation (Federal government) 1/
  Revenue                                                         72           77       79        81         81        83     85     88     90
  Expenditure                                                     71           72       75        77         80        82     84     85     88
  Net lending/net borrowing                                        1            5        5         4          1         1      2      2      2
 Cantons
  Revenue                                                         90           93       95        98         99       101    103    106    109
  Expenditure                                                     89           90       93        96         97        99    103    106    109
  Net lending/net borrowing                                        1            2        2         2          2         2      0      0      0
 Communes/municipalities
  Revenue                                                         47           48       49        50         51        52     53     54     56
  Expenditure                                                     47           48       49        50         51        52     53     54     56
  Net lending/net borrowing                                        0            0        1         0          0         0      0      0      0
 Social security 2/
  Revenue                                                         62           63       63        64         65        65     67     69     71
  Expenditure                                                     62           62       63        63         64        66     66     68     70
  Net lending / net borrowing                                      1            1        0         1          1         1      1      1      1
 General government gross debt 3/                             276           286       280        273        270       267    264    261    258
  Confederation (Federal government) 1/                       131           136       133        129        127       126    125    122    120
  Cantons                                                      83            82        81         79         77        75     75     75     75
  Communes/municipalities                                      64            65        66         66         66        66     66     66     66
  Social security 2/                                            3             3         2          1          0         0     -1     -2     -3
""
                                                   (In percent of GDP)
 General government operations
  Revenue                                                     33.3         34.2       33.7      33.6       32.8      32.8    32.8   32.8   32.8
  Expenditure                                                 33.0         33.0       32.4      32.6       32.4      32.4    32.4   32.4   32.4
  Net lending/net borrowing                                    0.4          1.2        1.3       1.0        0.4       0.4     0.4    0.4    0.4
   Confederation (Federal government) 1/                       0.1          0.8        0.7       0.6        0.2       0.1     0.2    0.3    0.2
   Cantons                                                     0.1          0.3        0.3       0.3        0.3       0.2     0.0    0.0    0.0
   Communes/municipalities                                     0.0          0.0        0.2       0.0        0.0       0.0     0.0    0.0    0.0
   Social security                                             0.1          0.1        0.1       0.1        0.1       0.1     0.1    0.1    0.1
     General government gross debt 4/                         41.8         42.7       40.5      38.7       37.3      36.0    34.7   33.4   32.1
      Confederation (Federal government) 1/                   19.8         20.3       19.3      18.2       17.6      17.0    16.4   15.6   15.0
      Cantons                                                 12.5         12.3       11.8      11.2       10.6      10.1     9.9    9.6    9.4
      Communes/municipalities                                  9.7          9.7        9.5       9.3        9.1       8.8     8.6    8.4    8.2
      Social security 2/                                       0.5          0.4        0.3       0.1        0.0       0.0    -0.1   -0.3   -0.4
""
 Memorandum items:
  Nominal GDP (billions of francs)                            660           669       690        706       724        742    761    781    802
  Output gap (percent)                                        -0.3          -0.3       0.5        0.0       0.0        0.0    0.0    0.0    0.0
  General Government cyclically adjusted balance               0.5           1.3       1.1        0.9       0.4        0.4    0.4    0.4    0.4
""
 Sources: Federal Ministry of Finance; and IMF staff estimates.
" 1/ Includes the balance of the Confederation and extrabudgetary funds (including Public Transport Fund, ETH,"
 Infrastructure Fund).
" 2/ Includes old age, disability, survivors protection scheme as well unemployment and income loss insurance."
 3/ Forcasted
""
""
""
""
38      INTERNATIONAL MONETARY FUND
