V1
                                                                                                                                 SWITZERLAND
""
""
""
"                         Table 5. Switzerland: General Government Operations, 2008–17"
""
                                                   2008    2009      2010         2011    2012       2013       2014       2015       2016    2017
""
"                                                                    (In billions of Swiss francs, unless otherwise specified)"
""
Revenue                                            194.2   192.8    197.0         203.1   203.9      208.8      210.9      219.1      220.1   223.2
 Taxes                                             123.1   121.0    123.7         126.2   126.8      129.8      131.5      136.5      138.6   138.7
"   Taxes on income, profits, and capital gains      74.5    72.8     73.6          75.7    76.3       78.3       79.3       83.7       85.1    83.8"
   Taxes on goods and services                      37.3    36.6     38.3          39.0    38.9       39.3       39.4       39.6       39.5    42.0
   Taxes on property                                 9.7     9.9     10.0           9.8     9.9       10.4       10.9       11.2       11.8    11.1
   Taxes on international trade and transactions     1.0     1.0      1.1           1.0     1.0        1.1        1.1        1.1        1.1     1.1
 Social contributions                               37.0    38.3     38.7          41.3    42.3       43.0       43.5       44.3       44.7    44.7
 Grants                                              0.1     0.2      0.2           0.2     0.2        0.2        0.3        0.3        0.3     0.3
 Other revenue                                      33.9    33.4     34.5          35.4    34.7       35.7       35.6       38.1       36.5    39.4
   Of which: property income                         9.1     8.6      8.5           8.9     7.1        7.3        6.3        8.1        7.0     7.8
""
Expenditure                                        182.6   189.9    194.9         198.5   201.5      211.5      212.3      214.9      217.5   220.4
 Expense                                           181.4   188.1    192.9         196.6   200.5      210.1      210.9      213.0      215.9   218.6
   Compensation of employees                        41.5    43.5     44.7          45.8    46.9       47.8       48.6       49.4       49.9    49.7
   Purchases/use of goods and services              20.4    21.4     21.6          22.0    22.6       23.5       24.0       24.2       24.2    24.5
   Interest expense                                  6.1     5.5      5.2           4.8     4.4        4.0        3.7        3.6        3.2     3.8
   Social benefits                                  60.4    65.2     67.1          67.6    69.2       71.4       72.8       74.1       76.3    77.7
   Expense n.e.c.                                   53.0    52.4     54.2          56.4    57.3       63.4       61.7       61.7       62.3    62.9
 Net acquisition of nonfinancial assets              1.1     1.8      2.0           1.9     1.0        1.4        1.4        2.0        1.6     1.8
""
Net operating balance                               12.7     4.8       4.2          6.5     3.4       -1.3        0.0           6.2     4.2     4.6
Net lending/borrowing                               11.6     3.0       2.2          4.6     2.4       -2.7       -1.4           4.2     2.6     2.8
""
   Net acquisition of financial assets                …      8.9     -18.4         11.8    21.2       -5.4       41.4      -23.7       21.3    25.4
   Net incurrence of liabilities                      …      6.0     -20.5          7.2    18.8       -2.6       42.8      -28.0       18.7    22.6
""
                                                            (In percent of GDP)
""
Revenue                                             32.3    32.7      32.4         32.7    32.6       32.7       32.5       33.5       33.4    33.4
 Taxes                                              20.5    20.5      20.3         20.3    20.2       20.3       20.2       20.9       21.0    20.8
"   Taxes on income, profits, and capital gains      12.4    12.4      12.1         12.2    12.2       12.3       12.2       12.8       12.9    12.5"
   Taxes on goods and services                       6.2     6.2       6.3          6.3     6.2        6.2        6.1        6.1        6.0     6.3
   Taxes on property                                 1.6     1.7       1.6          1.6     1.6        1.6        1.7        1.7        1.8     1.7
   Taxes on international trade and transactions     0.2     0.2       0.2          0.2     0.2        0.2        0.2        0.2        0.2     0.2
 Social contributions                                6.2     6.5       6.3          6.6     6.7        6.7        6.7        6.8        6.8     6.7
 Other revenue                                       5.7     5.7       5.7          5.7     5.5        5.6        5.5        5.8        5.5     5.9
""
Expenditure                                         30.4    32.2      32.0         32.0    32.2       33.1       32.7       32.9       33.0    33.0
 Expense                                            30.2    31.9      31.7         31.6    32.0       32.9       32.5       32.6       32.8    32.7
   Compensation of employees                         6.9     7.4       7.3          7.4     7.5        7.5        7.5        7.6        7.6     7.4
   Purchases/use of goods and services               3.4     3.6       3.5          3.5     3.6        3.7        3.7        3.7        3.7     3.7
   Interest expense                                  1.0     0.9       0.8          0.8     0.7        0.6        0.6        0.6        0.5     0.6
   Social benefits                                  10.1    11.1      11.0         10.9    11.1       11.2       11.2       11.3       11.6    11.6
   Expense n.e.c.                                    8.8     8.9       8.9          9.1     9.1        9.9        9.5        9.4        9.5     9.4
 Net acquisition of nonfinancial assets              0.2     0.3       0.3          0.3     0.2        0.2        0.2        0.3        0.2     0.3
""
Net operating balance                                2.1     0.8       0.7          1.0     0.5       -0.2        0.0           0.9     0.6     0.7
Net lending/borrowing                                1.9     0.5       0.4          0.7     0.4       -0.4       -0.2           0.6     0.4     0.4
""
   Net acquisition of financial assets                …      1.5      -3.0          1.9     3.4       -0.8        6.4       -3.6        3.2     3.8
   Net incurrence of liabilities                      …      1.0      -3.4          1.2     3.0       -0.4        6.6       -4.3        2.8     3.4
""
Source: Federal Ministry of Finance.
""
""
""
""
                                                                                            INTERNATIONAL MONETARY FUND                          35
