V1
CEMAC
""
""
""
"                                                 Table 2. CEMAC: National Accounts, 2017–27"
""
                                        2017    2018 2019       2020      2021            2022'      2022        2023'      2023    2024    2025    2026    2027
""
""
                                                                                      SR 22/208              SR 22/208
                                         Est.     Est.   Est.    Est.         Proj.          1/      Proj.          1/      Proj.   Proj.   Proj.   Proj.   Proj.
""
"                                                                                              (Annual change, in percent)"
Real GDP
Cameroon                                  3.5     4.0     3.4     0.5          3.6          4.3        3.8         4.9       4.6      4.7    5.0     4.9     4.9
Central African Republic                  4.5     3.8     3.0     1.0          1.0          3.5       -2.0         3.7       5.5      3.8    3.8     3.8     3.7
Chad                                     -2.4     2.4     3.4    -2.1         -1.1          3.3        2.7         3.4       3.5      3.6    3.5     3.8     3.6
"Congo, Republic of                       -4.4    -4.8     1.0    -6.2          1.5          4.3        2.8         4.6       4.1      4.6    3.5     4.0     4.1"
Equatorial Guinea                        -5.7    -6.2    -5.5    -4.2         -3.2          6.1        5.8        -2.9      -3.1    -12.3   -2.6    -4.7    -1.1
Gabon                                     0.5     0.8     3.9    -1.9          1.5          2.8        2.8         3.7       3.0      3.1    3.0     3.3     3.0
CEMAC                                     0.8     1.3     2.1    -1.6          1.1          4.2        3.5         3.6       3.4      2.6    3.5     3.5     3.8
""
Nominal GDP
Cameroon                                  4.6     5.9     4.7     1.0          7.1          7.8        8.5         6.8       7.7      7.3    7.0     7.0     6.8
Central African Republic                 11.3     5.2     5.5     2.8          4.3          7.5        4.3         7.4      12.0      6.8    6.5     6.4     6.2
Chad                                     -3.2     4.7     5.1    -4.0          5.8         16.5       13.2         3.0       3.6      4.7    5.1     5.7     5.7
"Congo, Republic of                        6.4    17.9    -0.4   -20.2         11.4         24.5       16.4         0.4       4.1      5.5    4.9     5.8     6.2"
Equatorial Guinea                         6.4     2.7    -8.5   -12.7         17.0         34.9       44.3        -9.7      -8.9    -12.9   -0.5    -1.1     2.3
Gabon                                     4.3     8.1     5.5   -10.8         27.3         23.9       19.9        -0.7       3.2      2.6    1.2     2.7     3.1
CEMAC                                     4.2     7.2     2.4    -6.2         11.9         17.1       16.2         1.7       3.6      3.3    4.6     5.0     5.5
""
Real Non-Oil GDP
Cameroon                                  4.3     4.2     3.3     0.5          3.8          4.4        3.8         5.1       4.8      4.8    5.1     5.0     5.0
Central African Republic                  4.5     3.8     3.0     1.0          1.0          3.5       -2.0         3.7       5.5      3.8    3.8     3.8     3.7
Chad                                     -0.5     0.3     2.0    -1.7          0.2          2.9        2.1         3.0       3.1      3.9    4.0     4.4     4.1
"Congo, Republic of                       -8.8    -9.9     0.2    -6.5          3.6          3.3        3.3         3.9       4.0      4.0    4.5     5.0     5.0"
Equatorial Guinea                         0.8    -2.7    -5.7    -6.2          2.5          8.6        9.1         0.0      -0.2     -9.8   -2.4    -2.1     1.2
Gabon                                     2.5     1.5     3.3    -1.8          2.8          2.4        2.6         4.5       3.1      3.5    3.8     4.4     3.8
CEMAC                                     1.7     1.3     1.9    -1.3          3.0          4.2        3.7         4.1       3.8      3.1    4.1     4.3     4.4
""
Consumer Price Inflation (period average)
Cameroon                            0.6           1.1     2.5     2.5          2.3          2.9        4.6         2.4       2.8      2.6    2.1     2.1     2.0
Central African Republic            4.2           1.6     2.8     0.9          4.3          4.0        6.5         3.6       6.3      2.7    2.8     2.5     2.5
Chad                               -0.9           4.0    -1.0     4.5         -0.8          4.1        5.3         3.1       3.4      3.0    3.0     3.0     3.0
"Congo, Republic of                  0.4           1.2     0.4     1.4          2.0          3.5        3.5         3.2       3.3      3.2    3.1     3.0     3.0"
Equatorial Guinea                   0.7           1.3     1.2     4.8         -0.1          4.0        5.1         3.9       5.7      5.2    4.7     4.2     3.5
Gabon                               2.7           4.8     2.0     1.3          1.1          3.5        3.8         3.2       3.0      2.6    2.7     2.7     2.7
CEMAC                               0.8           2.1     1.6     2.7          1.5          3.3        4.6         2.9       3.3      2.9    2.6     2.5     2.4
""
End of Period Inflation
Cameroon                                  0.8     2.0     2.4     2.1          3.5          2.7        4.1         2.0       2.9      2.1    2.1     2.1     2.0
