V1
                                                                                                                                                                     CABO VERDE
""
""
""
"       Table 3b. Cabo Verde: Statement of Operations of the Central Government, 2017–25¹"
                                        (Percent of GDP)
                                                            2017         2018       2019                  2020                        2021           2022    2023    2024    2025
                                                                         Prel.       Prel.         PCI           Proj.        PCI            Proj.   Proj.   Proj.   Proj.   Proj.
Revenue                                                          28.6    28.4        29.4          32.5          26.2         28.9           27.5    29.4    29.0    28.7    28.8
 Taxes                                                           20.7    22.1        21.5          22.9          18.0         22.5           19.7    22.0    22.6    22.6    22.7
   Taxes on income and profit                                     6.5    6.7         6.5            6.9           6.1         6.7             6.6     7.2     7.2     7.2     7.2
   Taxes on goods and services                                    9.7    10.8        10.6          11.3           8.3         11.0            9.0    10.3    10.7    10.7    10.7
   Taxes on international trade                                   4.2    4.2         4.1            4.3           3.3         4.4             3.8     4.1     4.3     4.3     4.4
   Other taxes                                                    0.3    0.4         0.3            0.4           0.3         0.4             0.3     0.4     0.4     0.4     0.4
 Grants                                                           3.7    1.4         3.2            2.8           3.2         0.9             2.5     1.9     1.1     1.0     1.0
 Other revenue                                                    4.2    4.8         4.7            6.8           5.0         5.5             5.3     5.5     5.4     5.1     5.1
          Fees and penalties                                      0.3    0.2         0.2            0.2           0.2         0.1             0.2     0.2     0.2     0.2     0.2
          Property Income                                         0.6    1.0         1.2            2.2           1.2         1.2             0.8     1.1     1.0     0.9     0.9
          Sale of Goods and Services                              3.0    3.1         3.1            3.9           3.1         3.7             3.9     3.9     3.9     3.6     3.5
          Other (inc. social contributions)                       0.4    0.5         0.2            0.5           0.5         0.4             0.4     0.4     0.4     0.4     0.6
Expenditure                                                      31.6    31.2        31.2          34.2          35.0         30.1           31.6    30.8    30.1    29.6    29.5
  Current expenditure                                            25.9    26.8        27.3          29.7          29.5         26.6           28.6    27.1    26.4    25.9    25.8
     Compensation of employees                                   10.9    10.7        10.6          11.4          12.5         10.7           12.4    11.6    11.2    10.5    10.4
     Use of goods and services                                    4.0    4.0          4.1           6.4           5.4          4.8            5.4     5.4     5.2     5.2     5.2
     Interest                                                     2.6    2.6          2.6           2.7           3.0          2.3            2.5     2.4     2.3     2.1     2.0
           Domestic                                               1.6    1.5          1.0           1.6           1.8          1.3            1.4     1.4     1.3     1.3     1.2
           External                                               1.0    1.0          1.6           1.1           1.2          1.0            1.0     0.9     0.9     0.8     0.8
           Other Charges                                          0.0    0.1          0.0           0.0           0.1          0.0            0.0     0.0     0.0     0.0     0.0
    Subsidies                                                     0.1    0.1          0.1           0.3           0.4          0.3            0.3     0.3     0.3     0.3     0.3
    Current transfers                                             3.5    3.4          3.1           3.1           2.9          3.0            2.9     2.4     2.5     2.5     2.5
    Social benefits                                               3.2    3.4          3.7           3.6           4.0          3.6            3.9     3.8     3.7     3.7     3.7
   Other expense (incl. capital transfer)                         1.6    2.5          3.2           2.2           1.3          2.0            1.1     1.1     1.2     1.6     1.7
 Net acquisition of nonfinancial assets                           5.7    4.4          3.9           4.6           4.3          3.4            3.1     3.7     3.7     3.7     3.7
   Purchase of assets                                             5.8    4.5          4.1           5.1           4.5          3.6            3.4     3.9     3.9     3.9     3.9
   Sales of assets ( - )                                         -0.1    0.0         -0.2          -0.6          -0.2         -0.2           -0.4    -0.2    -0.2    -0.2    -0.2
