V1
KINGDOM OF THE NETHERLANDS—CURAÇAO AND SINT MAARTEN
""
""
""
"                                      Table 2. Curaçao: Government Operations, 2018–27   "
                                             (Millions of NAf unless otherwise indicated)
                                                                        2018       2019       2020       2021       2022       2023      2024      2025     2026    2027
                                                                         Prel.      Prel.      Prel.      Prel.                          Projection
""
                                                                                                        Budgetary Central Government
 Revenue                                                                1639       1625      1428       1448     1614      1722    1877             1966    2045    2117
    Tax                                                                 1484       1525      1321        1351    1495      1585    1725             1806    1879    1944
       Taxes on income and profits                                       646        664       580         503      556      606      658             691     721     746
       Taxes on property                                                  33         30        34          51       49       49       53              56      58      60
       Taxes on goods and services                                       572        621       541         617      683      713      788             827     862     893
       Taxes on international trade and transactions                     233        210       166         181      207      217      226             231     237     245
    Grants                                                                46         32        40          39       38       40       42              44      46      47
    Other revenue                                                        109         68        67          59       81       96      110             116     121     125
""
 Expenditure                                                            1778       1711      2085       1738       1746       1766       1883       1937    2015    2084
    Expense (current expenditure)                                       1707       1653      2109       1780       1713       1729       1831       1866    1928    1987
       Compensation of labor                                             585        585       597        595        596        606        637        657     685     710
           Wages and salaries 2/                                         483        482       494        480        494        502        526        544     567     587
           Social contributions                                          101        103       103        116        103        105        110        114     119     123
       Goods and services                                                196        171       216        184        221        204        201        201     210     217
       Consumption of fixed capital                                       88         93        90         76         76         90         98        102     106     110
       Interest payments                                                  70         68        69         61         71         85        112        115     118     121
       Subsidies 3/                                                        0          0        95        101          0          0          0          0       0       0
       Grants                                                            588        558       802        522        558        551        593        600     610     623
       Social benefits                                                   179        174       231        237        189        189        189        189     197     204
       Other expense                                                       2          3         8          3          2          2          2          2       2       2
    Net acquisition of nonfinancial assets                                71         59       -23        -42         33         38         51         71      87      97
       Net acquisition of nonfinancial assets (capital)                  159        152        66         34        109        128        149        172     193     206
 Net operating (current) balance                                         -68        -28      -680       -332        -99         -7         46        100     117     130
 Overall balance                                                        -139        -87      -657       -290       -132        -44         -5         29      30      33
 Primary balance                                                         -79        -21      -597       -229        -62         40        107        143     148     154
""
" Financing, net                                                         -311       -210       -555       -227       -132        -44         -5         29     30      33"
    Net acquisition of financial assets 4/                              -303       -158        294        122        -99        -19        -21        -17    -17     -17
    Net incurrence of liabilities                                          9         53        849        349         33         26        -15        -46    -46     -50
         Loans                                                            -8         53        908        349         33         26        -15        -46    -46     -50
             Borrowing                                                     0         99       1016        415        963        961         86        248    151     165
             Amortization                                                  8         46        108         65        931        936        101        294    197     215
"         Other accounts payable, incl. arrears                            17          0        -59          0          0          0          0          0      0       0"
 Statistical discrepancies                                               172        124       -102        -63          0          0          0          0      0       0
                                                                                                           General Government 5/
 Revenue                                                                2447       2423      2160       2193    2378     2541            2746       2869    2987    3092
    of which : Social contributions                                      777        772       701        727      744     798             846        880     918     950
""
 Expenditure                                                            2581       2530      2871       2528       2667       2627       2751       2840    2957    3059
    Expense                                                             2510       2471      2894       2570       2532       2589       2700       2770    2870    2962
       of which : Social benefits                                       1232       1232      1277       1290       1272       1315       1346       1375    1419    1462
    Net acquisition of nonfinancial assets                                71         59       -23        -42        136         38         51         71      87      97
""
 Overall balance                                                        -134       -107       -711       -335       -290        -86        -5         29      30     33
 Primary balance                                                         -74        -42       -651       -274       -219         -1       107        143     148    154
""
 Memorandum Items
" Current account balance, authorities' definition                        -58        -45       -719       -331       -114        -13          0          0       0       0"
   Of which : Compensation for past deficits (+: payment)                   4        17         44           0          0          0       41         91     108     121
 Interest rule (interest/revenue) (percent) 6/                            2.9        2.7        2.8        2.6        3.1        3.8       4.7        4.5     4.3     4.2
 Government debt service                                                  78         78        177        133       1001       1021       214        408     315     336
 Gross government debt 7/                                               3050       3103       3952       4309       4342       4368      4352       4307    4260    4211
 Net government debt                                                    2847       2895       3436       3842       3961       3980      3960       3905    3850    3792
 Government deposits                                                     203        208        516        467        381        388       393        401     410     419
 Nominal GDP                                                            5406       5361       4468       4832       5210       5703      6075       6377    6647    6882
""
 Sources: Curaçao authorities; and IMF staff calculations.
 1/ The presentation follows the 2014 Government Finance Statistics Manual.
 2/ Includes teacher salaries.
 3/ Payroll subsidies to the private sector for 2020 and 21.
 4/ Mostly changes in deposits.
 5/ Consolidated table including the budgetary central government and social security funds (SVB).
 6/ The denominator is the average of total revenue in the previous three years.
 7/ Defined as balance sheet liabilities of the central government except equities. Includes central government liabilities to the social security funds.
""
""
""
""
38    INTERNATIONAL MONETARY FUND
