V1
CZECH REPUBLIC
""
""
""
"                         Table 3. Czech Republic: General Government Operations, 2013–23"
                                                   (Percent of GDP)
                                                          2013        2014    2015        2016      2017      2018      2019      2020        2021      2022      2023
                                                                                                                             Staff Projections
Revenue                                                   41.4        40.3       41.1       40.2      40.4      41.4      41.5       41.5        41.5     41.5      41.5
Taxes                                                     19.9        19.1       19.5       19.9      20.2      20.3      20.4       20.3        20.3     20.3      20.3
   Personal income tax                                     3.7         3.7        3.6        3.8       4.0       4.2       4.2         4.2        4.2      4.2       4.2
   Corporate income tax                                    3.2         3.3        3.4        3.5       3.4       3.5       3.5         3.5        3.5      3.5       3.5
   VAT                                                     7.4         7.4        7.3        7.4       7.7       7.9       7.9         8.0        8.0      8.1       8.2
   Excise                                                  3.7         2.9        3.3        3.3       3.7       3.5       3.4         3.3        3.3      3.2       3.1
   Other taxes                                             1.9         1.8        1.9        1.8       1.3       1.3       1.3         1.3        1.3      1.3       1.3
Social contributions                                      14.8        14.6       14.4       14.7      15.0      15.7      15.9       15.9        15.9     15.9      15.9
Capital and other current transfers and subsidies          2.1         2.2        3.0        1.5       1.4       1.7       1.7         1.8        1.8      1.8       1.8
Other revenue                                              4.6         4.4        4.2        4.1       3.8       3.7       3.6         3.6        3.6      3.6       3.6
   Property income                                         0.9         0.8        0.8        0.8       0.6       0.6       0.6         0.6        0.6      0.6       0.6
   Sales of goods and services                             3.7         3.5        3.4        3.3       3.2       3.1       3.0         3.0        3.0      3.0       3.0
   Other revenue                                           0.0         0.0        0.0        0.0       0.0       0.0       0.0         0.0        0.0      0.0       0.0
Expenditure                                               42.6        42.4       41.7       39.4      38.8      39.8      40.4       40.6        40.5     40.5      40.5
 Expense                                                  38.9        38.1       36.6       36.2      35.5      36.1      36.7       36.9        36.8     36.8      36.8
  Compensation of employees                                8.9         8.8        8.7        8.8       9.1       9.4       9.8         9.9       10.0     10.0      10.0
  Use of goods and services                                6.6         6.4        6.2        6.1       5.8       5.8       5.8         5.8        5.8      5.8       5.8
  Interest                                                 1.3         1.3        1.1        0.9       0.7       0.8       0.7         0.7        0.7      0.7       0.6
  Subsidies                                                2.3         2.3        2.3        2.3       2.2       2.2       2.2         2.2        2.2      2.2       2.2
  Grants                                                   0.5         0.4        0.3        0.3       0.3       0.3       0.3         0.3        0.3      0.3       0.3
  Social benefits                                         16.5        16.1       15.4       15.3      14.9      15.2      15.5       15.6        15.4     15.5      15.5
  Other expenses                                           2.6         2.8        2.6        2.6       2.4       2.5       2.3         2.3        2.3      2.3       2.3
 Net acquisition of nonfinancial assets                    3.7         4.1        5.1        3.3       3.3       3.7       3.7         3.7        3.7      3.7       3.7
Gross Operating Balance                                    2.5         2.2        4.5        0.7       4.9       5.3       4.9         4.6        4.7      4.7       4.7
Net lending/borrowing (overall balance)                   -1.2        -2.1       -0.6        0.7       1.6       1.6       1.2         0.9        1.0      1.0       1.0
Net financial transactions                                -1.1        -2.1       -0.6       -0.5       1.6       1.6       1.2         0.9        1.0      1.0       1.0
 Net acquisition of financial assets                      -0.5        -2.4        0.3       -1.2       0.0       0.0       0.0         0.0        0.0      0.0       0.0
  Net incurrence of liabilities                            0.6        -0.4        0.9       -0.7      -1.6      -1.6      -1.2        -0.9       -1.0     -1.0      -1.0
Adjustment and statistical discrepancies 1/               -0.2        -0.1        0.0        1.2       0.0       0.0       0.0         0.0        0.0      0.0       0.0
""
Memorandum item:
General government debt                                    44.9        42.2      40.0       36.8      34.6      32.8      31.3      30.4        28.0      25.9      23.9
Primary balance                                             -0.2        -1.0       0.3        1.5       2.2       2.3       1.8       1.5         1.6       1.5       1.5
Structural balance 2/                                        0.2        -0.9      -0.5        0.9       1.2       1.0       0.6       0.6         0.8       0.9       1.0
Cyclically adjusted primary balance                          1.3        -0.1       0.3        1.6       1.9       1.8       1.3       1.2         1.4       1.4       1.5
Change in cyclically adjusted primary balance                3.4        -1.4       0.4        1.3       0.3      -0.1      -0.5      -0.1         0.2       0.1       0.0
Output gap                                                  -4.3        -3.0      -0.1       -0.2       1.2       1.5       1.6       1.2         0.7       0.4       0.2
"Nominal GDP (billions of Koruny)                          4,098       4,314     4,596      4,773     5,055     5,288     5,563     5,809       6,064     6,319     6,581"
Sources: Ministry of Finance and IMF staff estimates and projections.
"1/ Adjustments for cash-accrual differences, valuation changes and other discrepancies."
2/ In percent of potential GDP.
""
""
""
""
38      INTERNATIONAL MONETARY FUND
