V1
CHILE
Table 2. Chile: Summary Operations of the Central Government
(In percent of GDP; unless otherwise specified)
""
—_ Proj.
SANS SS
Revenues                                                                                     20.9        20.6        21.0        20.8        21.0        21.7        21.2
""
Taxes                                                                                                                                                                              16.6                 16.5                 17.3                 17.1                  17.1                  17.5                 17.3
Private mining companies                                                     1.1          1.0         0.8         0.0         0.5         0.7         0.6
"Other tax revenues, non-mining                                                                     15.6             15.5             16.5             17.1             16.7             16.8             16.8"
Social contributions                                                                                                                      14                  14                  14                  14                  1.5                  1.5                  1.5
Grants                                                                                     0.1          0.0          0.1          0.1          0.1          0.2          0.2
Other revenue                                                                                2.8           2.6           2.2           2.2           2.3           2.6           2.3
Codelco revenues                                                           1.0         0.9         0.4         0.4         0.5         0.8         0.5
Income on assets                                                               0.5         0.5         04         0.5         0.4         04         04
Operating income                                                              0.5         0.5         0.5         0.5         0.5         0.5         0.5
Other income                                                                            0.8           0.8           0.8           0.8           0.9           0.8           0.8
Expenditures                                                                                21.5        22.2        23.2        23.5        23.7        23.3        23.2
Expense                                                                                                                                              19.6              20.2              20.9              214              21.7              214              214
Compensation of employees                                                    43          44          4.5          47          4.8          4.5          4.6
Purchases of goods and services                                               2.0          2.2          2.1          2.1          2.1          1.8          18
Interest payments                                                                    0.6          0.6          0.7          0.7          0.8          0.9          0.8
Subsidies and grants                                                                  7.0          7.2          7.6          8.1           8.3          8.9          8.7
Social benefits                                                                    4.0         4.1          4.1          4.0         4.0         3.6         3.7
Other expense                                                                             17           1.8           1.9           18           17           17           17
Capital transfers                                                                                                                   17                  18                  1.9                  1.8                  1.6                  17                  17
Net acquistion of nonfinancial assets                                              19          2.0          2.3          2.1          2.0          2.0          19
Investment                                                                                                                                    2.0                 2.0                 2.3                 2.1                  2.0                 2.0                 19
Sale of physical assets                                                              0.0          0.0          0.0          0.0          0.0          0.0          0.0
Net lending/borrowing                                                                      -0.6         -1.6         -2.1          -2.7         -2.8         -1.7         -2.0
Non-mining overall balance                                                         -2.7        -3.5        -3.4        -3.1         -3.7        -3.2         -3.1
Net financial transactions                                                                                  -0.6           -1.6           -2.1            -2.7           -2.8           -1.7           -2.0
Net acquistion of financial assets                                                            -0.5            0.2          -0.2            0.6            0.4            0.0            0.3
Net incurrence of liabilities                                                         0.1          18          1.9         3.3          3.1          17         2.3
Domestic                                                                                                                                              1.1                   17                  18                  2.9                  27                  14                  2.3
External                                                                                -0.3          0.6          0.5          0.8          0.8          0.6          0.3
Recognition bonds                                                              -0.6        -0.5        -0.5         -0.4        -0.4        -0.3         -0.3
Memorandum items
Primary balance                                                                          -0.5         “1.5         -1.9         -2.4         -2.4         -1.3         -1.6
Structural Fiscal Balance 1/                                                     -0.5        -0.5         0.5        -1.1        -2.0        -1.8        -1.6
Structural Revenue 1/                                                         21.0       217       23.7       22.5        21.7       21.5        21.6
Fiscal Impulse 2/                                                                           -0.2           0.3          -0.5           0.2           0.2           0.1          -0.1
Expenditure growth (in real terms; annual percent change)                  3.9         6.5         74         3.8         4.8          1.2          18
"Central Government Net Debt                                                       -5.6         -4,3         -3.4          0.9          44          5.8          7.7"
"Gross debt                                                                                                 12.7           15.0           17.3           21.0          23.6           24,7           26.0"
Peso-denominated assets                                                               6.5           6.2           6.8           7.2           7.3           6.9           6.7
Foreign currency-denominated assets                                                              11.8            13.1             14.0            12.9            11.9            12.0            11.6
Central Government Net Debt (Excl Pension Reservation Fund)              -2.8         -1.1           0.2          44          7.8          9.4         11.4
Public Sector Gross Debt 3/                                                              33.9         37.6         40.1         42.8         42.6         43.7         45.1
Public Sector Net Debt 3/                                                                 -1.0           0.5           1.0           6.1           8.9         10.3         12.3
Nominal GDP (trillions of pesos)                                                 137.9       148.6       159.6       169.2       179.7       189.2       199.6
General Government Fiscal Balance 4/                                                 -0.5          -1.5          -2.1          -2.7          -2.6          -1.6          -1.9
Sources: Ministry of Finance and Fund staff calculations and projections.
1/ The output gap used for the structural adjustment calculation is measured as the difference from the potential GDP of the committee of
experts.
2/ The Fiscal Impulse is defined as the negative of the annual change of the structural non-mining primary balance.
"3/ Includes liabilities of the central government, the cental bank of Chile and non-financial public enterprises. Excludes Recognition bonds."
4/ Includes the central government and municipality governments.
32 INTERNATIONAL MONETARY FUND
