V1
CHILE
Table 2. Chile: Summary Operations of the Central Government
(In percent of GDP; unless otherwise specified)
a
a SS GS ee SS
Revenues                                                                                                                 20.6           21.0           20.8           21.0           22.0           21.3           18.9           21.9           21.4           21.8           21.7           21.6
Taxes                                                                                                                     16.5            17.3            17.1            17.1            17.9            17.4            15.2            18.2            17.7            18.1            18.0            17.9
Private mining companies                                                                1.0           08           0.0           0.5           08            1.0           0.9           0.7           0.6           0.6           0.5           0.5
"Other tax revenues, non-mining                                                                15.5            16.5            17.1            16.7            17.1            16.5            14.3            17.5            17.1            17.5            174            174"
Social contributions                                                                                                                    14                 14                 14                 15                  1.5                  1.5                  1.5                  1.5                  1.5                 15                  15                  1.5
Grants                                                                                                                 0.0             0.1              0.1              0.1              0.1              0.1              0.1              0.1              0.1              0.1              0.1              0.1
Other revenue                                                                                     2.6           2.2            2.2            2.3            2.5            2.3            2.1            2.1            2.1            2.1            2.1            2.1
Codelco revenues                                                                           0.9           04           04           0.5           0.6           0.4           0.3           0.3           0.3           0.3           0.2           0.2
Income on assets                                                                                   0.5            04            04            04            0.5            0.5            0.4            0.4            0.5            0.5            0.5            0.5
Operating income                                                                     0.5           0.5           0.5           0.5           0.5           0.5           0.5           0.5           0.5           0.5           0.5           0.5
Other income                                                                                                                     0.8                08                08                09                 1.0                0.8                 0.8                0.8                0.8                08                0.9                0.9
Expenditures                                                                                                           22.2           23.2           23.5           23.7           23.6           24.1           27.0           24.3           24.2           23.6           22.8           22.7
Expense                                                                                                                19.9           20.8           21.3            21.6           21.6           22.1            25.0           22.1            22.1            21.6           20.9           20.8
Compensation of employees                                                                             44              45              47              48              48              49              5.3              49              49              49              49              49
Purchases of goods and services                                                                    18              19              19              2.0              1.9              1.9              2.0              1.8              1.7              1.6              15              15
Interest payments                                                                              0.6           0.7           0.7           0.8           0.8           0.9            1.1            0.8           0.9            1.1            1.0            1.0
Subsidies and grants                                                                                           7.2              76              8.1               8.3              8.4              8.7            10.7              9.1               9.0              84              79              78
Social benefits                                                                                  4.1            4.1            4.0           4.0           4.0            3.8           4.0           3.8           3.8           3.8           3.8           3.8
Other expense                                                                                                            18               1.9               18               1.7               1.7               1.8               1.9               1.8               18               18               18               18
Capital transfers                                                                                                                            18                   1.9                   18                   1.6                   1.6                   1.7                   1.9                   1.7                   1.7                   17                   17                   17
Net acquistion of nonfinancial assets                                                           23            24            2.2            2.1            2.0            2.0            2.0            2.1            2.1            2.0            19            18
Investment                                                 2.3      24      2.2      2.2      2.0      2.0      2.0      2.1       2.1       2.0      19      18
Sale of physical assets                                                                                 0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0
Gross operating balance                                                                              0.7           0.3          -0.5          -0.6           04          -0.8          -6.0          -0.2          -0.7           0.2           0.7           0.8
Net lending/borrowing                                                                      -1.6         -2.1         -2.7         -2.8         -1.6         -2.8         -8.0         -2.4         -2.8         -1.8         -1.1         -1.1
Non-mining overall balance                                                                 -3.5          -34          -3.1          -3.7          -3.0          -4.1          -9.3          -3.4          -3.7          -2.6          -1.9          -18
Net financial transactions                                                                       -1.6          -2.1          -2.7          -2.8          -1.6          -2.8          -8.0          -2.4          -2.8          -1.8          -1.1          -1.1
Net acquistion of financial assets                                                                      0.2            -0.2             0.6             04             0.0            -0.6            -3.6             27             19             14             14             04
Currency and deposits                                                                               -0.9             0.1            -0.2            -0.1            -0.2             0.1             0.0             0.0             0.0             0.0             0.0             0.0
Securities other than shares                                                                   1.1           -0.4            09            0.4            0.2           -0.6           -3.6            2.7            1.9            14            14            0.4
