V1
CHILE
Table 2. Chile: Summary Operations of the Central Government
"(In percent of GDP, unless otherwise specified)"
Est.                                                          Proj.
2019              2020              2021               2022              2023              2024              2025              2026              2027
Revenues                                                                                                         21.7           20.1           23.9           23.3           23.6           23.8           23.4           23.3           23.1
Taxes                                                                                                                                                               17.7                 16.1                  18.8                 18.3                 18.3                 19.0                 19.0                 19.1                  19.1
Private mining companies                                                            1.0            0.7            1.2            1.9            1.6            1.3            1.2            1.2            1.2
"Other tax revenues, non-mining                                                                           16.7                15.5                17.6               16.4               16.8               17.7                17.8               17.9               17.9"
Social contributions                                                                                                                     1.5                   1.6                   1.2                   1.2                    1.2                    1.2                    1.2                    1.2                    1.2
Grants                                                                                                         0.1              0.1              0.0              0.1              0.1              0.1              0.1              0.1              0.1
Other revenue                                                                                       24             2.3             3.8             3.8             4.1             3.6             3.1             2.9             2.8
Codelco revenues                                                                       0.4            0.5            1.8            1.9            2.2            1.7            1.2            1.0            0.9
Income on assets                                                                                0.6             0.4             0.2             0.5             0.5             0.5             0.5             0.5             0.5
Operating income                                                           0.5          04          0.5          0.5          0.5          0.5          0.5          0.5          0.5
Other income                                                                                                                    1.0                  1.0                  1.2                  0.9                  0.9                  0.9                  0.9                  0.9                  0.9
Expenditures                                                                                                   24.6           27.4           31.6           24.9           24.3           24.2           23.8           23.7           23.5
Expense                                                                                                        22.5            25.6            29.8            23.6            22.9            22.7            22.3            22.3            22.1
Compensation of employees                                                              5.0             5.3             48             49             5.0             5.0             5.0             5.0             5.0
Purchases of goods and services                                                         2.0             2.2             2.0             18             1.7             1.7             1.7             1.7             1.7
Interest payments                                                                     0.9           1.0           0.9           0.8           0.9           0.9           0.9           0.9           1.1
Subsidies and grants                                                                                  8.8            11.1             16.8            10.2              9.5              94              8.9              8.9              8.6
Social benefits                                                                     4.0          a           3.7           4.0          4.0          4.0          4.0          4.0          4.0
Other expense                                                                                                 1.8               1.7               1.6               1.8               1.8               1.8               1.8               1.8               1.8
Net acquistion of nonfinancial assets                                                         2.1              1.8             1.8             1.4             1.5             1.5             1.5             1.4             1.4
Investment                                                                                                                               2.1                   1.8                  1.8                  1.4                  1.5                   1.5                   1.5                   1.4                  1.4
Net Lending/Borrowing                                                                  -2.9         -7.3          -7.7          -1.7          -0.7          -0.4         -0.4         -0.4         -0.4
Non-mining overall balance                                                                                    -4.2              -8.5           -10.7              -5.5              -4.5              -3.4              -2.8              -2.6              -2.5
Net Financial Transactions                                                              -2.9         -7.3          -7.7          -1.7          -0.7          -0.4         -0.4         -0.4         -0.4
Net acquistion of financial assets                                                              -0.6            -3.2            -1.6             3.0             1.3             0.4             1.5             1.2             1.2
Net incurrence of liabilities                                                                      2.2             4.1             6.0             4.6             2.0             0.8             1.8             1.6             1.6
Domestic                                                                                                                                              2.0                    2.5                    1.3                    3.5                    1.2                    0.4                    1.5                    1.1                    0.7
External                                                                                                                                             0.5                   1.8                   48                   1.2                   0.8                   0.5                   0.4                   0.6                   0.9
Recognition bonds                                                               -0.2          -0.2          -0.1          -0.1          -0.1          -0.1           0.0           0.0           0.0
Memorandum Items
Primary balance                                                                                                           -2.5              -6.8              -7.1               -1.3              -0.3                0.0                0.0                0.0                0.2
Structural Fiscal Balance                                                                                                              -1.7                 -2.4              -11.5                 -4.4                 -2.2                 -1.2                 -0.7                 -0.4                 -0.4
Structural Revenue                                                             22.9        25.0        20.0        20.5         22.1         23.0        23.1         23.3         23.1
Fiscal Impulse 1/                                                                                         0.5              0.4              8.5            -6.2            -1.5            -1.1             -0.6            -0.2            -0.3
Expenditure growth (in real terms; annual percent change)                       4.2           10.4           32.5          -20.9            -1.6             0.9             0.3             1.9             1.4
Central Government debt net of treasury assets                                       18.6           24.2           31.0           31.8           33.3           32.9           33.5           33.9           33.8
Central Government gross debt                                                               28.3           32.6           36.3           38.3           38.4           37.6           37.8           37.9           37.9
Public Sector Gross Debt 2/                                                             49.2          59.4          63.2          65.1          65.3          64.4          64.7          64.7          64.8
Public Sector debt net of treasury assets 2/                                           39.5           51.1           57.9           58.7           60.2           59.8           60.3           60.7           60.7
General Government Fiscal Balance 3/                                               -2.7          -7.2          -7.5          -1.5          -0.6          -0.3          -0.2          -0.3            0.0
Nominal GDP (trillions of pesos)                                                                      195.8           200.0           240.5           258.5           272.6          285.7           300.4           315.9           332.5
Sources: Ministry of Finance and IMF staff calculations and projections.
1/ The Fiscal Impulse is defined as the negative of the annual change of the structural non-mining primary balance.
"2/ Includes liabilities of the central government, the cental bank of Chile and non-financial public enterprises. Excludes Recognition Bonds."
3/ Includes the central government and municipality governments.
INTERNATIONAL MONETARY FUND 23
