V1
REPUBLIC OF CONGO
""
""
""
""
"                               Table 2b. Republic of Congo: Central Government Operations, 2019–26"
                                                       (Percent of non-oil GDP)
""
""
""
                                                                                                                        2019                   2020                   2021          2021       2022    2023    2024        2025    2026
                                                                                                                                                                       Rev.
                                                                                                                         Est.          CR 20/26 1      Prel.                                           Projection
                                                                                                                                                                      Budget
""
     Total Revenue and Grants                                                                                           44.2                 44.9              31.1       36.2       36.2       39.5    37.0    37.0        34.7    32.3
       Revenue                                                                                                          42.9                 44.3              28.8       35.9       35.9       38.7    36.1    36.1        33.7    31.3
           Oil revenue                                                                                                  29.1                 26.0              15.3       21.7       21.6       23.1    20.6    20.4        17.8    15.1
               of which: repayment of oil-prepurchased debt                                                              6.8                  7.6               1.9         …         2.0        1.7     1.8     1.4         1.7     1.2
           Non-oil revenue                                                                                              13.9                 18.3              13.4       14.1       14.2       15.5    15.5    15.8        16.0    16.2
             Direct taxes                                                                                                5.8                   7.4              4.7           4.6        4.8     5.8     5.8        6.0      6.1     6.2
             Taxes on goods and services                                                                                 5.3                   7.6              6.0           6.1        6.2     6.5     6.5        6.4      6.4     6.3
             Customs receipts                                                                                            2.3                   2.8              2.4           2.5        2.4     2.4     2.4        2.6      2.8     2.9
             Non-tax revenue                                                                                             0.5                   0.6              0.3           0.8        0.8     0.8     0.8        0.8      0.7     0.7
     Grants                                                                                                              1.2                   0.6              2.3           0.3        0.3     0.8     0.9        0.8      1.0     1.0
     Expenditure and Net Lending                                                                                        36.4                 33.0              32.8       33.2       33.8       34.4    33.7    32.5        32.6    31.3
       Current expenditure                                                                                              30.3                 26.2              27.8       27.0       28.2       27.4    26.4    25.8        25.7    24.9
           Wages                                                                                                         7.7                  8.2               8.3        8.5        8.5        8.2     8.1     8.1         8.1     8.1
           Other primary current expenditure                                                                            16.5                 15.9              16.2       14.6       16.4       15.4    15.0    14.4        14.5    13.6
             Goods and services                                                                                          3.9                   4.0              3.7           3.3        4.0     4.0     3.9        3.6      3.9     3.8
             Transfers                                                                                                  11.8                 10.9              11.2           9.9    11.0       10.1     9.8        9.5      9.4     8.7
"                 Social Transfers (Lisungi, COVID-19 and others)                                                         0.1                   1.3              1.9           2.0        2.0     2.0     2.0        2.0      2.0     2.0"
                 Traditional transfers                                                                                   4.8                   7.1              6.4            …         6.3     6.2     5.7        5.8      5.5     5.2
                 Oil-related transfers                                                                                   6.8                   2.6              1.9            …         2.0     1.7     1.8        1.4      1.7     1.2
             Common charges                                                                                              0.8                   1.0              1.4           1.4        1.4     1.3     1.3        1.2      1.2     1.2
           Annex budgets and special Accounts2                                                                           0.7                   0.0              1.4           1.0        1.1     0.6     0.6        0.6      0.5     0.5
           Interest                                                                                                      5.4                   2.1              1.9           3.0        2.3     3.2     2.8        2.8      2.7     2.7
               Domestic                                                                                                  0.5                   0.4              0.8            …         0.7     1.3     1.4        1.7      1.9     2.2
               External                                                                                                  4.8                   1.7              1.1            …         1.5     1.9     1.4        1.0      0.7     0.5
                 of which: COVID-19 Moratorium Loan (interest)                                                           0.0                    …               0.0            …         0.0     0.0     0.0        0.0      0.0     0.0
                 of which: on oil-prepurchased debt                                                                      2.1                   0.6              0.0            …         0.5     1.0     0.6        0.4      0.2     0.0
         Capital expenditure                                                                                             6.1                   6.8              5.0           6.2        5.6     7.0     7.2        6.7      6.9     6.4
           Domestically financed                                                                                         2.1                   4.1              2.8           3.4        3.0     3.3     3.3        3.3      3.4     3.4
           Externally financed                                                                                           4.0                   2.7              2.2           2.8        2.6     3.6     4.0        3.4      3.5     3.0
     Non-oil primary balance3                                                                                          -15.9                -12.1          -15.2         -15.8      -17.0      -14.9   -14.5   -13.1       -13.0   -11.4
     Primary balance                                                                                                    13.1                 13.9               0.2           6.0        4.7     8.3     6.1        7.3      4.7     3.7
"     Overall balance, payment order basis"
      Excluding grants                                                                                                   6.5                 11.3              -4.1           2.7        2.0     4.3     2.5        3.7      1.1     0.1
         Including grants                                                                                                7.8                 11.8              -1.7           3.0        2.4     5.1     3.3        4.5      2.1     1.0
     Adjustment to cash basis                                                                                           -3.2                   0.0              0.7           0.0        0.0     0.0     0.0        0.0      0.0     0.0
"     Overall balance, cash basis                                                                                         4.6                 11.8              -1.0           3.0        2.4     5.1     3.3        4.5      2.1     1.0"
     Financing                                                                                                          -4.6                -21.3               1.0       -3.0       -2.4       -5.1    -3.3     -4.5       -2.1    -1.0
       Foreign (net)                                                                                                    -2.8                -10.2               1.1       -5.5       -5.7       -8.2    -6.1     -5.4       -4.0    -0.7
         Drawings                                                                                                        6.1                  2.4               1.8        2.5        2.9        2.8     3.1      2.6        2.5     2.0
           COVID-19 Moratorium Loan                                                                                      0.0                    …               2.0            …         2.2     0.0     0.0        0.0      0.0     0.0
           Amortization (paid)                                                                                          -6.2                -12.5              -9.5       -8.0      -10.8      -11.1    -9.3     -7.9       -6.6    -2.7
            of which: COVID-19 Moratorium Loan (principal and interest)                                                  0.0                    …               0.0            …      0.0        0.5     1.0      0.9        0.4     0.4
            of which: on oil-prepurchased debt                                                                          -1.2                  -6.5             -0.4            …     -2.6       -5.8    -5.0     -4.3       -3.6     0.0
           Other foreign financing                                                                                      -2.7                   0.0              1.9            …         0.0     0.0     0.0        0.0      0.0     0.0
         Domestic (net)                                                                                                 -1.8                -11.1              -0.1           2.5        3.3     3.1     2.8        0.9      2.0    -0.3
           Banking system (net)                                                                                         -1.9                  -6.2              7.5           9.8        6.6     6.5     5.2        1.6      3.0     1.7
             Central bank                                                                                               -2.7                  -5.8              2.7           0.8    -3.3        2.1    -2.4     -1.6       -1.9    -3.2
              Commercial banks                                                                                           0.8                  -0.4              4.8           9.0     9.9        4.3     7.6      3.2        4.9     4.9
           Nonbank financing                                                                                             0.1                  -4.9             -7.6       -7.2       -3.2       -3.3    -2.4     -0.8       -1.1    -2.1
              Of which: net purchase of government securities                                                            0.0                    …               0.0            …     -0.6       -0.9    -0.1        1.9      1.4    -0.3
               Of which: Repayment of domestic arrears                                                                  -3.9                  -5.1             -4.8       -2.9       -3.8       -3.5    -3.2     -2.7       -2.4    -1.7
               Of which: Debt service to ENI                                                                             0.0                   0.0              0.0           0.0        0.0     0.0     0.0        0.0      0.0     0.0
               Of which: Tax arrears recovery                                                                            0.0                    …               0.0            …         1.1     1.0     1.0        0.0      0.0     0.0
     Memorandum items:
                                   4
         Stock of domestic arrears                                                                                      22.8                 10.2              32.0            …     25.3       18.6    12.6        7.8      3.6     1.0
         Stock of government deposits                                                                                    4.7                   9.0              2.3            …         5.6     1.9     3.0        3.3      4.0     5.9
                                         5
         CEMAC Reference fiscal balance                                                                                 -5.6                   4.2              3.6            …         0.6    -1.2    -2.9     -0.5       -0.7    -0.4
"         GDP at current market prices (CFAF billion)                                                                   7,494                7,775          5,937         6,976      6,976      7,168   7,336   7,806      7,999    8,150"
"         Non-oil GDP at market prices (CFAF billion)                                                                   4,533                4,790          4,245         4,369      4,369      4,630   4,931   5,267      5,620    5,997"
     Sources: Congolese authorities; and IMF staff estimates and projections.
     1
"         Staff Report for the 2019 Article IV Consultation (January 27, 2020; Country Report No. 20/26). For comparability, we used the rebased nominal GDP with the nominal growth projected at the time of the country report."
     2
         Includes net spending (i.e. spending minus revenues) associated with decentralized government entities.
     3
         Revenue and grants excluding oil revenues minus total primary expenditures (excluding interest payments).
     4
         Includes estimates of domestic arrears audited by the the Caisse Congolaise d'Amortisation (CCA) and reported but not yet audited arrears.
     5
         CEMAC definition: overall balance minus 20 percent of oil revenues and minus 80 percent of the oil revenue in excess of the average observed during the three previous years.
""
""
""
""
22          INTERNATIONAL MONETARY FUND
