V1
CZECH REPUBLIC
""
""
""
"                         Table 3. Czech Republic: General Government Operations, 2014–24"
                                                   (Percent of GDP)
                                                           2014    2015      2016          2017      2018      2019      2020      2021        2022       2023      2024
                                                                                                                                    Staff Projections
 Revenue                                                   40.3       41.1      40.2         40.5      41.7      41.8      41.6       41.5         41.4     41.3      41.2
 Taxes                                                     19.1       19.5      19.9         20.2      20.3      20.2      20.0       19.9         19.8     19.7      19.6
    Personal income tax                                     3.7        3.6       3.8          4.0       4.3       4.5       4.6         4.6         4.6      4.6       4.6
    Corporate income tax                                    3.3        3.4       3.5          3.5       3.3       3.2       3.2         3.2         3.2      3.2       3.2
    VAT                                                     7.4        7.3       7.4          7.7       7.7       7.7       7.6         7.7         7.7      7.8       7.8
    Excise                                                  3.5        4.0       3.8          3.7       3.5       3.4       3.2         3.1         3.0      2.9       2.7
    Other taxes                                             1.2        1.2       1.3          1.3       1.4       1.4       1.4         1.4         1.4      1.4       1.4
 Social contributions                                      14.6       14.4      14.7         15.0      15.7      16.0      16.0       16.0         16.0     16.0      16.0
 Capital and other current transfers and subsidies          2.2        3.0       1.5          1.5       1.8       1.7       1.8         1.8         1.8      1.8       1.8
 Other revenue                                              4.4        4.2       4.1          3.8       3.9       3.9       3.9         3.9         3.9      3.9       3.8
    Property income                                         0.9        0.8       0.8          0.6       0.6       0.6       0.6         0.6         0.6      0.6       0.6
    Sales of goods and services                             3.5        3.4       3.3          3.2       3.3       3.2       3.2         3.2         3.2      3.2       3.2
    Other revenue                                           0.0        0.0       0.0          0.0       0.1       0.1       0.1         0.1         0.1      0.1       0.1
 Expenditure                                               42.4       41.7      39.5         38.9      40.8      41.6      41.7       41.7         41.8     41.7      41.6
  Expense                                                  38.3       36.6      36.2         35.6      36.7      37.4      37.5       37.4         37.3     37.2      37.1
   Compensation of employees                                8.8        8.7       8.8          9.1       9.8      10.4      10.3       10.4         10.4     10.4      10.4
   Use of goods and services                                6.4        6.2       6.1          5.9       6.1       6.0       5.9         5.8         5.8      5.7       5.6
   Interest                                                 1.3        1.1       0.9          0.7       0.8       0.7       0.7         0.6         0.6      0.6       0.6
   Subsidies                                                2.3        2.3       2.3          2.2       2.3       2.3       2.3         2.3         2.3      2.3       2.3
   Grants                                                   0.4        0.3       0.3          0.3       0.4       0.4       0.4         0.4         0.4      0.4       0.4
   Social benefits                                         16.1       15.4      15.3         14.9      14.9      15.2      15.5       15.5         15.5     15.5      15.5
   Other expenses                                           3.0        2.6       2.6          2.5       2.3       2.3       2.3         2.3         2.3      2.3       2.3
  Net acquisition of nonfinancial assets                    4.1        5.1       3.3          3.4       4.1       4.2       4.2         4.3         4.5      4.5       4.5
 Gross Operating Balance                                    2.0        4.5       0.7          5.0       5.0       4.4       4.1         4.1         4.1      4.1       4.1
 Net lending/borrowing (overall balance)                   -2.1       -0.6       0.7          1.6       0.9       0.2      -0.1        -0.2        -0.4     -0.4      -0.4
 Net financial transactions                                -2.1       -0.6       0.7          1.6       0.9       0.2      -0.1        -0.2        -0.4     -0.4      -0.4
  Net acquisition of financial assets                      -2.4        0.3      -1.2          0.0       0.0       0.0       0.0         0.0         0.0      0.0       0.0
   Net incurrence of liabilities                           -0.4        0.9      -1.9         -1.6      -0.9      -0.2       0.1         0.2         0.4      0.4       0.4
 Adjustment and statistical discrepancies 1/                0.0        0.0       0.1          0.0       0.0       0.0       0.0         0.0         0.0      0.0       0.0
""
 Memorandum item:
 General government debt                                    42.2        40.0     36.8        34.7      32.7      31.7      30.6       29.8        29.1      28.2      27.4
 Primary balance                                             -1.0         0.3      1.5         2.2       1.5       0.8       0.4        0.3         0.1       0.1       0.1
 Structural balance 2/                                       -1.5        -0.8      0.7         1.2       0.5       0.2      -0.1       -0.2        -0.4      -0.4      -0.4
 Cyclically adjusted primary balance                          0.1         0.3      1.6         1.8       1.2       0.7       0.4        0.3         0.1       0.1       0.1
 Change in cyclically adjusted primary balance               -1.4         0.3      1.3         0.2      -0.6      -0.5      -0.3       -0.2        -0.2       0.0       0.0
 Output gap                                                  -3.0        -0.1     -0.3         1.1       0.7       0.1       0.1        0.0         0.0       0.0       0.0
" Nominal GDP (billions of Koruny)                          4,314       4,596    4,768       5,047     5,304     5,587     5,870      6,147       6,430     6,719     7,024"
 Sources: Ministry of Finance and IMF staff estimates and projections.
" 1/ Adjustments for cash-accrual differences, valuation changes and other discrepancies."
 2/ In percent of potential GDP.
""
""
""
""
36     INTERNATIONAL MONETARY FUND
