V1
                                                                                                                                                                 CÔTE D’IVOIRE
""
""
""
"              Table 3b. Côte d'Ivoire: Fiscal Operations of the Central Government, 2017–24"
"                                                  (Percent of GDP, unless otherwise indicated)"
                                                                          2017          2018                 2019                2020      2021         2022      2023    2024
                                                                                     Prog.       Est.     Prog.      Proj.                         Projections
""
Total revenue and grants                                                  20.4        20.4      19.9       20.5      20.3         20.4      20.4        20.5       20.6   20.6
 Total revenue                                                            19.2        19.2      18.8       19.4      19.0         19.2      19.5        19.8       20.0   20.3
   Tax revenue                                                            16.5        16.5      16.2       17.0      16.7         16.8      17.0        17.3       17.5   17.8
     Non-earmarked taxes                                                  15.6        15.6      15.3       16.0      15.8         16.0      16.2        16.4       16.6   16.8
       Direct taxes                                                        4.3         4.6       4.6        4.8       4.9          5.0       5.1         5.1        5.1    5.2
       Indirect taxes                                                     11.3        11.0      10.7       11.1      10.9         11.0      11.1        11.2       11.5   11.6
     Earmarked taxes                                                       0.9         0.9       0.9        1.0       0.9          0.9       0.8         0.9        0.9    1.0
   Nontax revenue                                                          2.7         2.6       2.7        2.4       2.4          2.4       2.5         2.5        2.5    2.5
" Grants, of which                                                           1.2        1.3       1.0        1.2        1.2         1.2       1.0          0.7       0.6    0.2"
    Project grants                                                          0.5        0.6       0.4        0.6        0.6         0.6       0.5          0.2       0.1    0.1
""
Total expenditure                                                         24.9        24.4      23.8       23.6      23.3         23.4      23.3        23.4       23.5   23.5
 Current expenditure                                                      18.0        17.5      17.4       17.0      17.0         16.9      16.7        16.9       16.8   17.0
   Wages and salaries                                                      6.8         6.8       6.8        6.6       6.6          6.4       6.4         5.9        5.7    5.5
   Social security benefits                                                1.2         1.3       1.2        1.3       1.2          1.3       1.3         1.7        1.8    1.9
   Subsidies and other current transfers                                   1.9         1.7       1.7        1.5       1.5          1.6       1.7         1.8        1.9    1.9
   Other current expenditure                                               4.8         4.8       4.8        4.4       4.6          4.6       4.6         4.6        4.6    4.6
   Expenditure corresponding to eamarked taxes                             0.9         0.9       0.9        1.0       0.9          0.9       0.8         0.9        0.9    1.0
  Crisis-related expenditure1/                                              0.7        0.1       0.1        0.1        0.1         0.0       0.0          0.0       0.0    0.0
  Interest due                                                              1.7        1.8       1.8        2.0        2.0         2.0       1.9          2.0       1.9    2.0
    On domestic debt                                                        0.9        0.9       0.9        0.8        0.8         0.8       0.7          0.8       0.7    0.8
    On external debt                                                        0.8        0.9       1.0        1.2        1.2         1.3       1.2          1.2       1.2    1.2
 Capital expenditure                                                        6.9        6.9       6.5        6.6        6.3         6.5       6.6          6.5       6.7    6.5
  Domestically financed                                                     4.2        4.0       3.7        3.9        3.5         3.9       4.1          4.2       4.5    4.4
"  Foreign-financed, of which                                                2.7        3.0       2.7        2.7        2.8         2.6       2.5          2.3       2.2    2.2"
      Foreign loan-financed                                                 2.2        2.4       2.4        2.1        2.3         2.0       2.1          2.1       2.0    2.1
Primary basic balance                                                      -1.3       -0.5      -0.4        0.5        0.6         0.5       0.6          0.7       0.6    1.0
"Overall balance, including grants                                          -4.5       -4.0      -4.0       -3.0       -3.0        -3.0      -2.9         -2.9      -2.9   -2.9"
"Overall balance, excluding grants                                          -5.7       -5.3      -5.0       -4.2       -4.3        -4.1      -3.9         -3.6      -3.5   -3.2"
Change in domestic arrears and float (excl. on debt service)               -0.9       -0.4      -0.5       -0.1       -0.1        -0.1      -0.1          0.0       0.0    0.0
Overall balance (cash basis)                                               -5.4       -4.4      -4.4       -3.1       -3.1        -3.1      -3.0         -2.9      -2.9   -2.9
""
Financing                                                                   5.4        4.4       4.4        3.1        3.1         3.1       3.0          2.9       2.9    2.9
  Domestic financing                                                        0.3       -1.9       0.6       -1.1       -0.7         0.2      -1.1          0.2      -0.9    0.2
    Bank financing (net)                                                    0.3       -2.0       0.8       -1.3       -1.1         0.1      -1.2          0.0      -1.0    0.0
    Nonbank financing (net)                                                 0.0        0.1      -0.3        0.1        0.4         0.1       0.1          0.1       0.1    0.1
  External financing                                                        5.1        5.6       3.8        3.4        3.1         2.6       3.8          2.7       3.8    2.7
    Regional financing (WAEMU)                                              0.4       -0.2      -2.3        0.7        0.2         1.8       1.0          1.5       1.3    2.4
    Foreign financing (net)                                                 4.6        5.8       6.1        2.7        2.9         0.8       2.8          1.2       2.6    0.4
  Financing gap (+ deficit / – surplus)                                     0.0        0.7       0.0        0.9        0.8         0.3       0.2          0.0       0.0    0.0
    Expected financing (excluding IMF)                                       …         0.3        …         0.3        0.2         0.3       0.2          0.0       0.0    0.0
"    Residual gap/IMF financing, of which                                     …         0.3        …         0.6        0.6          …         …            …         …      …"
        IMF-ECF 2/                                                           …         0.1         …        0.2        0.2          …         …            …         …      …
     IMF-EFF 2/                                                              …         0.2         …        0.4        0.4          …         …            …         …      …
Memorandum items:
 External debt (central government)                                       30.5        36.7      36.5       36.8      37.8         35.3      34.8        33.0       32.7   31.4
 Pro-poor spending (including foreign financed)                            9.5         9.6       9.9        9.7       9.7          9.8       9.9         9.9        9.9    9.9
""
 Sources: Ivoirien authorities; and IMF staff estimates and projections.
  1/
"     In 2017, includes one-off payments to soldiers of about 0.5 percent of GDP."
   2/
"        In the CFA franc zone, Fund resources are channeled via the regional central bank that provides equivalent domestic currency credit to the relevant government."
""
""
""
""
                                                                                                                    INTERNATIONAL MONETARY FUND                              23
