V1
DENMARK
""
""
""
"               Table 4. Denmark: GFSM 2001 Statement of Government Operations, 2018–26"
                                            (Billions of DKK)
                                                             2018     2019     2020     2021      2022      2023        2024      2025      2026
                                                                                est.                           proj.
""
 General Government
  Total Revenues                                            1154.7   1238.1   1227.8   1238.3    1277.6    1325.7      1369.7    1437.3    1495.4
   Personal Income Taxes                                     536.1    555.4    581.0    600.4     600.7     622.1       647.4     673.8     701.0
   Pension Return Taxes                                       13.8     63.4     48.0      9.7      22.9      18.5        19.3      34.4      35.8
   Company Taxes                                              61.5     71.3     61.1     63.2      66.2      68.8        71.6      74.5      77.6
   Taxes on Goods and Services                               318.8    320.0    323.0    316.0     356.4     370.6       385.7     401.4     417.6
   Social Contributions                                       18.7     19.3     16.3     17.0      17.8      18.5        19.3      20.1      20.9
   Interest and Dividends                                     26.3     24.3     19.9     24.3      22.9      26.5        24.8      22.9      23.9
   Other revenues                                            179.5    184.5    178.5    207.7     190.6     200.7       201.5     210.2     218.7
     Total Expenditures                                     1139.1   1149.9   1254.5   1319.2    1301.5    1343.4      1385.6    1436.1    1494.1
      Expense                                               1064.6   1077.7   1174.4   1231.7    1209.9    1245.5      1289.1    1338.6    1392.7
        Public Consumption                                   536.5    546.9    565.9    604.6     611.7     634.0       658.3     683.4     709.6
        Public Subsidies                                      38.1     38.2     68.7     70.5      40.7      39.7        38.6      40.1      41.8
        Interest Expenditures                                 18.0     17.3     11.9     17.0      12.7      18.5        16.5      17.2      16.4
        Social Benefits                                      393.5    403.0    424.0    437.5     442.9     455.3       473.9     493.1     513.1
        Other Expenditures                                    78.5     72.4    103.9    102.1     101.8      97.9       101.9     104.7     111.9
      Net Acquisition of Nonfinancial Assets                  74.5     72.1     80.1     87.5      91.6      97.9        96.4      97.5     101.4
""
 Gross operating balance                                      90.1    160.4     53.4      6.6      67.7      80.3        80.5      98.7     102.8
 Net lending/borrowing                                        15.6     88.3    -26.7    -80.9     -24.0     -17.7       -15.9       1.3       1.3
 Net financial transactions                                   14.6     89.0    -32.0        ..        ..        ..          ..        ..        ..
  Net acquisition of financial assets                         -5.5    111.3    214.5        ..        ..        ..          ..        ..        ..
      Currency and deposits                                  -29.0    -45.8     60.5        ..        ..        ..          ..        ..        ..
      Securities other than shares                            37.1     59.9     11.5        ..        ..        ..          ..        ..        ..
      Loans                                                   12.5     13.3     65.0        ..        ..        ..          ..        ..        ..
      Shares and other equity                                  1.8      6.9     18.7        ..        ..        ..          ..        ..        ..
      Insurance technical reserves                             0.0      0.0      0.0        ..        ..        ..          ..        ..        ..
      Financial derivatives and employee stock options         2.1      0.1     -8.3        ..        ..        ..          ..        ..        ..
 Other financial assets                                      -30.1     76.8     67.1        ..        ..        ..          ..        ..        ..
  Net incurrence of liabilities                              -20.1     22.3    246.6        ..        ..        ..          ..        ..        ..
      Currency and deposits                                   -0.1     -0.4      0.9        ..        ..        ..          ..        ..        ..
      Securities other than shares                           -28.4      9.1    201.7        ..        ..        ..          ..        ..        ..
      Loans                                                    4.2      0.2      6.8        ..        ..        ..          ..        ..        ..
      Shares and Other Equity                                  0.0      0.0      0.0        ..        ..        ..          ..        ..        ..
      Insurance Technical Reserves                             0.0      0.0      0.0        ..        ..        ..          ..        ..        ..
      Other liabilities                                        4.2     13.4     37.2        ..        ..        ..          ..        ..        ..
""
 Sources: Statistics Denmark and Fund staff calculations.
""
""
""
""
44      INTERNATIONAL MONETARY FUND
