V1
DJIBOUTI
""
""
""
"                             Table 3. Djibouti: Central Government Operations, 2015–24"
                                                  (In percent of GDP)
                                                                                              Est.                    Proj.
                                                                    2015       2016   2017   2018    2019   2020   2021     2022   2023   2024
""
     Revenues and grants                                            26.3       24.2   23.6   23.9    23.1   21.7   20.7     20.3   19.6   19.0
      Tax revenues                                                  14.2       13.9   13.5   13.3    12.9   12.7   12.3     12.3   12.1   11.9
        Direct taxes                                                 6.1        6.0    5.6    5.5     5.5    5.4    5.2      5.2    5.1    5.0
        Indirect and other taxes                                     8.1        8.0    7.9    7.7     7.4    7.3    7.1      7.1    7.0    6.9
          Indirect taxes                                             7.2        6.9    7.1    7.0     6.7    6.5    6.3      6.3    6.2    6.1
          Other taxes                                                0.9        1.0    0.8    0.7     0.7    0.8    0.8      0.8    0.7    0.7
      Nontax revenue                                                 7.2        7.2    8.3    7.2     6.9    6.7    6.3      6.1    5.7    5.5
          Domestic                                                   3.0        2.7    4.1    3.0     2.9    3.1    2.9      3.0    2.9    2.8
          External                                                   4.2        4.4    4.3    4.2     3.9    3.6    3.4      3.1    2.9    2.7
      Grants                                                         4.9        3.2    1.8    3.4     3.3    2.3    2.1      1.9    1.8    1.7
        Development projects                                         1.9        1.3    0.9    2.4     1.1    1.0    0.9      0.9    0.8    0.7
        Budget support                                               2.9        1.9    0.9    0.9     2.2    1.2    1.2      1.1    1.0    0.9
""
     Expenditure                                                    41.6       32.5   28.1   26.7    24.6   23.4   23.1     21.1   20.5   20.0
       Current expenditure                                          16.3       17.7   17.7   17.7    16.7   15.8   15.2     14.7   14.3   13.8
        Wages and related expenditure                                7.1        7.4    7.5    7.5     6.9    6.7    6.5      6.4    6.2    6.1
          Wages and contributions                                    6.4        6.7    6.8    6.8     6.3    6.1    6.0      5.8    5.7    5.6
          Housing subsidies                                          0.8        0.7    0.7    0.7     0.6    0.6    0.6      0.6    0.6    0.5
        Goods and services                                           5.3        6.3    6.1    5.8     5.2    4.9    4.7      4.6    4.4    4.3
          Civil expenditure                                          4.4        5.3    4.7    4.4     4.1    3.8    3.7      3.6    3.4    3.3
          Military expenditure                                       0.9        1.0    1.4    1.4     1.1    1.1    1.0      1.0    1.0    1.0
        Maintenance                                                  0.3        0.3    0.3    0.3     0.3    0.2    0.2      0.2    0.2    0.2
        Transfers                                                    2.8        2.7    2.7    2.7     2.6    2.5    2.4      2.3    2.3    2.2
        Interest                                                     0.4        0.8    1.1    1.2     1.4    1.3    1.1      1.1    1.0    0.9
          Loans to central government                                0.2        0.0    0.3    0.3     0.4    0.4    0.3      0.3    0.3    0.3
          Large projects                                             0.2        0.8    0.7    1.0     1.1    0.9    0.8      0.8    0.7    0.6
            Rail road                                                0.0        0.5    0.6    0.8     0.8    0.7    0.6      0.6    0.5    0.5
            Water pipeline                                           0.2        0.3    0.1    0.1     0.2    0.2    0.2      0.2    0.2    0.1
        Foreign-financed current spending                            0.3        0.1    0.1    0.1     0.2    0.2    0.2      0.2    0.1    0.1
       Capital expenditure                                          25.3       14.7   10.4    9.0     8.0    7.6    7.9      6.4    6.3    6.2
       Capital expenditure (excl. large projects)                   10.3        8.1    6.1    8.2     7.8    7.1    7.2      6.4    6.3    6.2
        Domestically financed                                        7.1        4.8    3.7    3.3     3.9    3.2    3.2      2.9    2.9    2.9
        Foreign-financed                                            18.3       10.0    6.7    5.7     4.0    4.4    4.6      3.5    3.4    3.3
            Grants                                                   1.9        1.3    0.9    2.4     1.1    1.0    0.9      0.9    0.8    0.7
