V1
SPAIN
""
""
""
                                        Table 2a. Spain: General Government Operations 1/
"                                             (Billions of euro, unless otherwise indicated)"
                                                                                                                                           Projections 2/
""
                                                                           2018        2019      2020       2021       2022       2023      2024       2025      2026       2027
""
 Revenue                                                                  472.1     488.50      465.5      527.0      574.3      615.5      634.2     647.1      650.8      674.9
  Taxes                                                                   275.0     279.47      256.8      295.9      323.0      345.9      360.1     366.4      374.8      388.7
    Indirect taxes                                                        141.2     143.02      126.5      146.2      161.4      171.8      177.3     180.3      184.1      191.0
      o.w. VAT                                                             79.2      80.89       70.6       83.6       94.8      101.9      103.8     104.6      106.4      110.3
      o.w. Excise                                                          40.6      40.39       34.5       40.3       43.6       44.2       45.6      47.4       49.0       50.8
    Direct taxes                                                          128.3     130.94      125.7      143.7      156.7      168.9      177.3     180.4      184.7      191.6
      o.w. Private households                                              98.1      99.01      101.4      111.5      122.7      129.0      132.0     135.5      139.5      144.7
      o.w. Corporate                                                       30.9      32.68       24.9       30.0       34.8       40.8       46.2      45.9       46.2       47.9
    Capital tax                                                             5.6       5.51        4.6        6.1        5.0        5.2        5.5       5.7        6.0        6.2
  Social contributions                                                    149.5     160.66      162.2      172.5      180.1      189.9      198.0     206.2      214.1      222.1
  Other revenue                                                           47.63      48.37       46.4       58.6       71.2       79.8       76.0      74.5       61.8       64.1
""
 Expenditure                                                              503.3      526.6      580.7      609.8      634.1      679.2      685.8     705.5      715.6      742.2
   Expense                                                                502.7      526.1      579.7      608.4      633.7      678.8      685.4     705.1      715.3      741.8
     Compensation of employees                                            127.6      134.7      140.5      147.4      153.1      158.8      165.8     170.5      175.5      182.0
     Use of goods and services                                             61.6       64.1       65.9       70.5       79.0       82.1       84.6      87.1       86.6       89.8
     Consumption of fixed capital                                          25.1       26.7       29.2       30.5       42.6       49.7       47.5      46.0       36.1       37.5
     Interest                                                              29.3       28.4       25.2       26.1       29.2       32.5       36.2      39.6       43.2       44.8
     Social benefits                                                      216.6      229.6      262.2      264.0      268.5      302.1      300.8     311.3      321.2      333.1
     Other expense                                                         42.4       42.7       56.6       69.9       61.3       53.6       50.5      50.6       52.7       54.7
       Subsidies                                                           11.9       12.4       21.5       18.7       18.1       14.6       14.6      14.6       15.2       15.8
       Other                                                               30.5       30.2       35.2       51.2       43.2       39.0       35.9      36.0       37.5       38.9
         o.w. financial sector support                                      1.2        2.4        2.1        1.3         …          …          …         …          …          …
   Net acquisition of nonfinancial assets                                   0.6        0.5        1.0        1.4        0.4        0.4        0.4       0.4        0.4        0.4
     Gross fixed capital investment                                        25.8       27.1       30.2       31.9       43.0       50.1       47.9      46.4       36.5       37.9
     Consumption of fixed capital                                          25.1       26.7       29.2       30.5       42.6       49.7       47.5      46.0       36.1       37.5
     Other non financial assets                                             0.0        0.0        0.0        0.0        0.0        0.0        0.0       0.0        0.0        0.0
""
""
 Gross operating balance                                                   -30.6       -37.7   -114.2       -81.4      -59.4     -63.3      -51.3      -58.0     -64.4      -66.8
 Net lending / borrowing                                                   -31.2       -38.1   -115.2       -82.8      -59.8     -63.7      -51.7      -58.4     -64.8      -67.2
 Net lending / borrowing (excluding financial sector support)              -30.0       -35.7   -113.1       -82.8      -59.8     -63.7      -51.7      -58.4     -64.8      -67.2
""
 Memorandum items:
"  Nominal GDP                                                            1,203.9    1,245.5    1,118.0    1,206.8    1,310.8 1,376.44     1,444.0    1,507.0   1,565.7    1,623.7"
""
 Sources: Ministry of Finance; Eurostat; and IMF staff estimates and projections.
" 1/ Compiled using accrual basis and ESA10 manual, consistent with Eurostat dataset."
 2/ Projections from 2022 onwards assume an expiration of temporary COVID-19 measures and energy support measures amounting to 1 percent of GDP in 2023 (added as
" social benefits). Projections incorporate allocation from the EU Recovery and Resilience Facility amounting to about 0.4, 1.1, 1.7, 1.3 and 1 percent of GDP from 2021 to 2025."
" Such funds are reflected as receipts in other revenue, and as expenditures in good and services and public investment."
""
""
""
""
40     INTERNATIONAL MONETARY FUND
