V1
ARAB REPUBLIC OF EGYPT
""
""
""
"                    Table 7b. Egypt: Summary of National Accounts, 2015/16–2022/23"
                                          (In percent of GDP)
""
""
                                                2015/16   17   18   19   20   21   22   23
                                                                                       Projections
""
                                                                     (In percent of nominal GDP)
""
     GDP at market price                          100.0   100.0    100.0       100.0   100.0       100.0    100.0   100.0
      Domestic demand (absorption)                109.6   112.2    109.4       107.7   107.9       107.3    106.7   106.4
         Private                                   95.6    98.9     98.4        97.0    97.3        96.8     96.3    96.0
         Public                                    14.0    13.2     11.0        10.7    10.6        10.5     10.4    10.4
       Consumption                                 94.5    96.9     94.1        91.2    90.5        89.0     87.4    86.0
         Private                                   83.1    86.8     85.6        83.3    82.7        81.2     79.7    78.3
         Public                                    11.4    10.1      8.5         7.9     7.8         7.7      7.7     7.7
       Investment                                  15.0    15.3     15.3        16.4    17.4        18.3     19.3    20.4
         Gross fixed capital formation             14.5    14.8     15.3        16.4    17.4        18.3     19.3    20.4
           Private                                 11.9    11.7     12.8        13.7    14.6        15.5     16.6    17.7
           Public                                   2.6     3.1      2.5         2.8     2.8         2.8      2.7     2.7
      Net exports of goods and services            -9.6   -12.2     -9.4        -7.7    -7.9        -7.3     -6.7    -6.4
       Exports of goods and services               10.3    16.3     18.8        17.8    17.2        17.6     18.0    18.1
       Imports of goods and services              -19.9   -28.5    -28.2       -25.5   -25.1       -24.9    -24.8   -24.5
""
     Net factor income                             -1.3    -1.9     -2.5        -2.8    -2.5         -2.4    -2.3    -2.1
     Net remittances inflows                        5.0     8.2      9.8         8.5     7.9          7.9     7.9     7.5
     Net official transfers                         0.0     0.1      0.1         0.0     0.0          0.0     0.0     0.0
""
     Gross National Disposable Income             103.7   106.4    107.4       105.7   105.4       105.5    105.6   105.5
""
     Investment                                    15.0    15.3     15.3        16.4    17.4         18.3    19.3    20.4
        Private (incl. change in inventories)      12.5    12.1     12.8        13.7    14.6         15.5    16.6    17.7
        Public                                      2.6     3.1      2.5         2.8     2.8          2.8     2.7     2.7
     National savings                               9.1     9.3     12.5        13.8    14.3         15.9    17.4    18.8
       Private                                     19.0    16.6     19.4        18.7    17.7         17.7    18.7    20.1
       Public                                      -9.9    -7.3     -6.9        -4.9    -3.5         -1.8    -1.2    -1.3
""
     Savings-investment balance                    -6.0    -6.0     -2.8        -2.7    -3.2         -2.5    -1.9    -1.6
      Private                                       6.5     4.4      6.7         5.0     3.1          2.1     2.1     2.4
      Public                                      -12.5   -10.4     -9.4        -7.7    -6.3         -4.6    -4.0    -4.0
""
     GDP at factor cost                           100.0   100.0    100.0       100.0   100.0       100.0    100.0   100.0
      Agriculture                                  11.9    11.7     11.6        11.3    11.1        10.8     10.5     9.5
      Construction                                  5.4     5.7      6.0         6.3     6.5         6.7      7.0     6.7
      Industry                                     27.4    28.6     29.1        29.6    29.8        29.7     29.4    27.2
      Services                                     43.3    42.9     42.5        42.1    42.3        42.8     43.6    47.8
      General government                           10.3     8.9      8.6         8.3     8.1         7.8      7.5     6.8
      Suez Canal                                    1.5     2.2      2.3         2.3     2.2         2.2      2.1     1.9
""
     Sources: Egyptian authorities; and IMF staff estimates and projections.
""
""
""
""
28     INTERNATIONAL MONETARY FUND
