V1
ARAB REPUBLIC OF EGYPT
""
""
""
"                    Table 7b. Egypt: Summary of National Accounts, 2018/19–2024/25"
                                          (In percent of GDP)
                                             2018/19     2019/20    2020/21        2021/22    2022/23    2023/24    2024/25
                                                                           Proj.      Proj.      Proj.      Proj.      Proj.
""
                                                                     (In percent of nominal GDP)
""
 GDP at market price                            100.0       100.0      100.0         100.0      100.0      100.0      100.0
     Domestic demand (absorption)               108.3       107.6      108.5         107.2      105.8      105.4      105.3
       Private                                    91.9       90.4          90.6       89.2       88.4       87.9       87.7
       Public                                     16.4       17.2          17.9       17.9       17.4       17.5       17.6
      Consumption                                 90.3       93.8          92.7       90.7       89.5       88.7       88.0
       Private                                    82.6       85.8          84.2       82.5       81.2       80.3       79.4
       Public                                      7.7        8.0            8.5       8.2        8.4        8.5        8.6
      Investment                                  18.0       13.8          15.9       16.5       16.2       16.7       17.3
        Gross fixed capital formation             17.8       14.8          15.9       16.5       16.2       16.7       17.3
          Private                                  9.1        5.5            6.5       6.8        7.2        7.7        8.3
          Public                                   8.7        9.2            9.4       9.8        9.1        9.0        9.0
     Net exports of goods and services            -8.3       -7.6           -8.5      -7.2       -5.8       -5.4       -5.3
      Exports of goods and services               17.5       13.2          10.7       11.5       12.8       13.6       13.9
      Imports of goods and services              -25.8      -20.7          -19.3     -18.7      -18.6      -19.0      -19.2
""
 Net factor income                                -3.6       -3.1           -2.8      -3.4       -3.2       -2.9       -2.7
 Net remittances inflows                           8.2        7.6            7.4       7.0        6.3        5.9        5.6
 Net official transfers                            0.1        0.1            0.0       0.0        0.0        0.0        0.0
""
 Gross National Disposable Income               104.7       104.5      104.6         103.6      103.2      103.0      102.9
""
 National savings                                 14.4       10.7          12.0       12.9       13.6       14.2       14.9
     Private                                      19.7       15.3          15.7       15.0       15.4       15.5       15.8
     Public                                       -5.3       -4.6           -3.7      -2.1       -1.8       -1.3       -0.9
""
 Savings-investment balance                       -3.6       -3.1           -3.9      -3.6       -2.6       -2.4       -2.4
     Private                                      10.6        9.8            9.2       8.2        8.2        7.9        7.5
     Public                                      -14.0      -13.8          -13.2     -11.8      -10.8      -10.3       -9.9
""
 GDP at factor cost                             100.0       100.0      100.0         100.0      100.0      100.0      100.0
     Agriculture                                  11.4       12.1          12.1       11.8       11.5       10.5        9.5
     Construction                                  6.2        6.7            6.9       7.1        7.4        7.4        7.4
     Industry                                     30.5       26.8          24.6       23.8       23.1       21.1       19.4
     Services                                     43.2       45.4          47.6       48.8       49.6       53.4       56.8
     General government                            6.8        7.3            7.3       7.1        6.9        6.2        5.6
     Suez Canal                                    2.0        1.7            1.6       1.5        1.5        1.4        1.3
""
""
 Sources: Egyptian authorities; and IMF staff estimates and projections.
""
""
""
""
34     INTERNATIONAL MONETARY FUND
