V1
KINGDOM OF ESWATINI
""
""
""
"               Table 3. Eswatini: Fiscal Operations of the Central Government, 2015/16–24/251"
                                                 (Percent of GDP)
                                                              2015/16     2016/17   2017/18   2018/19    2019/20    2020/21    2021/22    2022/23    2023/24    2024/25
                                                                                                 Prel.      Proj.      Proj.      Proj.      Proj.      Proj.      Proj.
      Total revenue                                               27.5       25.1      28.0      24.8       25.6       28.0       26.7       25.7       25.7       25.7
       Tax revenue                                                25.7       22.9      26.1      23.6       23.9       26.3       25.0       24.0       24.0       24.0
"         Taxes on income, profits, and capital gains               7.2        7.9       8.1       8.2        8.2        8.2        8.2        8.0        8.0        8.0"
          of which: Corporate income tax                           2.6        2.6       2.3       2.3        2.3        2.3        2.3        2.1        2.1        2.1
          of which: Personal income tax                            4.1        4.7       5.1       5.1        5.1        5.1        5.1        5.1        5.1        5.1
         Taxes on property                                         0.1        0.1       0.1       0.1        0.1        0.1        0.1        0.1        0.1        0.1
         Taxes on international trade and transactions            13.1        9.2      11.9       9.3        9.4       11.5       10.4        9.8        9.8        9.8
          of which : SACU receipts                                13.1        9.2      11.8       9.2        9.3       11.4       10.3        9.8        9.8        9.8
         Domestic taxes on goods and services                      5.4        5.6       6.0       6.0        6.2        6.5        6.3        6.1        6.1        6.1
         Other taxes                                               0.0        0.0       0.0       0.0        0.0        0.0        0.0        0.0        0.0        0.0
       Non-tax revenue                                             1.1        1.3       1.1       0.5        0.9        0.8        0.8        0.8        0.8        0.8
       Grants                                                      0.6        0.9       0.9       0.7        0.8        0.9        0.9        0.9        0.9        0.9
         Project grants                                            0.6        0.9       0.9       0.7        0.8        0.9        0.9        0.9        0.9        0.9
      Expense                                                     25.1       27.0      28.2      30.7       26.3       26.4       27.0       27.9       28.8       30.1
       Compensation of employees                                  11.6       13.7      13.5      13.3       12.5       12.3       12.6       12.8       13.3       13.7
       Purchases or use of goods & services                        5.0        4.8       4.8       4.1        4.4        4.3        4.2        4.2        4.1        4.1
       Interest                                                    0.7        0.9       1.2       1.3        1.8        2.2        2.9        3.6        4.1        4.9
          of which : Domestic                                      0.4        0.6       0.9       1.0        1.4        1.4        2.0        2.8        3.3        4.2
       Other expense                                               7.7        7.2       7.4       7.2        7.7        7.6        7.4        7.4        7.4        7.4
          of which : Subsidies                                     0.1        0.1       0.1       0.1        0.1        0.1        0.1        0.1        0.1        0.1
          of which : Grants (transfers)                            5.9        5.6       5.4       5.4        5.4        5.4        5.4        5.4        5.4        5.4
       Unidentified spending                                       0.0        0.4       1.3       4.7        0.0        0.0        0.0        0.0        0.0        0.0
""
     Gross operating balance                                        2.4      -2.0      -0.1       -5.9       -0.7        1.6       -0.4       -2.2       -3.1       -4.4
""
  Transactions in nonfinancial assets:
    Net acquisition of nonfinancial assets                          7.9       6.9       6.9       5.3        7.1        8.2        6.9        6.9        6.9        6.9
     Foreign financed                                               3.1       2.5       2.6       2.6        4.5        5.3        4.0        4.0        4.0        4.0
     Domestically financed                                          4.6       4.2       4.1       2.7        2.5        2.8        2.8        2.8        2.8        2.8
     Regional Development Fund                                                0.2       0.2       0.0        0.2        0.2        0.1        0.1        0.1        0.1
  Total expenditure                                               33.0       34.0      35.1      35.9       33.5       34.6       33.9       34.8       35.7       37.0
""
 Primary net lending / borrowing                                   -4.8      -8.1      -5.9      -9.9        -6.1       -4.4       -4.4       -5.5      -5.9       -6.3
 Net lending / borrowing                                           -5.5      -8.9      -7.0     -11.2        -7.9       -6.6       -7.3       -9.1     -10.0      -11.3
""
 Transactions in financial assets and liabilities:                  3.4       4.3       6.5        7.2        4.3        4.6        2.8        2.8        2.1        1.8
  Net acquisition of financial assets                               1.2       2.5       2.6        1.5        0.1        0.4        0.4        0.5        0.3        0.2
    of which : Policy lending                                      -0.2       2.0       0.3        0.6        0.0        0.3        0.3        0.4        0.3        0.2
   Net incurrence of liabilities                                    2.3       1.8       3.9        5.7        4.2        4.2        2.4        2.3        1.8        1.7
    Domestic                                                        0.3       3.1       2.8        4.5        1.3        1.1        1.0        1.0        0.8        0.8
    Foreign                                                         2.0       0.9       1.1        1.2        2.9        5.9        1.5        1.3        1.1        0.9
    Payments of pending bills                                                -2.2       0.0        0.0        0.0       -2.7        0.0        0.0        0.0        0.0
""
     Unidentified financing                                        2.0        4.6       0.5       3.9        3.6        2.0        4.4        6.3        7.8        9.4
""
     Memorandum item:
      Gross public debt2                                          17.7       23.1      25.1      33.4       38.1       41.6       45.3       50.3       55.9       62.2
       Domestic                                                    8.5       14.0      16.2      23.4       25.7       23.5       26.6       31.4       37.1       43.7
       External                                                    9.3        9.1       8.9      10.1       12.4       18.1       18.6       18.8       18.8       18.5
      Unpaid invoices (arrears)                                               3.6       4.0        6.7        8.8        6.5        9.5      14.1       20.9       28.8
""
      Net lending (excl. external financing)                      -2.3       -6.4      -4.4      -8.5       -3.4       -1.4       -3.3       -5.1       -6.0       -7.3
      Net lending (excl. SACU revenues)                          -18.6      -18.2     -18.9     -20.4      -17.2      -18.1      -17.6      -18.9      -19.8      -21.1
      Primary net lending (excl. SACU revenues)                  -17.9      -17.3     -17.7     -19.1      -15.5      -15.9      -14.7      -15.4      -15.8      -16.2
""
"   GDP at market prices (Emalangeni billions)                    53,103    57,194    60,057    63,365     67,715     73,096     78,391     84,529     91,163     98,316"
  Sources: Swazi authorities; and Fund staff estimates and projections.
 1
      The fiscal year runs from April 1 to March 31.
 2
      Gross public debt includes domestic arrears.
""
""
""
""
32       INTERNATIONAL MONETARY FUND
