V1
THE FEDERAL DEMOCRATIC REPUBLIC OF ETHIOPIA
"Table 2b. Ethiopia: General Government Operations, 2015/16-2023/24'"
(Percent of GDP)
2015/16 2016/17 2017/18 2018/19 2019/20 2020/21 2021/22 2022/23 2023/24
Act.         Act.         Act.         Prel. Program Program Program IMF Staff IMF Staff
Proj.        Proj.
Total revenue and grants                                               15.9          14.7          13.1           12.8           12.5          13.8          14.9          15.2           15.4
Revenue                                                                                13.0            14.1            12.3            11.5            11.7            13.0            14.2            14.5            147
Tax revenue                                                                      12.4            11.5            10.7            10.0            10.1            11.5            12.7            13.0            13.3
Direct taxes                                                               47            44            44            43             43             44            44            45            45
Indirect taxes                                                            Ta            70            63             of             o.8            Fa             $3             8.6            3.8
Domestic indirect taxes                                         3.6            34            3.1             2.9            2.9            3.9            49             a4            6.0
Import duties and taxes                                 4.1           3.6          3.2          28          2.9          3.2          34          3.2          2.8
Noantax revenue                                                                24             2.6              1.6              1.6              1.5             1.5              1.5              15              1.5
Grants.                                                                             0.8            07            0.8             12            0.9            0.8            0.6            0.7            07
Program grants                                         0.0        0.0        0.2        07         0.3         0.3         0.1         0.1         0.1
Project grants                                           0.8        0.6        0.6        0.6         0.6        0.6        0.6        0.6         0.6
"Total expenditure and net lending (cash basis)         18.2         18.0         16.1         15,3         15.0         16.0         16.8         17.1         17.4"
Recurrent expenditure                                  8.9        9.6        9.6        8.8         8.6        £8        8.9        9.0         9.5
Defense spending                                      0.6        0.7        0.6        0.6         0.5        0.5        0.5        0.5         0.6
"Poverty-reducing expenditure 7                         47         4,9         47         45         45         47         48         4,9          3.0"
Interest payments.                                                0.5           0.5           0.5           0.5           0.5           0.6           0.6           0.7           1.0
Domestic interest and charges                        0o2         0.2         0.3          0.3          0.3          0.3          0.3          0.5         07
External interest payments *                      0o2        0.2        0.2        0.2        02        0.2        0.3        0.2        02
Other recurrent expenditure                         3.1         3.6        37        33        3.1         3.1         3.0        2.9        2.9
Capital expenditure                                       o4        8.3        6.5        6.5        6.5        7.2        7.9        8.1         7.4
"Central treasury                                                                      V1               6.3              4,9              i)               3.0              oO.              6.0              6.3              6.6"
External project grants                                   O8        0.6        0.6        0.6         0.6        0.6        0.6        0.6         0.6
External project loans                                                          1.4              14              0.9              0.6              0.9              08              1.3              1.2              0.7
Overall balance
Including grants                                          -2.3        -3.2        -3.0        “2.5        “2.5        “2.2        -1.9        “1.9        “1.9
Excluding grants                                         -3.2        -3.9        -3.8        -3.8        -3.4        -3.0        -2.6        -2.6        -2.6
Financing                                                                                    3.8              4.0              4.0              af              eu              2.2              1.9              1.9              19
Net external financing                                                        17              1.6              1.3              1.3              1.2              1.0              1.7              1.5             0.7
Gross borrowing *                                                           18             7             1.5             1.5             1.4             1.3             2.1              19             1.1
Project loans                                                                    14              14             0.9             0.6              0.9             0.8              13              1.2              07
Protection of Basic Services (PBS)                     0.4         03          0.5         0.9         0.5         0.5         07         0.7         0.4
Amortization                                                     -0.1          “0.1          “0.2         -0.2         “0.2         -0.3          -0.4         -0.4         -0.4
Domestic (net)                                                                     2.0              1.48             23              13              0.8             07            -0.2             0.4              1.2
Net acquisition of financial assets °                        0.0          0.6          0.4          0.0          0.5          0.5          0.4          0.0          0.0
Float/unidentified financing                                                -14            -0.8            -1.0            -0.1              0.0             0.0             0.0             0.0             0.0
Memorandum items:
"Poverty-reducing expenditure                               12.0         11.1           9.6          91           9.1           9,2          9.3           94          95"
"Primary fiscal balance, including grants                       -1.9            -2.8            “2.5            -2.0            -2.0            -1.6            -1.3            -1.2            -1.0"
Sources: Ethiopian authorities and IMF staff estimates and projections. The Ethiopian fiscal year ends July 7.
""" Government financial statistics are reported by the authorities based on GFSM 1986."
* Excluding special programs (demobilization and reconstruction).
"* Poverty-reducing spending is defined to include total spending on health, education, agriculture, roads, and food security."
* External interest and amortization are presented after HIPC debt relief from the World Bank and the African Development Bank.
* Includes prospective donor financing to close the financing gap.
"""Reflects privatization receipts net of financial investments or recapitalization on SOEs."
INTERNATIONAL MONETARY FUND    31
