V1
                                                                                                               REPUBLIC OF FIJI
""
""
""
"                             Table 3. Fiji: Central Government Operations, 2016–23"
                                                 (In percent of GDP)
""
                                                  2016       2017       2018          2019    2020    2021   2022   2023    2024
                                                                                              Proj.
Government Revenue                                 28.1       30.3      30.4          30.1    30.1    30.1   30.1   30.1    30.1
 Tax revenue                                       25.0       26.9      26.8          26.9    26.9    26.9   26.9   26.9    26.9
  Direct taxes                                      8.4        8.9       8.0           8.0     8.0     8.0    8.0    8.0     8.0
  Indirect taxes                                   16.7       18.0      18.8          18.9    18.9    18.9   18.9   18.9    18.9
 Other revenue                                      3.0        3.3       3.6           3.2     3.2     3.2    3.2    3.2     3.2
Government Expenditure                             29.5       32.4      34.8          33.7    33.4    33.2   33.1   33.0    33.0
 Primary expenditure                               26.7       29.6      31.9          30.7    30.4    30.2   30.0   29.9    29.9
   Current                                         17.5       18.1      20.4          21.5    21.4    21.2   21.0   20.9    20.9
      Personnel                                     8.8        8.8       9.5           9.8     9.8     9.7    9.7    9.6     9.6
      Transfers                                     5.6        6.1       7.2           7.6     7.5     7.5    7.5    7.5     7.5
      Supplies and consumables                      2.4        2.5       2.7           2.8     2.8     2.7    2.6    2.5     2.5
      Other                                         0.8        0.8       1.0           1.3     1.3     1.3    1.3    1.3     1.3
   Capital                                          9.2       11.4      11.5           9.1     9.0     9.0    9.0    9.0     9.0
 Interest                                           2.8        2.8       2.9           3.0     3.0     3.0    3.1    3.1     3.1
""
Fiscal balance                                     -1.4       -2.1      -4.4          -3.6    -3.3    -3.1   -3.0   -2.9    -2.9
Primary balance                                     1.4        0.7      -1.5          -0.6    -0.3     0.0    0.1    0.2     0.2
Cyclically adjusted primary balance                 1.5       0.7       -1.5           -0.6   -0.3     0.0    0.1    0.2     0.0
Financing                                           1.4       2.1        4.4            3.6    3.3     3.1    3.0    2.9     2.9
   Privatizations                                   0.0       0.0        0.0            0.0    0.0     0.0    0.0    0.0     0.0
   Public debt                                      3.3       3.0        4.3            3.6    3.3     3.1    3.0    2.9     2.9
   Other                                           -2.0      -1.0        0.0            0.0    0.0     0.0    0.0    0.0     0.0
Public debt                                         48        48         50             50     50      50     50     50      50
Memo:
Underlying Fiscal Balance 1/                       -1.4      -1.0       -3.3           -3.1   -2.8    -3.1   -3.0    -2.9   -2.9
Sources: Ministry of Economy and IMF staff estimates.
1/ Underlying fiscal balance removes reconstruction spending related to natural disasters.
""
""
""
""
                                                                                         INTERNATIONAL MONETARY FUND        27
