V1
                                                                                                                                                     FRANCE
""
""
""
"                            Table 2. France: General Government Operations, 2015–25"
                                          (In percent of GDP unless otherwise indicated)
""
                                                                                                            Est.                       Proj.
                                                             2015     2016       2017     2018     2019     2020     2021     2022      2023    2024     2025
""
Revenue                                                       53.2     53.0       53.5     53.4     52.6     52.6     52.7     52.2      51.6    51.5     51.4
 Taxes                                                        28.7     28.7       29.4     30.0     30.4     30.1     29.5     29.3      29.2    29.2     29.2
   Direct taxes                                               12.7     12.5       12.8     13.3     13.1     13.1     12.5     12.4      12.4    12.4     12.4
   Indirect taxes                                             16.1     16.2       16.5     16.8     17.3     17.0     17.0     16.9      16.8    16.8     16.8
 Social contributions                                         18.8     18.7       18.7     18.0     16.8     16.8     17.1     16.9      16.8    16.8     16.8
 Other revenue                                                 5.7      5.6        5.5      5.4      5.4      5.7      6.2      6.0       5.6     5.5      5.4
""
Expenditure                                                   56.8     56.7       56.5     55.7     55.6     63.7     59.9     57.7      56.2    55.9     55.8
  Expense                                                     56.7     56.5       56.4     55.5     55.3     63.5     59.7     57.4      56.0    55.7     55.5
    Compensation of employees                                 12.8     12.7       12.7     12.4     12.3     13.5     13.1     12.6      12.4    12.3     12.3
    Goods and services                                         5.1      5.0        5.0      4.9      4.9      5.7      5.4      5.2       5.1     5.1      5.1
    Interest                                                   2.0      1.8        1.7      1.7      1.5      1.3      1.3      1.0       1.0     1.0      1.1
    Social benefits                                           25.9     25.9       25.7     25.4     25.4     30.5     28.1     27.1      26.9    26.8     26.8
    Other expense                                             10.9     11.0       11.3     10.9     11.3     12.4     11.9     11.4      10.6    10.5     10.3
      Gross public investment                                  3.4      3.4        3.3      3.4      3.7      3.9      4.1      4.2       3.9     3.8      3.7
""
 Net acquisition of nonfinancial assets                        0.1      0.1        0.1      0.2      0.2       0.2     0.2      0.3       0.2     0.2      0.2
""
Net lending / borrowing                                       -3.6     -3.6       -2.9     -2.3     -3.0    -11.0     -7.2     -5.4      -4.7    -4.4     -4.4
Primary balance                                               -1.8     -1.9       -1.3     -0.7     -1.6     -9.8     -6.0     -4.5      -3.8    -3.5     -3.4
""
Memorandum items:
 Structural balance (percent of potential GDP)                -2.2     -2.1        -2.1     -1.7     -2.0     -3.8     -4.8     -4.5     -4.2     -4.3     -4.4
 Structural primary balance (percent of potential GDP)        -0.4     -0.4        -0.4     -0.1     -0.7     -2.6     -3.7     -3.6     -3.4     -3.4     -3.4
   Change in structural primary balance                       0.2      0.0         0.0       0.3    -0.5     -2.0     -1.0       0.1      0.2      0.0      0.0
 Public gross debt (Maastricht definition)                   95.6     98.0        98.3     98.1     98.1    116.1    117.9    118.6    119.8    120.7    121.8
" Nominal GDP (in billion of Euros)                          2,198    2,234       2,297    2,361    2,426    2,251    2,380    2,493    2,579    2,664    2,746"
 Real GDP growth (in percent)                                  1.1      1.1         2.3      1.8      1.5     -9.2      5.4      3.7      2.2      1.8      1.4
 Nominal expenditure growth                                    1.5      1.4         2.5      1.3      2.6      6.4     -0.5      0.8      0.9      2.7      2.8
 Real expenditure growth (in percent)                          1.4      1.1         1.3     -0.8      1.3      5.9     -1.2     -0.2     -0.3      1.2      1.2
   of which: primary                                           1.7      1.3         1.5     -0.8      1.7      6.5     -1.3      0.2     -0.3      1.2      1.0
"Sources: Haver Analytics, INSEE, Banque de France, and IMF Staff calculations."
""
""
""
""
                                                                                                       INTERNATIONAL MONETARY FUND                          37
