V1
GABON
""
""
""
"                                       Table 3a. Gabon: Central Government Accounts, 2019–27"
                                                                                    (Billions of CFA francs)
                                                                                   2019         2020                2021                         2022                    2023    2024       2025       2026     2027
""
                                                                                                             Prog. 1/       Prel.          Prog. 1/       Proj.                            Proj.
""
""
                                                                                                                                            (Billion of CFA francs)
""
"     Total revenue and grants                                                        1,931        1,553          1,651          1,653          1,844          2,255      2,423   2,466     2,560      2,663     2,785"
"      Revenue                                                                        1,931        1,549          1,596          1,641          1,844          2,202      2,423   2,466     2,560      2,663     2,785"
"        Oil revenue                                                                    747          596            483              595          587              981    1,029    902        819        764      744"
"        Non-oil revenue                                                              1,184          953          1,113          1,046          1,257          1,220      1,394   1,564     1,741      1,900     2,041"
"           Tax revenue                                                               1,070          874          1,039              970        1,179          1,137      1,322   1,496     1,676      1,838     1,975"
                  Of which: earmarked revenue                                                                      168              132          158              192     195     199        203        207      211
"               Taxes on income, profits, and capital gains                             412          303            408              321          450              397     460     520        576        621      668"
               Domestic taxes on goods and services                                    187          134            233              214          285              283     340     402        472        534      575
                   Value-added tax                                                     132           63            167              134          215              194     244     300        362        417      449
                   Other                                                                54           71             66               79           69               89      96     102        109        117      126
               Taxes on international trade and transactions                           286          310            304              323          346              338     388     431        476        520      557
                   Import tariffs                                                      261          280            266              283          305              291     338     378        425        469      504
                   Export taxes                                                         24           29             38               41           40               47      50      52         51         51       53
               Other non-oil taxes                                                     187          127             94              113           99              118     133     142        152        163      175
           Non-tax revenue                                                             114           79             75               75           78               84      72      68         65         62       66
      Grants                                                                              0            4            55               12               0            54       0       0           0          0       0
""
"     Total expenditure and net lending                                               1,796        1,742          1,961          1,860          1,883          2,075      2,003   2,116     2,267      2,393     2,521"
"       Current expenditure                                                           1,320        1,431          1,456          1,491          1,362          1,563      1,458   1,511     1,567      1,652     1,741"
         Wages and salaries                                                            689          683            685              682          695              684     708     749        786        840      915
         Goods and services                                                            156          202            227              232          179              213     184     192        200        214      222
          Of which Covid-19                                                                          29           59.8               60               0            39       0       0           0          0       1
