V1
REPUBLIC OF EQUATORIAL GUINEA
""
""
"              Table 4b. Equatorial Guinea: Summary of Central Government Financial Operations,"
                                                    2020–27
"                                   (Percent of GDP, unless otherwise specified)"
""
                                                                          2020                     2021                2022           2023   2024       2025      2026   2027
                                                                      Prog.         Est.        Prog.     Est.      Prog.     Proj.                 Projections
""
     Revenue                                                            17.5       14.1          17.5     15.3       17.3     15.8    16.0   14.5        13.2     12.3   11.6
        Hydrocarbon revenue                                             12.8       10.5          11.4     12.3       10.1     13.3    12.9   10.8         9.1      7.6    6.7
           Tax revenue                                                   3.7        5.3           3.2      3.4        3.0      3.6     5.2    4.5         3.4      3.0    2.5
           Other revenue                                                 9.1        5.2           8.2      8.9        7.2      9.7     7.7    6.3         5.7      4.7    4.2
        Non-hydrocarbon revenue                                          4.7        3.6           6.1      3.0        7.1      2.5     3.0    3.7         4.1      4.7    5.0
           Tax revenue                                                   3.3        2.3           4.2      1.8        5.1      1.6     2.0    2.5         2.7      3.1    3.4
           Other revenue                                                 1.4        1.3           1.8      1.2        2.1      0.9     1.1    1.3         1.4      1.5    1.6
        Grants                                                           0.0        0.0           0.0      0.0        0.0      0.0     0.0    0.0         0.0      0.0    0.0
""
     Expenditure                                                        16.4       15.8          15.8     12.7       15.0     12.1    11.8   12.1        12.0     12.0   11.6
        Expense                                                         11.7       12.5          11.9     10.5       11.8      9.6     9.1   10.1        10.0     10.0    9.6
         Expense (primary)                                              10.6       11.2          10.2      9.5       10.1      8.5     8.0    9.0         8.9      9.0    8.7
           Compensation of employees                                     2.8        3.4           2.8      2.9        2.9      2.1     2.3    2.7         2.7      2.7    2.7
           Purchase of goods and services                                5.4        5.5           5.2      4.3        5.1      3.4     3.7    4.2         4.2      4.2    4.0
           Subsidies and transfers1                                      2.4        2.3           2.2      2.3        2.1      3.0     1.9    2.1         2.1      2.1    2.0
         Interest                                                        1.1        1.3           1.7      1.0        1.7      1.1     1.1    1.2         1.1      1.0    0.9
           Domestic                                                      0.6        0.9           0.9      0.7        0.8      0.8     0.8    0.8         0.7      0.7    0.6
           Foreign                                                       0.6        0.4           0.8      0.4        0.9      0.3     0.3    0.4         0.3      0.3    0.3
        Net acquisition of non-financial assets                          4.7        3.3           4.0      2.1        3.3      2.5     2.7    2.0         2.0      2.0    2.0
""
     Net lending/borrowing (overall fiscal balance)                      1.1       -1.7           1.6      2.6        2.3      3.7     4.1    2.4         1.2      0.3    0.0
""
