V1
                                                                                                                                      GUYANA
""
""
""
                                            Table 3b. Guyana: Public Sector Operation
                                                  (In billions of Guyanese Dollars)
""
                                                                                            Prel.                   Proj.
                                                                          2019      2020   2021     2022   2023   2024      2025   2026   2027
""
Central Government Revenue                                                    241   228     267     433    504    565       619    669    720
  Tax revenue                                                                 226    218    255      287    316    343       371    402    435
    Income taxes                                                               94    105    123      141    155    168       182    197    213
    Consumption taxes                                                          97     84     95      103    113    123       133    144    156
    Trade taxes                                                                25     20     26       30     33     36        39     43     46
    Other                                                                      11     10     12       12     15     16        17     18     20
  Non-tax revenue                                                              15      9     12      142    188    222       248    268    285
    Of which:
      Oil revenue                                                               0      0       0     126    170    202       226    245    266
     Net revenue from PE and statutory bodies                                   7      2       3       7      8      8         9     10      5
  Capital revenue                                                               0      0       0       4      0      0         0      0      0
""
Grants                                                                         12     8        5     10      0      0         0      0      0
""
Central Government Expenditure                                                282   325     388     465    520    573       619    670    720
Current expenditure                                                           216   249     284     312    349    384       415    449    481
  Wages and salaries                                                           69     72     78       90     99    107       116    126    136
  Other goods and services                                                     58     72     90       93    110    124       134    145    157
  Transfers                                                                    81     97    107      120    132    143       155    168    181
  Interest 1/                                                                   9      7       9      10     10     10        10     10      7
    Domestic                                                                    1      1       4       4      4      4         4      4      4
    External                                                                    7      6       5       6      5      6         6      6      3
Capital expenditure                                                            66     76    104      152    171    189       204    221    239
""
Overall Balance (before grants)                                               -42    -97   -121      -32    -17     -8        0      0      0
Overall Balance (after grants)                                                -30    -90   -116      -21    -17     -8        0      0      0
Primary Balance (after grants)                                                -21    -82   -107      -11     -7     2        10     10      6
Non-Oil Overall Balance (after grants)                                        -30    -90   -116     -147   -186   -210      -227   -245   -267
""
Financing                                                                      30    90     116      21     17      8         0      0      0
Net foreign financing                                                          11      2     12       32     76     49        51      2     -3
Net domestic financing 2/                                                      19     87    104      -11    -59    -41       -50     -1      3
""
Memorandum Items:
 Total public debt                                                            470    583    690      707    731    744       774    790    802
   Domestic                                                                   201    311    403      394    359    329       312    330    343
   External                                                                   269    272    287      313    372    415       462    460    459
  Sources: Ministry of Finance; and IMF staff calculations and projections.
  1/ Reflects interest and amortization after total debt relief.
  2/ Includes statistical discrepancies.
""
""
""
""
                                                                                                    INTERNATIONAL MONETARY FUND             29
