V1
THE GAMBIA
""
""
""
"                   Table 5. The Gambia: Statement of Central Government Operations, 2015–23"
                                                 (Percent GDP)
""
                                                                 2015       2016               2017             2018    2019    2020     2021    2022       2023
                                                                                    P    EBS      EBS
                                                                     Act.           o /17/61   /18/99   Prel.                   Projections
""
     Revenue                                                      21.6       20.0       25.4     30.7   28.1     31.8    34.0    33.7     32.8       32.7    31.6
      Taxes                                                       17.6       16.7       15.2     17.2   15.0     16.4    17.2    17.6     18.2       18.7    18.7
"        Taxes on income, profits, and capital gains                4.5        4.3        3.7      4.3    4.0      4.3     4.3     4.3      4.3        4.3     4.3"
        Domestic taxes on goods and services                       7.6        7.2        6.8      7.6    6.7      7.4     7.8     7.9      8.2        8.8     8.8
        Taxes on international trade and transactions              5.5        5.0        4.7      5.2    4.2      4.7     5.1     5.4      5.6        5.6     5.6
        Other taxes                                                0.1        0.1        0.1      0.2    0.0      0.0     0.0     0.0      0.0        0.0     0.0
      Grants                                                       1.9        1.7        6.8     11.1   11.4     13.4    14.6    13.8     12.3       11.7    10.6
        Budget support                                             0.0        0.0        5.1      5.2    5.5      6.7     5.1     3.9      2.7        2.2     2.1
        Project grants                                             1.9        1.7        1.7      5.9    5.9      6.7     9.4     9.9      9.6        9.5     8.5
      Other revenues                                               2.0        1.7        3.5      2.4    1.7      2.0     2.2     2.3      2.3        2.3     2.3
""
     Expenditures                                                 29.7       29.8       28.0     34.5   36.0     35.6    34.6    35.6     34.8       34.5    32.5
      Expenses                                                    23.6       23.4       21.5     19.7   20.5     19.7    18.5    17.9     17.5       17.4    17.1
        Compensation of employees                                  4.7        5.0        5.0      4.7    4.7      5.9     5.5     5.0      5.0        5.0     5.0
        Use of goods and services                                  5.4        6.5        5.5      5.8    5.0      5.1     4.9     5.0      5.0        5.0     5.0
        Interest                                                   7.3        7.7        5.9      4.7    7.1      4.9     4.4     4.1      3.7        3.4     3.2
          External                                                 1.3        1.1        0.7      0.7    0.5      0.9     0.9     0.9      0.9        0.8     0.8
          Domestic                                                 6.0        6.6        5.1      4.0    6.6      4.0     3.5     3.2      2.8        2.6     2.4
        Subsidies                                                  6.2        4.1        5.1      4.5    3.6      3.7     3.7     3.8      3.9        4.0     3.9
      Net acquisition of nonfinancial assets                       6.2        6.4        6.5     14.8   15.6     16.0    16.1    17.7     17.3       17.1    15.4
        Acquisitions of nonfinancial assets                        6.2        6.4        6.5     14.8   15.6     16.0    16.1    17.7     17.3       17.1    15.4
            Foreign financed 1                                     4.4        4.6        4.7     13.0   13.9     14.1    13.9    15.1     14.3       14.1    12.3
            Gambia local fund                                      1.8        1.8        1.8      1.8    1.7      1.8     2.3     2.6      3.0        3.1     3.1
""
     Gross Operating Balance                                       -2.0      -3.3        4.0     10.9    7.6     12.1    15.5    15.8     15.3       15.3    14.5
     Net lending (+)/borrowing (–)                                 -8.2      -9.7       -2.5     -3.9   -7.9     -3.9    -0.6    -1.9     -2.1       -1.8    -0.9
""
     Net acquisition of financial assets                           0.0        0.0        0.0      0.0    0.0      0.0     0.0     0.0      0.0        0.0     0.0
""
     Net incurrence of liabilities                                12.1       13.7        2.3      3.9    7.0      3.9     0.6      1.9     2.1        1.8     0.9
