V1
GEORGIA
""
""
"                         Table 3b. Georgia: General Government Operations, GFSM2001 2019–26"
                                                     (In percent GDP)
                                                                           2019       2020           2020           2021     2021     2022     2023     2024     2025     2026
                                                                                     EFF 8th                       EFF 8th
                                                                          Actual     Review          Est.          Review                        Projections
""
""
 Revenue                                                                    27.1        25.1            25.1         25.2    25.7      26.1    26.1      26.0    25.9      25.8
     Taxes                                                                  24.1        22.2            22.2         22.6    22.9      23.6    23.7      23.8    23.8      23.8
"        Taxes on Income, profits and capital gains                            8.8         8.6               8.6       8.6      8.4      8.9      8.9      8.9      9.0      9.0"
              Payable by individuals                                          7.1         6.7               6.7       6.9      6.8      7.2      7.2      7.2      7.2      7.2
            Payable by corporations                                           1.8         1.9               1.9       1.7      1.6      1.7      1.7      1.7      1.8      1.8
        Taxes on property                                                    1.0         0.9             0.9          0.8     0.8       0.9     0.9       0.9     0.9       0.9
        Taxes on goods and services                                         13.7        13.1            13.1         13.1    13.3      13.5    13.7      13.7    13.7      13.7
              General taxes on goods and services (VAT)                     10.6          9.8               9.8      10.0    10.1      10.4    10.5      10.5    10.5      10.5
            Excises                                                           3.1         3.3               3.3       3.1      3.2      3.2      3.2      3.2      3.2      3.2
        Taxes on international trade                                          0.2         0.2            0.2          0.2      0.1      0.1      0.1      0.1      0.1      0.1
        Other taxes 1/                                                        0.4        -0.5           -0.5         -0.1      0.1      0.2      0.2      0.2      0.2      0.2
     Grants                                                                   0.9         0.8               0.8       0.5      0.5      0.5      0.5      0.5      0.4      0.4
     Other revenue                                                            2.2         2.1               2.1       2.0      2.3      2.0      1.9      1.8      1.7      1.6
""
""
 Total Expenditure                                                          28.9        34.4            34.4         32.6    32.2      29.7    28.7      28.4    28.3      28.0
     Expense                                                                21.4        26.2            26.2         25.2    25.0      22.7    22.6      22.7    22.9      22.7
        Compensation of employees                                             3.6         3.7               3.7       3.7      3.4      3.4      3.4      3.4      3.4      3.4
        Use of goods and services                                             3.4         3.8               3.8       3.9      3.9      3.4      3.2      3.2      3.2      3.2
        Interest                                                              1.2         1.6               1.6       1.7      1.5      1.3      1.4      1.5      1.6      1.5
             External                                                         0.7         0.7               0.7       0.7      0.6      0.4      0.4      0.3      0.3      0.3
             Domestic                                                         0.6         0.9               0.9       1.0      0.9      0.9      1.0      1.1      1.3      1.3
        Subsidies                                                             2.0         2.9               2.9       2.5      2.8      2.6      2.6      2.5      2.5      2.4
        Grants                                                                0.3         0.5               0.5       0.3      0.4      0.4      0.4      0.4      0.4      0.4
        Social benefits                                                       8.5       11.3            11.3         10.4    10.3       9.1      9.2      9.3      9.3      9.3
        Other expense 2/                                                      2.3         2.4               2.4       2.6      2.8      2.5      2.5      2.5      2.5      2.5
""
""
     Net acquisition of nonfinancial assets                                   7.6         8.1               8.1       7.4      7.2      7.0      6.1      5.7      5.4      5.3
        Increase (capital spending)                                           8.0         8.6            8.6          7.9      8.0      7.4      6.4      6.1      5.7       5.6
        Decrease (privatization proceeds)                                    -0.4        -0.4           -0.4         -0.5     -0.8     -0.4     -0.4     -0.3     -0.3      -0.3
""
""
 Net lending / borrowing before adjustment                                   -1.8        -9.2           -9.2         -7.4     -6.5     -3.6     -2.6     -2.4     -2.3      -2.2
 Unidentified measures                                                        0.0         0.0            0.0          0.0      0.0      0.0      0.0      0.0      0.0       0.0
 Net lending / borrowing                                                     -1.8        -9.2           -9.2         -7.4     -6.5     -3.6     -2.6     -2.4     -2.3      -2.2
""
""
" Change in net financial worth, transactions                                 -1.8        -9.2           -9.2         -7.4     -6.5     -3.6     -2.6     -2.4     -2.3      -2.2"
"  Net acquisition of financial assets (""+"": increase in assets)               0.9         3.6               3.6      -2.6     -1.8     -0.2      0.5      0.5      0.5      0.4"
    Domestic                                                                  0.9         3.6               3.6      -2.6     -1.8     -0.2      0.5      0.5      0.5      0.4
             Budget lending                                                   0.2         0.1               0.1       0.2      0.2      0.3      0.3      0.2      0.3      0.2
             Deposits (NBG and commercial banks)                              0.7         3.5               3.5      -2.8     -1.9     -0.5      0.1      0.2      0.2      0.2
           Financial privatization                                            0.0        0.0             0.0          0.0      0.0      0.0      0.0      0.0      0.0      0.0
"     Net incurrence of liabilities (""+"": increase in liabilities)             2.8       12.8            12.8          4.9      4.7      3.4      3.1      2.9      2.8      2.6"
        Domestic                                                              1.8         4.0               4.0      -0.5     -0.4      2.3      2.2      2.2      2.3      3.0
             Securities other than shares                                     1.8         4.0               4.0      -0.5     -0.4      2.3      2.2      2.2      2.3      3.0
           Loans                                                              0.0         0.0               0.0       0.0      0.0      0.0      0.0      0.0      0.0       0.0
        Foreign                                                               0.9         8.8               8.8       5.3      5.1      1.1      0.9      0.8      0.5      -0.4
             Loans                                                            0.9         8.8               8.8       5.3      5.1      1.1      0.9      0.8      0.5      -0.4
""
""
 Memorandum items:
"      Nominal GDP (in millions of GEL)                                     49,253      49,407         49,407        53,315   57,549   64,520   70,156   76,031   82,405   89,281"
      General government debt 3/                                              40.4      60.0                60.0     60.8      54.2     53.6     52.1     50.7     49.3      48.1
      End-year government deposits                                             3.0        6.5                6.5      3.2       3.6      2.7      2.7      2.8      2.8       2.7
      Operating balance (before adjustment)                                    5.7       -1.1               -1.1      0.0       0.7      3.4      3.4      3.3      3.1       3.1
      Net lending / borrowing (excluding privatization)                       -2.3       -9.6               -9.6     -7.9      -7.3     -4.0     -3.0     -2.8     -2.6      -2.5
      Augmented Net lending / borrowing (EFF definition) 4/                   -2.1       -9.3               -9.3     -7.6      -6.6     -3.9     -2.9     -2.7     -2.6      -2.5
      Cyclically-adjusted primary balance (EFF definition)                    -0.7       -6.8               -6.8     -5.2      -4.9     -2.5     -1.5     -1.2     -1.0      -0.9
""
 Sources: Ministry of Finance; and Fund staff estimates.
""
""
 1/ Includes cash outflows due to tax credit refunds.
 2/ Includes wages and salaries in the education sector.
 3/ Excludes domestic legacy debt amounting to 1.2 percent of GDP.
 4/ Augmented Net lending / borrowing (EFF definition) = Net lending / borrowing - Budget lending.
""
""
""
""
28        INTERNATIONAL MONETARY FUND
