V1
GHANA
""
""
""
"                             Table 2a. Ghana: Central Government Operations, 2016–20"
"            Table 2A. Ghana: Summary of Budgetary Central Government Operations, 2016–20 (GFS 2001, Cash Basis)"
"                                                                 (GFS 2001, Cash Basis)"
                                                                               2016                  2017                     2018             2019      2020
                                                                                             Prog.          Prov.     Prog.          Proj.     Proj.     Proj.
""
"                                                                                            (In percent of GDP, unless otherwise specified)"
""
      Revenue1                                                                    17.2          18.9          17.5       18.6          17.9      17.9      17.8
       Taxes                                                                      15.5          16.0          15.3       16.0          15.6      16.0      16.1
         Direct taxes                                                              5.4           6.1           6.4        6.2           6.6       6.9       7.0
         Indirect taxes                                                            7.4           6.9           6.4        6.9           6.5       6.4       6.4
         Trade taxes                                                               2.6           3.0           2.5        2.9           2.6       2.8       2.7
         Other tax revenues                                                        0.2           0.1           0.2        0.1           0.2       0.2       0.2
       Other revenue                                                               0.9           2.0           1.2        2.0           1.8       1.5       1.4
           o/w Retentions from IGFs                                                              0.6           0.0        0.6           0.1       0.1       0.1
       Grants                                                                      0.7           0.7           0.8        0.5           0.2       0.2       0.1
""
      Expenditure                                                                 26.6          25.2          23.4       22.4          24.3      22.5      22.3
        Expense                                                                   22.0          22.0          20.3       19.1          21.5      19.6      19.5
          Compensation of employees                                                8.7           7.9           8.2        7.8           8.0       7.8       7.8
            Wages and salaries                                                     7.2           6.9           7.1        6.8           6.9       6.7       6.7
            Deferred wage payments                                                 0.3           0.0           0.0        0.0           0.0       0.0       0.0
            Social contributions                                                   1.2           1.0           1.2        0.9           1.0       1.1       1.1
          Purchases of goods and services                                          1.9           1.3           1.2        1.2           1.4       1.5       1.6
          Interest                                                                 6.9           6.5           6.6        5.9           6.5       6.6       6.4
            Domestic                                                               5.5           5.2           5.4        4.8           5.2       5.1       5.1
            Foreign                                                                1.4           1.3           1.2        1.2           1.3       1.4       1.3
          Subsidies                                                                0.0           0.0           0.0        0.0           0.1       0.1       0.1
          Social transfers                                                         0.0           0.1           0.0        0.1           0.1       0.1       0.1
          Grants to Other Government Units                                         3.3           4.3           3.4        4.1           3.3       3.2       3.1
            Transfers to Statutory Funds                                           3.0           2.8           2.2        2.7           2.5       2.4       2.4
            Transfer to GNPC from oil revenue                                      0.2           0.6           0.5        0.5           0.4       0.5       0.4
            ESLA transfers                                                         0.1           0.9           0.7        0.9           0.3       0.2       0.2
         Other expenses 2                                                          1.2           1.8            0.9       0.0            2.2       0.4       0.3
           o/w: financial sector related costs                                                                  0.0                      1.9       0.0       0.0
        Net acquisition of nonfinancial assets                                     4.6           3.2            3.1       3.3            2.7       2.9       2.8
         Domestic financed                                                         1.2           1.1            0.5       1.1            1.2       1.2       1.6
         Foreign financed                                                          3.4           2.1            2.6       2.2            1.5       1.7       1.2
""
      Overall balance                                                             -9.3          -6.3           -6.0      -3.8           -6.4      -4.5      -4.5
      Overall balance excluding financial sector related costs                    -9.3          -6.3           -6.0      -3.8           -4.5      -4.5      -4.5
""
      Discrepancy                                                                 -1.1           0.0            0.0       0.0            0.0       0.0       0.0
""
      Net financial transactions                                                  -8.2          -6.3           -5.9      -3.8           -6.4      -4.5      -4.5
       Net acquisition of financial assets                                         2.1          -0.4            3.5       0.2            0.3       0.2       0.1
         Currency and deposits                                                     2.0           0.7            1.1       0.1            0.0       0.0       0.0
          Bank of Ghana3                                                           1.1           0.7            1.5       0.1            0.0       0.0       0.0
          Deposit Money Banks                                                      0.9           0.0           -0.5       0.0            0.0       0.0       0.0
         Shares and other equity                                                   0.1          -1.1            0.1       0.2           -0.3       0.2       0.1
         Loans4                                                                     …                           2.3                      0.5        …         …
        Net incurrence of liabilities                                             10.3           6.0            9.4       4.0            6.7       4.7       4.6
         Domestic                                                                  8.6           6.2            9.2       3.6            5.4       4.6       5.0
           Bank of Ghana                                                           2.6           0.0            0.0       0.0            0.0       0.0       0.0
           Deposit Money Banks                                                     2.7           1.2            0.4       1.1            1.6       0.9       1.0
           Nonbanks                                                                3.3           5.0            8.8       2.5            3.8       3.7       4.0
         Foreign                                                                   1.8          -0.3            0.2       0.4            1.3       0.1      -0.4
           Borrowing                                                               4.5           2.4            2.6       2.2            6.6       1.9       1.2
           Amortization                                                           -2.8          -2.7           -2.4      -1.8           -5.4      -1.8      -1.6
""
      Memorandum items:
        Oil revenue                                                                      0.4           1.2       1.2            1.5      1.3    1.6     1.7
        Proceeds from Energy Sector Levies Act (ESLA)                                    1.0           0.9       0.8            0.9      0.7    0.6     0.6
"        Revenue excl. oil, grants, and ESLA (percent of non-oil GDP)                   15.5          16.7       15.5           16.9     16.5  16.4    16.3"
        Primary balance (excl. discrepancy)                                             -2.4           0.2       0.7            2.2      0.1    2.0     1.9
        Primary balance excluding financial sector related costs                        -2.4                     0.7                     2.0    2.0     1.9
"        Nominal GDP (millions of GHc)                                               167,353       202,389 204,610          241,549 241,717 281,457 320,594"
      Sources: Ghanaian authorities; and IMF staff estimates and projections.
      1
        Revenues in staff's presentation differ to that of the authorities as staff reports revenues net of retentions of the revenue agency.
      2
        Payments of cash arrears and promissory notes to statutory funds. 2018 also includes one-off costs related to the financial sector.
      3
        Includes change in overdraft (negative balances). For 2016 also includes $200 million earmarked for repayment of the Eurobond maturing in 2017.
      4
        Includes onlending to SoEs using the proceeds from issuance of the 'energy bond'.
""
""
""
""
24   INTERNATIONAL MONETARY FUND
