V1
                                                                                                                        REPUBLIC OF CROATIA
""
""
""
""
          Table 3. Croatia: Statement of Operations of General Government
"                                (Percent of GDP, ESA 2010)"
""
""
                                                 2012       2013   2014    2015     2016     2017     2018     2019      2020    2021    2022
""
                                                                                              Proj.    Proj.    Proj.    Proj.   Proj.   Proj.
""
Revenue                                           41.8      43.0   43.1     45.0     46.8     46.6     46.8     46.8     46.8    46.9    46.9
Taxes                                             24.5      25.3   24.9     25.5     26.3     26.5     26.6     26.5     26.5    26.5    26.5
 Income tax                                        5.7       5.9    5.7      5.6      5.6      5.7      5.7      5.6      5.6     5.6     5.6
 VAT                                              12.3      12.7   12.5     12.9     13.2     13.2     13.2     13.2     13.2    13.2    13.2
 Excise                                            3.4       3.8    4.1      4.4      4.6      4.7      4.7      4.7      4.7     4.7     4.7
 Import duties                                     0.5       0.3    0.0      0.0      0.0      0.0      0.0      0.0      0.0     0.0     0.0
 Other taxes                                       2.5       2.6    2.6      2.6      2.9      2.9      2.9      2.9      2.9     2.9     2.9
Social contributions                              11.5      11.3   11.8     11.9     11.8     11.9     11.9     11.9     11.9    11.9    11.9
Other revenue                                      2.5       2.8    2.6      3.5      4.4      3.9      4.1      4.2      4.2     4.3     4.3
 Grants 1/                                         1.7       1.8    1.5      2.5      3.5      3.0      3.1      3.2      3.2     3.3     3.3
 Property income                                   0.8       1.0    1.1      1.0      1.0      1.0      1.0      1.0      1.0     1.0     1.0
   of which interest receivable:                   0.4       0.4    0.5      0.3      0.3      0.3      0.3      0.3      0.3     0.3     0.3
Sales of goods and services                        3.4       3.7    3.8      4.2      4.2      4.2      4.2      4.2      4.2     4.2     4.2
""
Expenditure                                       47.1      48.3   48.5     48.4     47.6     47.2     47.3     47.1     46.6    46.5    46.3
Expense                                           43.6      44.6   44.9     45.2     44.4     44.0     44.0     43.7     43.3    43.2    43.0
 Compensation of employees                        12.3      12.1   11.8     12.0     11.8     11.9     12.1     12.0     12.0    11.9    11.8
 Use of goods and services                         7.3       7.8    8.0      8.0      7.9      8.1      8.0      7.8      7.7     7.7     7.7
" Interest, payable                                 3.4       3.5    3.5      3.6      3.2      3.0      2.8      2.7      2.5     2.3     2.2"
 Subsidies                                         2.2       2.1    2.0      1.8      1.6      1.8      1.7      1.7      1.6     1.7     1.7
 Current grants 2/                                 0.9       1.5    1.0      1.7      2.3      1.6      1.6      1.6      1.5     1.5     1.5
 Social benefits                                  16.3      16.5   17.2     16.7     16.2     16.2     16.3     16.4     16.5    16.6    16.7
 Other expenses                                    1.3       1.1    1.4      1.6      1.4      1.4      1.4      1.4      1.4     1.4     1.4
Net acquisition of nonfinancial assets 3/          3.5       3.7    3.6      3.1      3.2      3.2      3.3      3.5      3.3     3.3     3.3
""
Overall Balance                                   -5.3      -5.3   -5.4     -3.4     -0.9     -0.6     -0.5     -0.3      0.2     0.4     0.6
""
Memorandum item:
General government debt                           70.7      82.2   86.6     86.3     83.7     80.4     77.5     74.1     71.0    67.7    64.4
Structural balance 4/                             -3.4      -3.0   -2.8     -2.1     -0.4     -0.6     -0.6     -0.4      0.2     0.4     0.6
""
Sources: Eurostat; and IMF staff estimates.
1/ Mostly EU structural and investment funds.
2/ Non-capital transfers financed by the EU structrual funds and national co-financing.
3/ Data in 2016 are preliminary and subject to revisions.
"4/ In percent of potential GDP, excluding capital transfers to public enterprises and one-off investment retrenchment in 2015."
""
""
""
""
                                                                                            INTERNATIONAL MONETARY FUND                          27
