V1
HONDURAS
""
""
""
            Table 3. Honduras: Statement of Operations of the Nonfinancial Public Sector
                                         (In percent of GDP)
                                                                        Act.                 Prel.                      Projections
                                                                   2015        2016          2017       2018    2019    2020       2021    2022    2023
     Revenue                                                       31.0        32.4          32.0       31.4    30.9    30.9       30.9    30.7    30.3
      Taxes                                                         17.9        19.4          18.8       18.3    18.2    18.1       18.2    18.3    18.1
           Taxes on income                                           5.5         6.0           6.2        5.9     5.9     5.8        5.8     5.7     5.8
           Taxes on property                                         0.1         0.1           0.1        0.1     0.1     0.1        0.1     0.1     0.1
           Taxes on goods and services                              10.5        11.0          10.9       10.6    10.6    10.6       10.6    10.6    10.6
           Taxes on foreign trade                                    0.8         0.8           0.8        0.8     0.6     0.6        0.6     0.6     0.6
           Other taxes                                               1.0         1.5           0.9        0.9     1.0     1.0        1.2     1.3     1.0
      Social contributions                                           2.9         3.1           3.3        3.3     3.3     3.4        3.4     3.4     3.4
      Grants                                                         0.9         0.8           0.6        0.6     0.6     0.6        0.6     0.6     0.6
      Other revenue                                                  9.3         9.1           9.3        9.2     8.8     8.8        8.6     8.5     8.3
     Expenditure                                                   31.9        32.9          32.8       32.2    31.7    31.6       31.5    31.4    31.0
      Expense                                                      28.1        29.7          28.4       28.6    27.7    27.7       27.4    26.9    26.7
        Compensation of employees                                   11.7        11.3          11.3       11.5    11.5    11.5       11.5    11.5    11.5
        Purchases of goods and services                              8.1         8.1           8.4        8.8     8.7     8.6        8.4     8.2     8.0
        Interest                                                     2.3         2.8           2.4        2.6     2.7     2.7        2.5     2.4     2.4
          Domestic                                                   1.4         1.8           1.4        1.5     1.7     1.6        1.6     1.4     1.4
          Foreign                                                    0.9         1.0           1.0        1.1     1.0     1.1        1.0     1.0     1.0
        Subsidies                                                    0.0         0.0           0.0        0.0     0.0     0.0        0.0     0.0     0.0
        Social benefits                                              3.2         3.6           4.1        3.8     3.8     3.8        3.8     3.8     3.8
        Other expense                                                2.8         3.8           2.2        1.9     1.0     1.0        1.1     1.0     1.0
          Current                                                    1.2         1.1           0.3        0.1     0.1     0.1        0.1     0.1     0.1
          Capital                                                    1.6         2.7           1.8        1.7     0.9     0.9        1.0     0.8     0.9
       Net acquisition of nonfinancial assets                        3.8         3.2           4.4        3.7     4.0     4.0        4.1     4.5     4.3
     Gross Operating Balance                                         2.9         2.7           3.6        2.8     3.2     3.2        3.5     3.8     3.6
     Net lending (+)/borrowing (-)                                 -0.9        -0.5          -0.8       -0.8    -0.8     -0.7       -0.7   -0.7    -0.7
     Net financial transactions                                    -0.9        -0.5          -0.8       -0.8    -0.8     -0.7       -0.7   -0.7    -0.7
      Net acquisition of financial assets                            0.9         0.1           1.1        1.5     1.4     0.5        0.8   -1.0      0.1
        Foreign                                                      0.0         0.0           0.0        0.0     0.0     0.0        0.0     0.0     0.0
          Currency and deposits                                      0.0         0.0           0.0        0.0     0.0     0.0        0.0     0.0     0.0
          Loans                                                      0.0         0.0           0.0        0.0     0.0     0.0        0.0     0.0     0.0
          Other accounts receivable                                  0.0         0.0           0.0        0.0     0.0     0.0        0.0     0.0     0.0
        Domestic                                                     0.9         0.1           1.1        1.5     1.4     0.5        0.8    -1.0     0.1
          Currency and deposits                                      0.7        -0.5           0.9        1.3     1.3     0.4        0.8    -1.0     0.0
          Debt securities                                            0.0         0.0           0.0        0.0     0.0     0.0        0.0     0.0     0.0
          Loans                                                      0.1         0.6           0.2        0.2     0.2     0.1        0.0     0.0     0.0
          Other accounts receivable                                  0.0         0.0           0.0        0.0     0.0     0.0        0.0     0.0     0.0
      Net incurrence of liabilities                                  1.8         0.6           1.9        2.3     2.2     1.3        1.5   -0.3      0.7
        Foreign                                                      2.1         1.0           4.1        1.4     1.7     1.0        1.4     0.2    -0.7
          Currency and deposits                                      0.0         0.0           0.0        0.0     0.0     0.0        0.0     0.0     0.0
          Loans                                                      2.1         1.0           4.1        1.4     1.7     1.0        1.4     0.2    -0.7
          Other accounts payable                                     0.0         0.0           0.0        0.0     0.0     0.0        0.0     0.0     0.0
         Exceptional financing 1/                                    0.0         0.0           0.0        0.0     0.0     0.0       0.0      0.0     0.0
         Other external                                              0.0         0.0           0.0        0.0     0.0     0.0       0.0      0.0     0.0
        Domestic                                                     0.1         0.0          -1.8        1.3     0.9     0.6       0.4     -0.2     1.8
         Currency and deposits                                       0.0         0.0           0.0        0.0     0.0     0.0       0.0      0.0     0.0
         Loans                                                       0.6         1.0          -0.5        0.9     0.1     0.5       0.4      0.0     1.9
         Other accounts payable                                     -0.8        -1.4          -1.7       -0.2     0.0     0.0       0.0      0.0     0.0
         PPPs/other                                                  0.3         0.5           0.4        0.5     0.7     0.2       0.0     -0.1    -0.1
        Adjustment for HIPC debt relief 2/                          -0.4        -0.4          -0.4       -0.4    -0.4    -0.4       -0.3    -0.3    -0.3
     Memorandum items:
     Net lending minus net interest payments                         0.1         0.3           0.1        0.3     0.5     0.6       0.6      0.5     0.6
     Gross total debt                                               39.0        39.9          40.3       40.8    41.3    41.4      42.2     40.8    39.9
     Nominal GDP (in billions of Lempiras)                         460.4       494.2         539.6      582.8   629.9   680.5     735.3    794.2   857.7
     Memorandum items
     Net lending of ENEE                                            -0.3        -0.3          -0.6       -0.9    -0.8    -0.6       -0.3    -0.2     0.0
"     Sources: Honduran authorities, Fund staff estimates and projections."
"     1/ Includes debt forgiveness, accumulation, rescheduling, payment and/or forgiveness of arrears."
     2/ Offsets the HIPC/MDRI debt relief accounted as grants.
""
""
""
""
30   INTERNATIONAL MONETARY FUND
