V1
                                                                                                                                          INDIA
""
""
""
""
"                  Table 6. India: General Government Operations, 2014/15–2020/21 1/"
                                                       2014/15     2015/16     2016/17      2017/18    2018/19    2019/20     2019/20     2020/21
                                                                                                           Est.         BE       Projections
                                                                                           (In percent of GDP)
Revenue                                                    19.1        19.9        20.2        19.8       19.8        21.1        19.5         19.6
 Taxes                                                     16.2        16.7        17.1        17.4       17.1        18.0        16.4         16.8
 Grants                                                     0.0         0.0         0.0         0.0        0.0         0.0         0.0          0.0
 Other revenue                                              2.9         3.1         3.0         2.4        2.7         3.1         3.2          2.8
Expenditure                                                26.2        27.1        27.3        26.2       26.0        27.4        26.9         26.7
 Expense                                                   22.4        22.2        22.2        22.5       22.1        23.4        23.0         22.8
  of which: interest                                         4.7         4.7        4.7          4.8        5.0         5.1        5.1          4.9
 Net acquisition of nonfinancial assets                      3.8         4.9        5.1          3.7        3.8         4.1        3.8          3.8
Gross Operating Balance                                     -3.2        -2.3       -2.1         -2.7       -2.4        -2.2       -3.5         -3.2
Net lending (+)/borrowing (–) (fiscal balance)              -7.1        -7.2       -7.1         -6.4       -6.2        -6.3       -7.4         -7.1
"Net financial worth, transactions                           -7.1        -7.2       -7.1         -6.4       -6.2        -6.3       -7.4         -7.1"
Net acquisition of financial assets                         -0.5        -0.3        -1.0        -1.1       -1.1        -1.4        -1.5        -0.5
 Domestic                                                   -0.5        -0.3        -1.0        -1.1       -1.1        -1.4        -1.5        -0.5
   Currency and deposits                                    -0.3        -0.2        -0.6        -0.4       -0.8        -0.7        -0.7         0.0
   Loans                                                     0.1         0.2        -0.1         0.0        0.1         0.1        -0.1        -0.1
   Equity and investment fund shares                        -0.3        -0.3        -0.3        -0.7       -0.4        -0.8        -0.8        -0.4
Net incurrence of liabilities                                6.6         6.9         6.1         5.3        5.1         4.9         5.8         6.5
 Domestic                                                    6.5         6.8         6.0         5.2        5.1         4.9         5.9         6.5
  Debt securities                                            5.2         4.9         4.5         4.7        4.3         4.0         5.0         5.7
   Other accounts payable                                    1.2         1.9         1.5         0.5        0.8         0.9         0.9         0.9
  Foreign                                                    0.1         0.1         0.1         0.1        0.0         0.0         0.0         0.0
   Loans                                                     0.1         0.1         0.1         0.1        0.0         0.0         0.0         0.0
Memorandum items:
Primary balance                                             -2.4        -2.5        -2.4        -1.6       -1.2        -1.2        -2.3        -2.1
Nondefence capital expenditure                               3.2         4.3         4.5         4.3        3.5         3.5         3.3         3.3
State and union territory governments' balance 2/           -2.6        -3.1        -3.5        -2.4       -2.4        -2.6        -2.9        -2.9
General government debt 3/                                  66.8        68.8        68.8        69.4       69.1        69.9        69.8        69.1
Sources: Data provided by the Indian authorities; state level data from the RBI Study on State Finances; and Fund staff estimates and
projections.
1/ The consolidated general government comprises the central government (CG) and state governments. It does not include lower tiers of
"government (districts, municipalities), contrary to GFSM 2014 standards. Data for April-March fiscal years."
"2/ The authorities treat states' divestment proceeds, including land sales, above-the-line as miscellaneous capital receipts. IMF Staff definition"
treats divestment receipts as a below-the-line financing item.
"3/ Includes combined domestic liabilities of CG and states governments, inclusive of MSS bonds, and sovereign external debt at year-end"
exchange rates.
""
""
""
""
                                                                                             INTERNATIONAL MONETARY FUND                       43
