V1
28
""
""
""
""
                                                                                                                                                                             ICELAND
"                                                                  Table 5. Iceland: General Government Financial Balance Sheet, 2014–23"
INTERNATIONAL MONETARY FUND
""
""
""
""
                                                                                              (Percent of GDP)
                                                                              2014          2015             2016    2017    2018    2019    2020    2021    2022    2023
                                                                                                                      Est.   Proj.   Proj.   Proj.   Proj.   Proj.   Proj.
""
                              Financial assets                                62.2          49.7             51.2    44.4    40.9    38.6    36.7    34.6    31.8    30.3
                                Currency and deposits                         25.7          18.2             12.1     5.8     6.7     6.2     5.9     5.1     3.4     3.0
                                Other assets                                  36.4          31.5             39.2    38.6    34.3    32.4    30.9    29.6    28.4    27.3
                                 Securities other than shares                  0.0           0.0              0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
                                 Loans                                         9.5           6.6              7.5     7.3     7.1     6.9     6.8     6.8     6.7     6.7
                                 Shares and other equities                    18.6          16.8             21.4    20.6    18.4    17.2    16.2    15.3    14.5    13.8
                                 Other accounts receivable                     8.4           8.1             10.2    10.7     8.8     8.3     7.8     7.5     7.1     6.8
                              Liabilities                                    110.5          96.8             85.1    72.1    66.5    61.7    58.0    54.3    50.0    47.1
                                Gross debt                                    79.7          66.0             51.7    40.0    37.0    33.8    31.4    28.9    25.6    23.6
                                 Securities other than shares                 42.3          39.0             33.9    28.0    26.1    23.8    22.1    20.3    17.6    16.2
                                 Loans                                        37.4          27.0             17.8    12.0    10.9    10.0     9.3     8.6     8.0     7.4
                                   Krona denominated                          17.2          13.5              9.6     7.9     7.1     6.5     6.0     5.5     5.0     4.5
                                   Foreign currency denominated               20.2          13.5              8.2     4.0     3.8     3.5     3.3     3.1     3.0     2.9
                               Other liabilities                               30.8          30.8            33.4    32.2    29.5    27.9    26.6    25.4    24.4    23.5
                                Insurance technical reserves                   23.6          25.4            27.7    26.3    24.9    23.6    22.5    21.6    20.8    20.0
                                Other accounts payable                          7.1           5.5             5.7     5.8     4.6     4.3     4.0     3.8     3.6     3.4
                              Net financial worth                             -48.4         -47.1            -33.8   -27.8   -25.6   -23.1   -21.2   -19.7   -18.2   -16.7
                              Memorandum item:
                               Net debt 1/                                     54.0          47.8            39.6    34.2    30.3    27.6    25.5    23.8    22.2    20.6
""
                              Sources: Ministry of Finance; Statistics Iceland; and IMF staff projections.
                              1/ Gross debt less currency and deposits.
