V1
INDIA
""
""
""
"                  Table 5. India: General Government Operations, 2014/15–2019/20   "
                                                       2014/15     2015/16   17   18            2018/19     2019/20
                                                                                               Est.      Projections
                                                                               (In percent of GDP)
 Revenue                                                    19.2       20.3        20.9        20.5       21.3         21.3
     Taxes                                                  16.2        17.1        17.7       17.9        18.6        18.6
     Grants                                                  0.0         0.0         0.0        0.0         0.0         0.0
  Other revenue                                              2.9        3.2         3.1         2.6        2.7          2.7
 Expenditure                                                26.3       27.3        27.5        27.5       27.9         27.8
     Expense                                                22.4        22.7        22.9       23.1        23.5        23.5
      of which: interest                                     4.7         4.7         4.9        5.0         5.0         5.0
     Net acquisition of nonfinancial assets                  3.9         4.6         4.6        4.3         4.4         4.3
 Gross Operating Balance                                    -3.2        -2.4        -2.0       -2.6        -2.3        -2.2
 Net lending (+)/borrowing (–) (fiscal balance)             -7.2        -7.0        -6.7       -7.0        -6.6        -6.5
" Net financial worth, transactions                          -7.2        -7.0        -6.7       -7.0        -6.6        -6.5"
 Net acquisition of financial assets                        -0.5        -0.8        -0.8       -1.1        -0.9        -0.5
     Domestic                                               -0.5        -0.8        -0.8       -1.1        -0.9        -0.5
      Currency and deposits                                 -0.3        -0.5        -0.6       -0.4        -0.5         0.0
      Loans                                                  0.1         0.0         0.1        0.0         0.1        -0.1
      Equity and investment fund shares                     -0.3        -0.3        -0.3       -0.7        -0.4        -0.4
 Net incurrence of liabilities                               6.7         6.2         5.9        5.9         5.8         6.1
     Domestic                                                6.5         6.2         5.8        5.9         5.8         6.1
      Debt securities                                        5.4         4.9         4.0        4.1         3.7         4.5
      Other accounts payable                                 1.2         1.2         1.8        1.8         2.1         1.6
     Foreign                                                 0.1         0.1         0.1        0.1         0.0         0.0
      Loans                                                  0.1         0.1         0.1        0.1         0.0         0.0
 Memorandum items:
 Primary balance                                            -2.5        -2.3        -1.8       -1.9        -1.7        -1.6
 Nondefence capital expenditure                              3.3         4.1         4.0        4.1         3.8         3.8
 State and union territory governments' balance 2/          -2.7        -3.0        -3.0       -3.0        -3.0        -3.0
 General government debt 3/                                 67.8        69.6        68.9       70.4        68.7        67.2
 Sources: Data provided by the Indian authorities; state level data from the RBI Study on State Finances; and Fund staff
 estimates and projections.
 1/ The consolidated general government comprises the central government (CG) and state governments. Data for April-
 March fiscal years.
" 2/ The authorities treat states' divestment proceeds, including land sales, above-the-line as miscellaneous capital"
 receipts. IMF Staff definition treats divestment receipts as a below-the-line financing item.
" 3/ Includes combined domestic liabilities of CG and states governments, inclusive of MSS bonds, and sovereign"
 external debt at year-end exchange rates.
""
""
""
""
42     INTERNATIONAL MONETARY FUND
