V1
                                                                                                                                                                                                                  IRAQ
""
""
""
"                                       Table 3. Iraq: Central Government Fiscal Accounts, 2015–24"
                                                                                           (In percent of GDP)
""
                                                                                                                                                                                Projections
                                                                                                            2015      2016       2017      2018        2019         2020        2021        2022        2023          2024
""
""
""
Revenues and grants                                                                                          30.6      26.8      33.0       39.8        40.5         39.6        37.9         36.5       35.5          34.6
 Revenues                                                                                                    30.6      26.8      33.0       39.8        40.5         39.6        37.9         36.5       35.5          34.6
   Oil                                                                                                       27.8      22.9      28.9       36.7        37.2         36.3        34.5         33.1       32.0          31.0
    Crude oil export revenues                                                                                27.6      22.5      28.2       36.2        36.8         35.9        34.1         32.7       31.6          30.7
    Transfers from oil-related public enterprises                                                             0.2       0.2       0.1        0.2         0.1          0.1         0.1          0.1        0.1           0.1
    Tax on oil company profits                                                                                0.0       0.1       0.5        0.3         0.3          0.3         0.3          0.2        0.2           0.2
   Non-oil                                                                                                    2.8       4.0       4.2        3.1         3.3          3.3         3.4          3.4        3.5           3.5
    Tax revenues                                                                                              0.7       2.5       2.9        1.8         2.0          1.9         1.9          2.0        2.0           2.0
       Direct taxes                                                                                           0.5       1.8       1.7        1.0         0.9          0.9         1.0          1.0        1.0           1.0
       Indirect taxes                                                                                         0.2       0.7       1.2        0.9         1.0          1.0         1.0          1.0        1.0           1.0
    Non-tax revenues                                                                                          2.1       1.5       1.3        1.3         1.4          1.4         1.4          1.5        1.5           1.5
 Grants                                                                                                       0.0       0.0       0.0        0.0         0.0          0.0         0.0          0.0        0.0           0.0
""
Expenditures                                                                                                 43.4      40.7      34.6       32.0        44.6         43.1        41.2         40.5       40.5          40.5
 Current expenditures                                                                                        27.8      29.3      26.4       26.7        33.9         34.7        33.6         33.5       33.7          33.9
      Salary and pension                                                                                     20.4      20.1      18.6       18.2        21.8         21.6        21.5         21.4       21.3          21.3
         Salary                                                                                              16.0      15.6      14.5       14.2        17.4         17.4        17.5         17.4       17.5          17.6
         Pension                                                                                              4.4       4.5       4.1        4.0         4.4          4.2         4.1          3.9        3.8           3.7
      Goods and services                                                                                      2.3       2.4       3.3        3.0         4.7          4.7         4.8          4.8        4.9           5.0
