V1
                                                                                                                                                         ISRAEL
""
""
""
"                  Table 4. Israel: Summary of Central Government Operations, 2015–25   "
"                               (In percent of GDP, unless otherwise indicated)"
                                                            2015     2016     2017       2018      2019     2020      2021    2022     2023     2024      2025
                                                                                                            Projections
""
""
Revenue and grants                                          25.7      26.3     26.5       25.5     24.7      23.1      24.7    24.7     24.7     24.7      24.7
  On income and profits                                     11.6      11.7     13.2       12.2     12.0      12.0      12.0    12.0     12.0     12.0      12.0
  VAT and customs                                           10.8      10.8     10.4       10.4     10.1      10.1      10.1    10.1     10.1     10.1      10.1
  Fees                                                       0.6       0.5      0.5        0.5      0.5       0.5       0.5     0.5      0.5      0.5       0.5
  VAT on defense imports                                     0.1       0.1      0.1        0.2      0.1       0.1       0.1     0.1      0.1      0.1       0.1
  Interest                                                   0.1       0.1      0.1        0.1      0.0       0.0       0.0     0.0      0.0      0.0       0.0
  Loans from NII                                             1.4       1.9      1.7        1.8      1.6       0.0       1.6     1.6      1.6      1.6       1.6
  Grants 2/                                                  0.7       0.9      0.0        0.0      0.0       0.0       0.0     0.0      0.0      0.0       0.0
  Other                                                      0.3       0.3      0.5        0.5      0.4       0.4       0.4     0.4      0.4      0.4       0.4
""
Expenditure 3/                                              27.8      28.4     28.4       28.4     28.4      36.5      34.0    31.7     30.0     29.8      29.6
  Administrative Departments                                 4.0       4.0      4.1        4.2      4.3       4.6       4.6     4.6      4.5      4.4       4.4
  Social Departments                                        11.3      12.0     12.5       12.7     12.8      19.7      17.1    14.9     13.5     13.3      13.2
  Economic Departments                                       2.0       2.1      2.3        2.4      2.5       2.7       2.8     2.7      2.7      2.6       2.6
  Defense Expenditure 2/                                     6.0       6.0      5.2        5.1      5.0       5.4       5.4     5.3      5.2      5.2       5.1
  Other Expenditures                                         0.3       0.3      0.3        0.2      0.2       0.4       0.2     0.2      0.2      0.2       0.2
  Reserve                                                    0.0       0.0      0.0        0.0      0.0       0.0       0.0     0.0      0.0      0.0       0.0
  Interest                                                   2.6       2.5      2.3        2.2      2.1       2.1       2.4     2.5      2.5      2.5       2.5
  Repayment of Principal to NII                              1.6       1.5      1.6        1.5      1.5       1.5       1.5     1.5      1.5      1.5       1.5
""
Budget deficit                                              -2.1      -2.1     -2.0       -2.9      -3.7    -13.2      -9.0    -6.7     -5.0     -4.8      -4.7
  Unsettled Payment Orders 4/                                0.3       0.2     -0.5        0.0       0.0      0.0       0.0     0.0      0.0      0.0       0.0
""
Financing                                                    2.5       2.3      1.4        2.9       3.7     13.2       9.0     6.7      5.0      4.8       4.7
  Foreign (net)                                             -0.5       0.2      0.7        0.8       0.3      1.1       0.1     0.1      0.1      0.1       0.1
  Domestic (net)                                             2.6       1.8      0.6        1.9       3.3     13.5       8.4     6.0      4.3      4.4       4.5
    Loans                                                    6.0       7.2      7.0        6.5       8.8     19.0       1.9     3.3     13.5     -3.7      -2.5
    Repayment                                               -3.4      -5.3     -6.3       -4.6      -5.5     -5.6      -5.7    -5.8     -5.9     -6.0      -6.1
  Sale of assets (net)                                       0.3       0.2      0.1        0.2       0.1     -1.4       0.6     0.6      0.6      0.3       0.1
""
Memorandum items:
 Structural balance (percent of potential GDP)               -2.0     -2.5      -2.8       -2.9     -3.9    -11.5      -7.7     -6.0     -4.8     -4.8      -4.9
 Primary balance (PB)                                         0.4      0.3       0.3       -0.8     -1.6    -11.3      -6.9     -4.6     -2.8     -2.5      -2.4
 Cyclically adjusted PB (percent of potential GDP)            0.4      0.4       0.3       -0.8     -1.7      -9.5     -5.5     -3.7     -2.3     -2.4      -2.4
 Deficit limit 3/                                             3.0      2.9       2.9        2.9      2.9       2.5      2.3      2.0      2.0      1.8       1.8
 Real expenditure growth (in percent)                         4.2      7.6       3.5        3.8      5.0     23.1      -2.2     -1.9     -0.8      3.4       3.3
 Public debt to GDP                                         63.8     62.1      60.6       60.9     60.0      73.0     79.1     81.6     82.3     82.8      83.4
" Nominal GDP (in billions of NIS)                          1,167    1,224     1,269      1,330    1,407     1,339    1,409    1,490    1,570    1,649     1,725"
""
Sources: Ministry of Finance; IMF Staff estimates and projections.
"1/ Data as per the MoF definition, on a cash basis, covering the budgetary sector and the National Insurance Institute."
"2/ Starting from 2017, grants provded by the United States and associated spending are excluded from the MOF's budget"
presentation.
3/ Excludes state land sales.
"4/ Registered spending but for which the equivalent cash has not yet been disbursed, hence it does not appear in financing."
""
""
""
""
                                                                                                           INTERNATIONAL MONETARY FUND                        37
