V1
                                                                                                                                                          KYRGYZ REPUBLIC
""
""
"                                  Table 7. Kyrgyz Republic: State Government Finances, 2019–27   "
                                                         (in percent of GDP)
                                                                                        2019   2020     2021            2022         2023     2024      2025         2026      2027
                                                                                                                     A
                                                                                                        Est.           Estimate                        Projections
                                                                                                                     4
""
Revenues                                                                                27.0     25.3      29.0             35.0       32.3     32.7       32.3        32.1      31.9
  Taxes                                                                                 19.6     17.4      20.5             26.8       25.8     25.9       25.6        25.4      25.3
"   Taxes on income, profits, and capital gains                                           4.8      5.4          5.5             8.0      6.8      6.7         6.7        6.6       7.0"
     Payable by individuals                                                              2.1      2.0          2.1             2.2      2.2      2.2         2.3        2.3       2.3
     Payable by corporations and other enterprises                                       2.7      3.4          3.4             5.8      4.6      4.5         4.4        4.3       4.7
   Taxes on property                                                                     0.5      0.5          0.4             0.4      0.4      0.4         0.4        0.4       0.4
     Land tax                                                                            0.2      0.2          0.2             0.2      0.2      0.2         0.2        0.2       0.2
     Property tax                                                                        0.3      0.3          0.3             0.3      0.3      0.3         0.3        0.3       0.3
   Taxes on good and services                                                           10.8      8.7      11.1             14.6       14.9     15.1       15.0        15.0      14.7
       VAT                                                                               8.2      6.6          8.8          12.2       12.6     12.8       12.7        12.6      12.4
       New turnover tax                                                                  0.7      0.6          0.7             0.7      0.7      0.7         0.7        0.7       0.7
       Excises                                                                           1.6      1.5          1.6             1.7      1.6      1.6         1.6        1.6       1.5
   Taxes on international Trade                                                          3.5      2.9          3.2             3.2      3.2      3.2         3.1        3.0       2.9
  Grants (including project grants)                                                      2.2      2.0          1.9             2.4      1.2      1.1         1.1        1.0       1.0
   Program grants                                                                        1.3      1.1          0.7             0.8      0.5      0.4         0.4        0.4       0.3
   PIP grants                                                                            0.9      0.9          1.2             1.6      0.7      0.7         0.7        0.7       0.7
  Other Revenues                                                                         5.2      5.9          6.7             5.9      5.3      5.7         5.7        5.6       5.5
   Of which mineral development                                                          0.3      0.2          0.2             0.2      0.2      0.2         0.2        0.1       0.1
""
Expense                                                                                 22.6     25.0      23.9             29.5       30.8     30.4       30.5        30.3      30.2
  Compensation of Employees                                                              9.4     11.1          9.0          11.6       12.7     12.7       12.5        12.3      12.1
   Wages and salaries                                                                    8.4      9.8          8.0          10.2       11.2     11.2       11.0        10.8      10.7
   Social Fund Contribution                                                              1.1      1.3          1.0             1.4      1.5      1.5         1.5        1.5       1.4
  Use of goods and services                                                              3.5      3.0          3.0             4.1      3.9      3.9         3.9        3.9       3.9
  Interest                                                                               1.3      1.4          1.2             1.3      1.4      2.0         2.4        2.6       2.9
     Domestic interest                                                                   0.7      0.7          0.6             0.7      0.9      1.4         1.8        2.1       2.4
     Foreign interest                                                                    0.6      0.7          0.5             0.6      0.5      0.5         0.5        0.5       0.5
  Subsidies to public corporations                                                       0.7      0.7          0.7             0.6      0.7      0.7         0.8        0.8       0.8
  Grants                                                                                 5.2      6.1          5.4             5.8      5.9      5.9         6.0        5.9       5.9
   to international organizations                                                        0.1      0.1          0.1             0.1      0.1      0.1         0.1        0.1       0.1
   to other general government units 2/                                                  5.1      6.0          5.3             5.7      5.8      5.8         5.9        5.8       5.8
  Social Benefits                                                                        1.7      1.8          1.7             2.0      2.9      2.9         2.9        2.9       2.9
  Other expense                                                                          0.8      1.0          2.9             4.2      3.2      2.3         2.2        2.0       1.8
   Capital transfers to SOEs (energy sector)                                             0.6      0.5          1.1             1.2      1.2      1.2         1.2        1.2       1.2
""
Gross operating balance                                                                  4.4      0.2          5.1             5.5      1.5      2.4         1.9        1.8       1.7
""
Net acquisition of nonfinancial assets                                                   5.1      4.1          6.4          10.7        6.2      6.8         6.6        6.7       6.8
  Acquisition of nonfinancial assets                                                     5.1      4.1          6.4          10.7        6.2      6.8         6.6        6.7       6.8
   Domestically financed capital expenditure                                             3.1      2.1          3.8             7.4      4.0      4.5         4.5        4.5       4.5
   Foreign loan financed PIP                                                             1.4      1.1          1.5             1.8      1.3      1.5         1.4        1.4       1.5
   Foreign grant financed PIP                                                            0.7      0.9          1.1             1.4      0.9      0.8         0.7        0.7       0.7
  Disposals of nonfinancial assets                                                       0.0      0.0          0.0             0.0      0.0      0.0         0.0        0.0       0.0
""
Net lending/borrowing (overall balance)                                                 -0.7     -3.8      -1.3             -5.2       -4.6     -4.4        -4.7        -4.8      -5.0
""
Acquisition of financial assets                                                          0.6     -0.4          1.8             1.8      0.0      0.0         0.0        0.0       0.0
Domestic                                                                                 0.6     -0.4          1.8             1.8      0.0      0.0         0.0        0.0       0.0
   Currency and deposits (NBKR)                                                          0.7      0.0          0.0             0.0      0.0      0.0         0.0        0.0       0.0
             2
   Loans /                                                                               0.0      0.2          0.0             0.7      0.0      0.0         0.0        0.0       0.0
   Shares and Equity (Privatization)                                                    -0.1      0.0          1.8             1.1      0.0      0.0         0.0        0.0       0.0
Foreign                                                                                  0.0      0.0          0.0             0.0      0.0      0.0         0.0        0.0       0.0
""
