V1
KENYA
""
""
             Table 2b. Kenya: Central Government Financial Operations 2019/20–2024/25 1
                                                                       (in percent of GDP)
                                                              2019/20        2020/21          2021/22           2022/23          2023/24          2024/25
""
                                                                Prel.     Supp I   Proj.    BPS 21   Proj.   BPS 21   Proj.   BPS 21   Proj.   BPS 21   Proj.
                                                                                           O
""
 Revenues and grants                                            17.3       17.0    17.0      16.8    16.8     17.6    17.6     18.6    18.6     18.4    18.4
 Revenue                                                        17.1       16.6    16.6      16.4    16.4     17.3    17.3     18.2    18.2     18.1    18.1
 Tax revenue (including unidentified tax measures)              13.6       12.9    12.9      13.5    13.5     14.7    14.7     15.6    15.6     15.6    15.6
 Income tax                                                     7.0        6.6     6.6       6.7     6.7      7.3     6.9      7.7     6.9      7.7     6.9
    Personal income                                             3.9        3.5     3.5       3.5     3.5      3.7     3.6      4.0     3.6      4.0     3.6
    Corporate income                                            3.0        3.1     3.1       3.2     3.2      3.5     3.3       3.7     3.3      3.7     3.4
 Import duty (net)                                              1.0        0.9     0.9       1.0     1.0      1.1     1.0      1.1     1.0      1.1     1.0
 Excise duty                                                    1.9        1.9     1.9       1.9     1.9      2.2     2.0      2.3     2.0      2.3     2.0
 Value-added tax                                                3.8        3.5     3.5       3.8     3.8      4.3     4.0      4.5     4.0      4.5     4.1
     Domestic                                                   2.1        1.9     1.9       2.0     2.0      2.2     2.0      2.3     2.1      2.3      2.0
     Imports                                                    1.7        1.7     1.7       1.8     1.8      2.0     2.0      2.2     2.0      2.3     2.0
 Nontax revenue                                                 3.4        3.7     3.7       3.0     3.0      2.6     2.6      2.7     2.7      2.5      2.5
    Investment income                                           0.5        0.4     0.4       0.2     0.2      0.2     0.2      0.2     0.2      0.2     0.2
    Other                                                       1.4        1.0     1.0       0.6     0.6      0.6     0.6       0.6    0.6       0.6     0.6
    Ministerial and Departmental Fees (AIA)                     1.3        2.0     2.0       1.9     1.9      1.5     1.5      1.6     1.6      1.5     1.5
    Railway Levy                                                0.2        0.2     0.2       0.2     0.2      0.2     0.2      0.2     0.2      0.2     0.2
 Grants                                                          0.2       0.4     0.4       0.4     0.4      0.3     0.3      0.3     0.3      0.3     0.3
""
 Expenditure and net lending                                    25.1      25.7     25.7     24.3     24.3     23.3    23.5     22.8    22.9     22.0    22.1
 Recurrent expenditure                                          19.3      20.0     20.0     19.4     19.3     18.4    18.4     17.8    17.9     17.1    17.2
 Transfer to counties                                            3.2       3.4      3.4      3.3      3.1      3.0     2.9      2.7     2.7      2.4     2.5
