V1
KUWAIT
""
""
""
""
"                               Table 2b. Kuwait: Summary of Government Finance, 2014/15–2025/26"
"                                              (Percent of GDP, unless otherwise noted)"
""
                                                                                                                                           Est.                           Projections
""
                                                                                  2014/15    2015/16   2016/17   2017/18   2018/19     2019/20    2020/21   2021/22    2022/23   2023/24       2024/25   2025/26
                                                                                                                                        (Percent of GDP)
""
 Revenue (includes grants)                                                            67.4      52.3      52.7      58.3      60.9        59.3       55.5      54.2       53.4      52.6          51.6      50.6
     Taxes                                                                             1.0       1.4       1.6       1.5       1.6          1.7       1.8       2.0        2.0          2.0        2.0       2.0
     Other revenue                                                                    66.4      50.9      51.0      56.8      59.3        57.5       53.7      52.2       51.4      50.6          49.6      48.6
       Oil and gas                                                                    51.9      35.4      34.4      37.8      43.7        39.8       36.7      35.5       34.6      33.9          33.3      32.8
       Investment income and transfer of profits of public entities 1/                10.6      13.3      14.6      16.2      12.2        14.2       13.3      13.1       13.2      13.1          12.8      12.4
       Other 2/                                                                        3.9       2.2       2.0       2.8       3.4          3.6       3.7       3.7        3.6          3.6        3.5       3.4
""
 Total expenditure 3/                                                                 48.8      52.7      52.2      50.7      51.6        54.5       56.3      56.9       57.1      57.0          56.8      56.3
     Expense                                                                          43.3      45.0      45.6      44.2      45.4        47.8       49.3      49.7       50.0      49.9          49.8      49.4
       Compensation of employees                                                      13.1      17.1      18.7      17.7      19.2        20.8       21.8      22.1       22.4      22.5          22.6      22.7
       Purchases/use of goods & services                                               6.7       9.0       6.7       7.4       8.5          9.1       9.6       9.7        9.5          9.3        9.0       8.6
       Interest                                                                        0.1       0.1       0.1       0.6       0.9          0.7       0.5       0.6        1.4          2.0        2.7       3.2
       Subsidies and social benefits                                                  17.6      14.0      13.2      12.7      11.6        11.8       11.8      11.7       11.4      11.1          10.8      10.5
             Subsidies                                                                 5.7       5.0       4.7       4.1       3.8          3.6       3.4       3.3        3.3          3.3        3.2       3.2
             Social benefits                                                          11.9       9.0       8.5       8.7       7.8          8.2       8.4       8.4        8.1          7.9        7.6       7.3
                Payments to Social Security Fund                                       7.1       5.6       6.2       5.8       5.2          5.5       5.7       5.7        5.4          5.2        5.0       4.7
                    Transfers to Social Security Fund                                  4.6       5.6       6.2       5.8       5.2          5.5       5.7       5.7        5.4          5.2        5.0       4.7
                    Fund recapitalization                                              2.5       0.0       0.0       0.0       0.0          0.0       0.0       0.0        0.0          0.0        0.0       0.0
                Other social benefits                                                  4.8       3.4       2.3       2.9       2.6          2.7       2.7       2.7        2.7          2.7        2.6       2.6
                    Oil-related                                                        3.0       1.1       0.6       0.8       0.7          0.7       0.7       0.6        0.6          0.6        0.6       0.6
                    Others                                                             1.8       2.3       1.7       2.1       1.9          2.0       2.1       2.1        2.0          2.0        2.0       2.0
       Expense not elsewhere classified                                                5.9       4.8       6.9       5.7       5.1          5.4       5.5       5.5        5.2          5.0        4.7       4.5
     Net acquisition of nonfinancial assets                                            5.4       7.7       6.5       6.6       6.2          6.7       7.0       7.2        7.1          7.1        7.0       6.8
""
 Net lending / borrowing                                                              18.6      -0.3       0.5       7.5       9.3          4.7      -0.8       -2.6      -3.7       -4.4         -5.2      -5.6
     Transfers to FGF                                                                  5.7       3.9       3.8       4.2       4.9          4.5       4.2        4.1       4.0        4.0          3.9       3.8
     Investment income                                                                10.6      13.3      14.6      16.2      12.2         14.2      13.3       13.1      13.2       13.1         12.8      12.4
  Overall balance (after transfers to FGF and excl. investment income) 4/              2.3     -17.5     -17.9     -12.9      -7.7        -13.9     -18.3      -19.8     -20.9      -21.4        -21.8     -21.9
     Non-oil balance                                                                 -33.3     -35.7     -33.9     -30.3     -34.4        -35.0     -37.6      -38.1     -38.3      -38.3        -38.5     -38.4
       excluding investment income                                                   -43.9     -49.0     -48.5     -46.5     -46.5        -49.2     -50.8      -51.2     -51.5      -51.4        -51.3     -50.8
         excluding recapitalization of pension                                       -41.4     -49.0     -48.5     -46.5     -46.5        -49.2     -50.8      -51.2     -51.5      -51.4        -51.3     -50.8
             excluding oil-related subsidies and benefits                            -32.8     -43.0     -43.3     -41.6     -42.1        -44.9     -46.7      -47.2     -47.5      -47.5        -47.4     -47.0
""
""
 Financing (net)                                                                      -2.3      17.5      17.9      12.9       7.7        13.9       18.3      19.8       20.9      21.4          21.8      21.9
     Domestic                                                                         -0.7      -1.2       6.5       1.9      -2.7         -3.3       3.7       4.0        3.8          4.7        4.5       3.6
     External                                                                         -1.6      18.8      11.4      11.1      10.5        17.2       13.4      14.2       15.1      14.6          15.1      15.9
       External bonds                                                                  0.0       0.0       7.1       0.0       0.0          0.0      11.4       8.5       10.2          7.7        7.7       8.7
       Reserve funds                                                                  -1.6      18.8       4.3      11.1      10.5        17.2        2.0       5.7        5.0          6.9        7.3       7.2
""
                                                                                                                                     (Percent of nonoil GDP)
 Revenue (includes grants)                                                           166.9      94.2      90.7     107.2     118.0       106.5       94.7      90.5       87.7      85.3          82.9      80.7
""
 Total expenditure                                                                   120.8      94.8      89.8      93.4     100.0        98.0       96.1      94.9       93.8      92.4          91.2      89.7
""
 Net lending / borrowing                                                              46.1      -0.6       0.9      13.8      18.0          8.5      -1.4       -4.4      -6.1          -7.2      -8.3      -9.0
""
 Non-oil balance                                                                     -82.6     -64.3     -58.4     -55.7     -66.6        -63.0     -64.1      -63.6     -62.8      -62.2        -61.8     -61.2
     excluding investment income                                                    -108.8     -88.3     -83.5     -85.5     -90.2        -88.4     -86.7      -85.4     -84.5      -83.4        -82.3     -81.1
