V1
                                                                                                                   REPUBLIC OF LATVIA
""
""
""
"                        Table 3. Latvia: General Government Operations, 2019–27   "
""
                                                    2019       2020      2021    2022     2023         2024      2025    2026    2027
                                                                                                       Projections
""
                                                                                    (percent of GDP)
""
Revenue                                              37.2       38.5      38.3    35.8      35.9        35.3     35.0     34.9    34.9
 Taxes                                               20.1       20.7      21.0    19.5      19.4        19.3     19.4     19.3    19.4
     Personal Income Tax                              6.3        6.2       5.9     5.5       5.5         5.5      5.5      5.5     5.6
     Corporate Income Tax                             0.1        0.7       0.9     0.9       0.9         0.9      0.9      0.9     0.9
     Property Tax                                     0.7        0.8       0.7     0.6       0.6         0.6      0.6      0.6     0.6
     Value-added tax                                  8.6        8.6       8.4     8.4       8.5         8.5      8.6      8.6     8.6
     Excise tax                                       3.5        3.6       3.4     3.2       3.1         2.9      2.9      2.9     2.9
     Other taxes                                      0.8        0.8       1.8     0.8       0.8         0.8      0.8      0.8     0.8
 Social Contributions                                 9.4        9.9       9.5     9.5       9.5         9.5      9.5      9.5     9.5
 Grants                                               4.3        4.4       4.2     3.9       4.6         4.3      3.8      3.8     3.8
 Other Revenue                                        3.4        3.5       3.5     3.0       2.5         2.2      2.2      2.2     2.2
""
Expenditure                                          37.6       42.3      43.8    41.4      38.2        37.3     36.9     35.7    35.3
  Expense                                            33.7       38.1      40.0    36.8      34.1        33.3     33.1     32.3    32.1
    Compensation of Employees                         8.5        9.2       8.9     8.2       8.2         8.4      8.4      8.5     8.5
    Use of goods and services                         4.9        5.0       4.7     4.9       4.3         4.2      4.2      3.9     3.9
    Interest                                          0.9        0.9       0.8     0.5       0.6         0.5      0.5      0.5     0.5
    Subsidies                                         7.6        9.4       9.5    10.1       8.5         8.2      8.1      8.0     8.0
    Grants                                            1.1        1.3       1.4     1.1       1.0         1.0      1.0      1.0     1.0
        Payments to EU budget                         1.0        1.1       1.2     1.0       0.9         0.9      0.9      0.9     0.9
        International organizations                   0.2        0.2       0.2     0.1       0.1         0.1      0.1      0.1     0.1
    Social Support                                   10.6       12.3      14.6    12.0      11.5        10.9     10.9     10.4    10.1
        Pensions                                      7.2        8.6       7.7     7.6       7.5         7.4      7.4      7.2     7.1
        Other                                         3.4        3.7       6.9     4.4       4.0         3.5      3.5      3.1     3.0
    Other expense                                     0.0        0.0       0.0     0.0       0.0         0.0      0.0      0.0     0.0
""
    Net Acquisition of Nonfinancial Assets             3.9        4.2      3.9     4.6       4.2         4.0       3.8     3.3     3.3
""
    Gross Operating Balance                            3.6        0.4     -1.7    -1.0       1.8         2.0       1.8     2.6     2.9
""
    Net Lending/Borrowing                             -0.4       -3.8     -5.6    -5.6      -2.4        -2.0      -1.9    -0.7    -0.4
""
         Domestic financing                           -3.0        1.5      1.6     0.8       0.3         0.7       1.4     2.4     0.4
         External financing                            3.3        2.3      3.9     4.8       2.0         1.3       0.6    -1.7     0.0
         Errors and omissions                          0.0        0.0      0.0     0.0       0.0         0.0       0.0     0.0     0.0
    Memorandum Items
    ESA balance 2/                                   -0.6       -4.5      -7.3    -6.2      -2.4        -1.8     -0.9     -0.7    -0.4
    ESA structural balance                           -1.5       -3.2      -6.7    -5.8      -2.0        -1.7     -0.8     -0.7    -0.4
    General government debt                          36.7       43.3      45.7    45.5      43.4        42.5     41.7     39.8    37.8
    Nominal GDP (billions of euros)                  30.6       29.5      32.9    38.0      41.8        44.4     47.1     49.8    52.7
""
Sources: Latvia authorities and IMF staff estimates.
1/ Fiscal accounts are on a cash basis as provided by the authorities.
2/ ESA refers to the European System of Accounts (ESA).
""
""
""
""
                                                                                         INTERNATIONAL MONETARY FUND                    31
