V1
                                                                                                                                      MOROCCO
""
"                          Table 2b. Morocco: Budgetary Central Government Finance, 2017–26"
                                                   (Percent of GDP)
                                                                                                                   Proj.
                                                          2017     2018       2019   2020      2021     2022        2023      2024      2025     2026
""
""
Revenue                                                    26.6        26.1   25.6    28.6     25.3     26.3         26.6     26.8      27.1         27.3
  Taxes                                                    21.8        21.9   21.4    21.2     20.6     21.3         21.6     21.8      22.2         22.3
"    Taxes on income, profits, and capital gains             8.8         8.6    8.5     8.8      7.7      8.0          8.1       8.2      8.3          8.4"
    Taxes on property                                       1.2         1.1    1.0     0.9      1.0      1.1          1.1       1.1      1.1          1.1
    Taxes on goods and services                            10.4        10.6   10.5    10.2     10.5     10.7         10.9     11.0      11.1         11.2
    Taxes on international trade and transactions           0.8         0.9    0.9     0.9      1.0      1.0          1.0       1.0      1.0          1.0
    Other taxes                                             0.6         0.6    0.5     0.4      0.5      0.5          0.5       0.5      0.6          0.6
  Grants                                                    1.1         0.4    0.2     0.5      0.1      0.2          0.2       0.2      0.2          0.2
  Other revenue                                             3.7         3.9    3.9     6.9      4.5      4.8          4.8       4.8      4.8          4.8
""
""
Expense                                                    24.6        24.6   24.9    30.2     27.1     27.9         27.2     26.5      26.0         25.7
  Compensation of employees                                11.5        11.2   11.4    12.3     12.0     12.3         12.1     11.7      11.3         11.0
    Of which: wages and salaries                            9.9         9.6    9.7    10.6     10.4     10.8         10.6     10.2       9.9          9.7
                    social contributions                    1.6         1.7    1.7     1.7      1.6      1.6          1.5       1.5      1.4          1.4
  Use of goods and services and grants                      7.1         7.4    8.0     9.0      9.2      9.3          8.9       8.5      8.6          8.6
    Of which: Use of goods and services                     2.6         2.7    2.7     3.0      2.9      2.7          2.8       2.8      2.8          2.8
               Grants 1/                                    4.5         4.7    5.3     6.0      6.3      6.6          6.2       5.8      5.9          5.9
  Subsidies                                                 1.4         1.6    1.4     1.2      1.5      1.4          0.5       0.5      0.5          0.4
  Social benefits                                           0.3         0.3    0.3     2.1      0.7      0.7          1.6       1.6      1.5          1.4
  Interest                                                  2.5         2.4    2.3     2.6      2.5      2.3          2.3       2.3      2.3          2.3
  Other expenses 2/                                         1.8         1.7    1.5     2.8      1.1      1.9          1.8       1.9      1.9          1.9
""
Net acquisition of nonfinancial assets                      5.5         5.2    4.5     6.0      5.0      4.7          5.2       5.2      5.2          5.2
""
Primary balance                                            -0.9        -1.3   -1.5     -4.9     -4.4     -4.0        -3.6      -2.6      -1.9        -1.3
Overall balance                                            -3.5        -3.7   -3.8     -7.6     -6.8     -6.3        -5.8      -4.9      -4.1        -3.6
Cyclical adjusted balance                                  -4.3        -4.1   -4.1     -6.2     -6.7     -6.4        -5.6      -5.0      -4.2        -3.8
""
""
Change in net financial worth                              -3.5        -3.7   -3.8     -7.6     -6.8     -6.3        -5.8      -4.9      -4.1        -3.6
  Net acquisition of financial assets                       0.0         0.0   -0.5     0.0      -0.3     -0.4         0.0       0.0      0.0          0.0
      Domestic                                              0.0         0.0   -0.5     0.0      -0.3     -0.4         0.0       0.0      0.0          0.0
           Shares and other equity                          0.0         0.0   -0.5     0.0      -0.3     -0.4         0.0       0.0      0.0          0.0
      Foreign Loans                                         0.0         0.0    0.0     0.0      0.0      0.0          0.0       0.0      0.0          0.0
  Net incurrence of liabilities                             3.5         3.7    3.4     7.6      6.5      5.9          5.8       4.9      4.1          3.6
      Domestic                                              3.2         3.9    1.9     3.6      5.5      4.4          4.9       4.0      3.2          2.4
           Currency and Deposits                            0.2         0.4    0.1     0.1      0.1      0.1          0.1       0.1      0.1          0.1
           Securities other than shares                     3.0         3.5    1.8     3.5      5.4      4.3          4.8       3.9      3.1          2.4
           Other accounts payable                           0.0         0.0    0.0     0.0      0.0      0.0          0.0       0.0      0.0          0.0
      Foreign Loans                                         0.3        -0.2    1.5     4.0      1.0      1.5          1.0       0.9      0.9          1.2
""
""
Memorandum Item:
  Total investment (including capital transfers)            7.2         6.9    6.1     8.8      6.2      6.6          7.0       7.1      7.1          7.1
"  GDP (Billions Dirham)                                 1,063.0 1,108.5 1,152.8 1,089.5 1,171.1 1,226.5           1,279.7   1,338.0   1,403.9 1,477.2"
""
  Sources: Ministry of Economy and Finance; and IMF staff estimates.
"  1/ Includes transfers to other general government units, international organizations, and foreign governments"
  2/ Includes capital transfers to public entities.
""
""
""
""
                                                                                              INTERNATIONAL MONETARY FUND                       31
