V1
                                                                                                                       REPUBLIC OF MOLDOVA
""
""
""
"                   Table 4b. Moldova: General Government Budget, 2017–2027"
"                              (Percent of GDP, unless otherwise stated)"
                                                        2017    2018       2019   2020   2021      2022    2023    2024    2025    2026    2027
""
""
                                                                                           Est.    Proj.   Proj.   Proj.   Proj.   Proj.   Proj.
""
Revenues and Grants                                     30.3     30.7      30.5   31.4    32.0     32.2    31.5    31.6    31.9    32.1    32.1
 Revenues                                               29.8     30.5      29.7   31.0    31.0     30.8    30.7    31.2    31.4    31.7    31.7
  Tax revenues                                          28.4     29.0      28.3   29.5    29.5     29.4    29.6    30.0    30.3    30.6    30.6
    Personal income                                      2.1      2.1       1.9    2.1     2.1      2.1     2.2     2.2     2.2     2.2     2.2
    Corporate income                                     2.3      2.8       2.6    2.6     2.5      2.8     2.6     2.6     2.6     2.6     2.6
    Property tax                                         0.3      0.3       0.3    0.3     0.3      0.3     0.3     0.2     0.2     0.2     0.2
    VAT                                                  9.6      9.8       9.8    9.9    10.5     10.6    10.7    10.9    11.0    11.2    11.2
    Excises                                              3.4      3.0       3.0    3.2     3.1      3.0     2.9     3.3     3.5     3.5     3.5
    Foreign trade                                        0.9      0.9       0.9    0.9     0.9      0.9     0.9     1.0     1.0     1.0     1.0
    Other                                                1.0      0.9       0.9    1.0     0.9      0.8     0.7     0.7     0.7     0.7     0.7
    Social Fund contributions                            6.7      6.9       6.6    7.2     6.7      6.7     6.9     6.8     6.8     6.8     6.8
    Health Fund contributions                            2.1      2.2       2.3    2.5     2.3      2.3     2.3     2.3     2.3     2.3     2.3
  Non-tax revenues                                       1.4      1.5       1.4    1.5     1.5      1.4     1.2     1.1     1.1     1.1     1.1
    NBM profit transfers                                 0.0      0.0       0.0    0.1     0.2      0.1     0.0     0.0     0.0     0.0     0.0
 Grants                                                  0.6      0.2       0.8    0.3     1.0      1.4     0.8     0.4     0.5     0.5     0.4
  Budget support                                         0.4      0.0       0.6    0.2     0.8      1.1     0.3     0.2     0.3     0.3     0.3
  Project                                                0.2      0.2       0.2    0.2     0.2      0.3     0.5     0.2     0.2     0.2     0.2
Expenditure and Net Lending                             31.0     31.5      32.0   36.7    34.6     38.4    37.5    36.5    35.9    35.7    35.4
 Current expenditure                                    27.9     28.3      28.6   32.9    31.5     34.6    34.5    32.4    31.7    31.5    31.2
   Wages                                                 7.1      7.3       7.6    8.6     7.8      7.8     8.0     8.1     8.2     8.2     8.2
   Goods and services                                    6.0      5.9       5.9    6.6     6.9      7.0     7.0     6.9     6.8     6.8     6.7
   Interest payments                                     1.1      0.8       0.8    0.9     0.8      1.0     1.8     1.0     1.0     1.1     1.2
     Domestic                                            0.9      0.6       0.6    0.7     0.6      0.8     1.4     0.9     0.8     1.0     1.1
     Foreign                                             0.2      0.2       0.2    0.2     0.2      0.2     0.3     0.2     0.1     0.1     0.1
   Transfers                                            11.6     12.4      11.9   14.4    13.8     15.6    16.1    14.9    14.2    13.8    13.4
     Transfers to economy 1/                             1.4      1.8       1.1    1.9     2.2      2.4     2.3     2.3     2.3     2.3     2.2
     Transfers to households                            10.2     10.6      10.8   12.5    11.7     13.2    13.8    12.7    12.0    11.6    11.2
   Other current expenditure                             2.1      2.0       2.4    2.3     2.2      3.2     1.7     1.4     1.5     1.6     1.7
 Capital expenditure                                     3.1      3.2       3.4    3.8     3.1      3.8     3.1     4.1     4.2     4.2     4.2
One-off revenue and expenditure items 2/                  0.0     0.0       0.0    0.0     0.0      0.0     0.0     0.0     0.0     0.0     0.0
Overall Balance (incl. one-off items)                    -0.7     -0.9     -1.5   -5.3    -2.6     -6.2    -6.0    -4.9    -4.0    -3.6    -3.3
Overall balance (excl. one-off items)                    -0.7     -0.9     -1.5   -5.3    -2.6     -6.2    -6.0    -4.9    -4.0    -3.6    -3.3
