V1
                                                                                                                                                   MALDIVES
""
""
""
"                              Table 2a. Maldives: Central Government Finances, 2016–25"
                                                 (In millions of Rufiyaa)
                                                              2016       2017      2018      2019      2020      2021     2022     2023     2024     2025
                                                              Actual     Actual    Actual    Prel.     Proj.
""
""
""
Total revenue and grants                                        18537     20259     22192     23980     16176     22861   26313    29458     31965    34525
  Revenue (excluding privatization receipts)                    18348     20042     21372     22787     14019     21474   25312    28688     31195    33755
    Tax revenue                                                 13219     14743     15803     16529     10432     15905   18673    21044     22986    24937
       Import duties                                             2487      2799      3122      3411      2096      2591    3019     3398      3814     4102
       Airport service charge                                     538       696       645       731       450       797     893      982      1061     1145
       Business profit tax (BPT)                                 2748      2677      2711      2899      1519      2610    3153     3598      4022     4496
       Remittance Tax                                              15       114       102       103       154       211     223      235       246      258
       Goods and services tax (GST)                              6249      6882      7686      7748      4778      7912    9393    10625     11453    12347
           Of which: General GST                                 2328      2683      2903      2845      1909      3016    3723     4223      4539     4879
                     Tourism GST                                 3921      4199      4783      4903      2869      4897    5670     6402      6915     7468
       Tourism tax ($6 green tax)                                 623       706       811       851       658       972    1089     1198      1294     1397
       Other                                                      560       868       728       786       776       810     903     1008      1096     1191
    Nontax revenue                                               5114      5265      5203      6259      3518      5547    6615     7618      8180     8786
    Grants                                                        188       217       820      1138      2157      1387    1002      771       771      771
""
Expenditure and net lending                                     24821     24820     26378     28208     25922     28803   31485    33712     35958    38305
  Current expenditure                                           15843     14956     18228     20634     19513     22348   24423    26129     27809    29544
""
    Of which: Salaries and allowances                            6962       6972     7677      8293      7388      9072    9847    10532     11208    11929
             Administrative Services                             1653       1597     1793      1843      1701      2269    2709     3027      3254     3498
             Social welfare contributions                        2160       1701     2417      3361      3069      2779    2950     3124      3373     3643
             Repairs and maintenance                              312        212      220       391       261       345     422      473       531      542
             Subsidies and transfers                             1608       1797     2645      2823      2760      3155    3350     3545      3737     3966
             Interest                                            1271       1097     1440      1535      1332      1723    1960     2134      2268     2375
             Other                                               1878       1580     2036      2389      3002      3006    3186     3292      3438     3591
  Capital expenditure                                            8614       9926     8254      7813      6634      6715    7345     7889      8478     9114
  Net lending                                                     364        -62     -104       -75      -306      -329    -353     -380      -408     -438
""
Overall balance                                                 -6284      -4561    -4186      -4229    -9746     -5942    -5172    -4254    -3993    -3779
"Overall balance, excluding grants                               -6473      -4778    -5006      -5421   -11903     -7329    -6173    -5025    -4763    -4550"
""
Financing                                                        6284       4561     4186       4229     9746      5942    5172     4254      3993     3779
  External                                                       1770       3042     3176       1307     2508      2910    2848     2231      1822     1101
  Domestic                                                       4515       1519     1011       2922     7238      3032    2324     2023      2171     2679
     of which: SDF contribution 1/                                  0       -337    -1315      -1315     1620      -700    1232     -400      -400     -300
             Financing gap                                          0          0        0                3518         0       0        0         0        0
Memorandum items:
 Current balance                                                 2505       5366     3144       2153    -5494      -874      888     2559     3386     4211
 Primary balance                                                -5014      -3464    -2746      -2693    -8413     -4219    -3212    -2120    -1725    -1405
 Current primary balance                                         3776       6462     4584       3688    -4162       848     2848     4693     5654     6586
""
""
Sources: Maldivian authorities; and IMF staff projections.
"1/ Transfers to the Sovereign Development Fund are recorded as negative domestic financing, and withdrawals as positive"
financing.
""
""
""
""
                                                                                                           INTERNATIONAL MONETARY FUND                      19
