V1
                                                                                                                                        MALTA
""
""
"                      Table 2. Malta: Fiscal Developments and Projections, 2016–2025"
"                                 (Percent of GDP, unless otherwise indicated)"
                                                                                                                 Projections
                                                            2016      2017      2018 2019 (est.)   2020   2021   2022    2023    2024    2025
Revenue                                                      37.5      39.3      38.5      38.7    38.1   37.6   37.3     37.1   37.0    36.9
  Taxes                                                      25.7      26.5      26.2      26.4    26.4   26.4   26.4     26.4   26.4    26.4
    Indirect taxes                                           12.2      12.4      12.7      12.7    12.7   12.7   12.7     12.7   12.7    12.7
    Direct taxes                                             13.4      13.9      13.3      13.5    13.5   13.5   13.5     13.5   13.5    13.6
    Other taxes (capital taxes)                               0.2       0.2       0.2       0.2     0.2    0.2    0.2      0.2    0.2     0.2
  Social contributions                                        6.2       6.2       6.2       6.2     6.2    6.2    6.2      6.2    6.2     6.2
  Grants and Capital revenue                                  0.5       0.7       1.0       1.8     1.4    1.2    1.2      0.9    0.9     0.9
  Other revenue                                               5.1       5.9       5.1       4.4     4.1    3.8    3.6      3.6    3.4     3.4
Expenditure                                                  36.5      35.9      36.6      37.5    37.0   36.8   36.5     36.2   36.2    36.2
  Expense                                                    34.1      33.6      33.7      33.6    33.5   33.2   33.0     32.9   32.9    32.9
    Compensation of Employees                                11.4      11.2      11.1      11.2    11.2   11.2   11.2     11.2   11.2    11.2
    Use of goods and services                                 6.1       6.4       6.6       6.9     6.9    6.9    6.9      6.9    6.9     6.9
    Interest                                                  2.1       1.8       1.5       1.3     1.2    1.2    1.2      1.2    1.2     1.2
    Subsidies                                                 1.3       1.2       1.4       1.3     1.4    1.3    1.3      1.2    1.2     1.2
    Social benefits                                          10.5      10.0       9.5       9.6     9.6    9.4    9.3      9.3    9.3     9.3
    Other expense                                             2.7       2.8       3.6       3.3     3.3    3.3    3.1      3.1    3.1     3.1
  Net acquisition of nonfinancial assets                      2.5       2.3       2.9       3.9     3.5    3.5    3.5      3.3    3.3     3.3
Gross Operating Balance                                       3.4       5.7       4.8       5.2     4.6    4.4    4.3      4.1    4.0     4.0
Net lending/borrowing (overall balance)                       0.9       3.4       1.9       1.3     1.1    0.8    0.8      0.9    0.8     0.8
Memorandum items:
  Overall balance excl. one-offs                               0.9       3.6       1.8       1.2    1.0    0.8    0.8    0.9    0.8    0.8
  Overall balance excl. IIP proceeds                          -0.7       1.3       0.4       0.2    0.1    0.0    0.1    0.4    0.4    0.4
  Cyclically adjusted overall balance                          0.5       3.3       1.3       1.0    1.0    0.8    0.8    0.9    0.8    0.8
  Structural balance 1/                                        0.5       3.5       1.2       0.9    0.9    0.8    0.8    0.9    0.8    0.8
  Structural balance excl. IIP proceeds 1/                    -1.1       1.3      -0.3      -0.2   -0.1    0.0    0.1    0.4    0.4    0.4
  Cyclically adjusted primary balance                          2.7       5.1       2.9       2.3    2.3    2.0    2.0    2.0    1.9    1.9
  Structural primary balance 1/                                2.7       5.3       2.8       2.2    2.2    2.0    2.0    2.0    1.9    1.9
  Structural primary balance excl. IIP proceeds 1/             1.0       3.1       1.2       1.1    1.2    1.2    1.2    1.6    1.6    1.6
  Primary balance                                              3.0       5.2       3.4       2.6    2.3    2.1    2.0    2.0    1.9    1.9
  One-offs                                                     0.0      -0.2       0.1       0.1    0.1    0.0    0.0    0.0    0.0    0.0
  Public debt                                                55.5      50.4      45.6      42.8   39.8   36.9   33.7   30.9   27.7   26.0
  Government guaranteed debt                                 13.5        9.5       8.7       8.2    7.6    7.1    6.8    6.5    6.1    5.8
"  Nominal GDP (millions of euros)                          10,339    11,284    12,366    13,208 14,068 14,900 15,741 16,619 17,507 18,438"
Sources: Maltese authorities; and IMF staff projections.
1/ As a percentage of Nominal Potential GDP.
""
""
""
""
                                                                                               INTERNATIONAL MONETARY FUND                 31
