V1
                                                                                                                           MALTA
""
""
""
"                   Table 2. Malta: Fiscal Developments and Projections, 2020–2028"
"                              (Percent of GDP, unless otherwise indicated)"
                                                                                    Projections
                                             2020      2021     2022      2023      2024      2025      2026      2027      2028
Revenue                                    36.4        36.3      35.7      35.7      34.9      34.8      34.8      34.8      34.8
  Taxes                                    23.6        24.3      24.3      24.5      24.0      24.0      24.0      24.0      24.0
    Indirect taxes                         10.6        10.5      10.8      10.9      10.7      10.7      10.7      10.7      10.7
    Direct taxes                           12.8        13.5      13.2      13.3      13.1      13.1      13.1      13.1      13.1
    Other taxes (capital taxes)              0.2        0.2       0.2       0.2       0.2       0.2       0.2       0.2       0.2
  Social contributions                       6.4        6.1       6.0       6.0       6.0       6.0       6.0       6.0       6.0
  Grants and capital revenue                 1.9        1.4       1.4       1.4       1.4       1.4       1.4       1.4       1.4
  Other revenue                              4.6        4.5       4.0       3.7       3.4       3.4       3.4       3.4       3.4
Expenditure                                46.0        44.2      41.1      40.7      38.8      37.6      37.0      37.0      36.9
  Expense                                  41.4        40.0      37.3      36.9      35.7      34.3      33.9      33.8      33.8
    Compensation of employees              12.0        11.8      11.2      11.0      10.9      10.9      10.9      10.8      10.8
    Use of goods and services                9.0        9.1       8.0       7.5       7.4       7.2       7.1       7.2       7.2
    Interest                                 1.3        1.1       1.1       1.2       1.3       1.3       1.3       1.3       1.3
    Subsidies                                5.1        4.6       4.6       4.7       4.0       3.1       2.9       2.8       2.7
    Social benefits                        10.2         9.3       9.0       8.9       9.0       8.9       8.8       8.8       8.9
    Other expense                            3.7        4.1       3.5       3.6       2.9       2.9       2.9       2.9       2.9
  Net acquisition of nonfinancial assets     4.6        4.1       3.8       3.8       3.2       3.3       3.1       3.1       3.1
Gross operating balance                     -5.0       -3.7      -1.6      -1.2      -0.8       0.5       0.9       1.0       1.0
Net lending/borrowing (overall balance)     -9.6       -7.8      -5.4      -5.0      -4.0      -2.8      -2.2      -2.2      -2.1
Memorandum items:
  Overall balance excl. one-offs            -9.6        -7.8      -5.4      -5.0      -4.0      -2.8      -2.2      -2.2      -2.1
  Structural balance 1/                     -6.3        -7.4      -6.1      -5.5      -4.3      -3.0      -2.3      -2.2      -2.1
  Cyclically adjusted primary balance       -5.1        -6.3      -5.0      -4.3      -2.9      -1.7      -1.1      -0.9      -0.8
  Structural primary balance 1/             -5.1        -6.3      -5.0      -4.3      -2.9      -1.7      -1.1      -0.9      -0.8
  Primary balance                           -8.3        -6.7      -4.3      -3.8      -2.6      -1.5      -0.9      -0.8      -0.8
  One-offs                                   0.1         0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
  Public debt                              53.0        55.2      56.6      58.5      59.6      59.3      58.8      58.5      57.9
  Government guaranteed debt                 8.9         8.0       7.7       6.5       5.6       4.0       3.8       3.6       3.4
"  Nominal GDP (millions of euros)        13,164      14,983    16,654    17,798    18,694    19,692    20,751    21,862    23,047"
Sources: Maltese authorities; Eurostat; and IMF staff projections.
1/ As a percentage of Nominal Potential GDP.
""
""
""
""
                                                                                    INTERNATIONAL MONETARY FUND                 33
