V1
MONGOLIA
""
""
""
"           Table 4b. Mongolia: Summary Operations of the General Government, 2018−24"
                                       (In percent of GDP)
                                                                              2018       2019       2020         2021       2022          2023    2024
                                                                                      Actual                                Projections
""
""
""
Total revenue and grants                                                       31.3       31.7       27.9         32.1       32.6         32.9     32.8
Current revenue                                                                31.1       31.5       27.5         31.7       32.3         32.6     32.4
    Tax revenue and social security contributions 1/                           28.1       28.4       25.4         28.8       29.0         29.3     29.2
       Income taxes                                                             6.4        6.8        6.1          7.9        7.0          7.3      7.3
         CIT                                                                    3.9        4.4        3.7          5.3        4.4          4.7      4.7
         PIT                                                                    2.5        2.4        2.3          2.6        2.6          2.6      2.6
       Social security contributions                                            5.0        5.4        4.2          4.7        5.4          5.4      5.2
       VAT                                                                      6.7        6.6        5.9          6.4        6.7          6.6      6.6
       Excise taxes                                                             2.3        2.3        2.1          2.1        2.1          2.1      2.1
       Customs duties and export taxes                                          2.1        2.1        2.0          2.4        2.5          2.4      2.4
       Other taxes                                                              5.6        5.4        5.2          5.3        5.4          5.6      5.6
   Non-tax revenue                                                              3.0        3.1        2.1          2.9        3.2          3.2      3.2
Capital revenue and grants                                                      0.1        0.2        0.4          0.4        0.4          0.4      0.4
""
Total expenditure and net lending 2/                                           28.6       30.8       37.1         37.5       35.8         35.3     35.6
  Current expenditure                                                          22.6       21.7       28.9         31.0       27.3         26.8     27.1
    Wages and salaries                                                          5.8        6.0        7.1          5.9        5.6          5.2      4.8
    Purchase of goods and services                                              4.4        4.6        5.9          5.4        5.6          6.0      6.4
    Subsidies                                                                   0.7        0.8        1.0          1.0        1.1          1.1      1.1
    Transfers                                                                   8.4        8.1       12.5         16.4       12.9         12.4     12.9
        o/w Pension                                                             5.0        4.9        5.8          5.9        5.9          6.4      6.9
        o/w Child Money                                                         0.6        0.6        2.8          3.4        3.4          3.4      3.4
    Interest payments                                                           3.2        2.3        2.5          2.3        2.1          2.1      1.9
  Capital expenditure and net lending                                           6.0        9.1        8.2          6.5        8.5          8.5      8.5
    Capital expenditure                                                         5.2        8.0        8.1          6.4        8.4          8.4      8.4
      Domestically-financed                                                     5.2        6.1        5.1          4.2        5.5          5.5      5.5
      Foreign-financed                                                          0.0        1.9        3.0          2.2        3.0          2.9      2.9
    Net lending                                                                 0.9        1.1        0.1          0.1        0.1          0.1      0.1
""
Overall balance (IMF definition)                                                2.7        0.9       -9.2         -5.4       -3.2         -2.4     -2.8
Primary balance (IMF definition)                                                5.9        3.2       -6.7         -3.1       -1.1         -0.3     -0.9
Financing 3/                                                                   -2.7       -0.9        9.2          5.4        3.2          2.4      2.8
 External                                                                       0.8        2.0        7.1          7.2        2.2          3.7      2.7
  Disbursement                                                                  3.9        3.1        9.0          9.9        4.3          8.1      7.7
  Amortization                                                                 -3.0       -1.2       -1.8         -2.7       -2.2         -4.4     -5.1
 Domestic (net)                                                                -3.5       -2.9        2.1         -1.8        1.0         -1.3      0.2
  Government bonds (net issuance)                                              -5.4       -0.4       -0.7          2.2        1.0         -1.3      0.2
  Other 4/                                                                      1.9       -2.4        2.8         -4.0        0.0          0.0      0.0
""
Memorandum items:
 Mineral revenue (in percent of GDP)                                            5.7        5.5        5.1          6.0        5.7        6.0        6.0
 Non-mineral revenue (in percent of GDP)                                       25.5       26.2       22.8         26.1       26.9       26.9       26.8
 Total expenditure (in percent of non-mineral GDP)                             38.5       37.6       45.3         45.7       43.7       43.0       43.4
 Non-mineral overall balance (in percent of non-mineral GDP)                    0.6       -5.6      -17.5        -13.9      -10.8      -10.2      -10.8
 Primary spending (change in percent)                                           5.2       30.6       20.0         13.8       10.4       11.5       14.0
 Future Heritage Fund (in percent of GDP)                                       0.3        1.7        3.8          5.8        5.4        5.0        4.7
 Fiscal Stability Fund (in percent of GDP) 5/                                   0.9        0.2        0.0          0.0        0.0        0.0        0.9
 Public debt (in percent of GDP) 6/                                            74.1       66.1       77.4         81.5       76.8       72.6       69.9
   Domestic debt (in percent of GDP)                                            5.3        3.4        3.4          5.2        5.5        3.5        3.3
   External debt (in percent of GDP)                                           68.8       73.9       73.9         76.3       71.3       69.1       66.5
""
Sources: Mongolian authorities; and Fund staff projections.
1/ Assumes temporary anti-pandemic measures allowed to expire at end-2021 in line with draft 2022 budget.
"2/ Based on draft 2022 budget which proposes gradually outsourcing around 25 percent of back office jobs, reflected as a decline in the wage bill with"
an equivalent increase in spending on services (per GFSM guidelines).
3/ A decision on the use of IMF 2021 SDR allocation is pending.
4/ Includes deposit buildup in government accounts (including FSF and FHF).
"5/ In line with draft 2022 budget proposals, FHF balances are assumed to stay constant in nominal terms after 2021."
"6/ Excludes BOM liabilities to PBOC amounting to 14 percent of GDP at end-2020, which was rolled over in 2020 and matures in 2023."
""
""
""
""
48    INTERNATIONAL MONETARY FUND
