V1
                                                                                                                 ISLAMIC REPUBLIC OF MAURITANIA
""
""
""
"       Table 6. Mauritania: Central Government Financing Needs and Sources, 2020-27   "
                                        (In billions MRU)
""
                                                                            2020         2021        2022       2023       2024           2025       2026       2027
                                                                             Est.         Est.                                    Proj.
""
Gross financing needs (A)                                                       6.1         8.2        20.8       27.5       26.0           22.5       19.1       13.4
" Primary balance, excl. grants and before DSSI                                  3.6         3.0        -7.6      -12.9      -10.1           -6.7       -3.6        2.2"
 External public debt amortization                                             -6.8        -8.4        -8.4       -9.3      -10.1          -10.7      -10.0       -9.9
 Interest payments                                                             -2.9        -2.8        -3.3       -3.2       -3.5           -4.0       -4.4       -4.9
     External                                                                  -2.2        -2.1        -2.8       -2.6       -2.9           -3.2       -3.4       -3.6
    Domestic                                                                   -0.7        -0.7        -0.6       -0.6       -0.6           -0.8       -0.9       -1.3
 Rescheduled debt service under Debt Service Suspension Initiative (DSSI)        …           …         -1.5       -2.2       -2.3           -1.1       -1.1       -0.8
""
Financing sources                                                               6.4         8.2        17.9       23.2       21.4           20.3       16.9       11.9
Domestic                                                                     -12.7         -5.6         9.9       14.1       11.8            8.1        5.7        2.4
 Drawdown of treasury account                                                 -19.9       -15.6         9.9       13.3        9.1            6.0        0.0        0.0
 Borrowing (net) 2/                                                            10.1        -1.7         0.0        0.7        2.7            2.1        5.7        2.4
 Other (incl. arrears variation)                                               -2.9         5.3         0.0        0.0        0.0            0.0        0.0        0.0
 SDR allocation                                                                  …          6.4          …          …          …              …          …          …
""
External                                                                      19.1         13.8         8.0        9.1        9.7           12.2       11.1       10.6
 Official grants                                                                6.2         7.6         5.6        5.5        5.5            5.5        5.3        4.5
   Project grants                                                               2.6         2.6         5.0        5.0        5.0            5.0        4.7        4.1
   Budget support grants                                                        3.6         5.0         0.6        0.6        0.6            0.6        0.5        0.5
 External borrowing (gross)                                                     2.8         2.6         4.5        6.0        6.7            8.4        7.7        8.0
   Project loans                                                                2.7         2.6         3.4        4.8        5.4            7.1        6.4        6.7
  Budget support loans                                                          0.2         0.0         1.1        1.2        1.2            1.3        1.3        1.4
 DSSI                                                                           3.5         4.1        -1.5       -2.2       -2.3           -1.1       -1.1       -0.8
 Drawdown of oil account                                                        0.2        -1.4        -0.6       -0.2       -0.2           -0.5       -0.7       -2.2
 IMF financing                                                                  6.6         0.9         0.0        0.0        0.0            0.0        0.0        0.0
   ECF 2017-21 and 2020 RCF                                                     6.6         0.9             …          …          …              …          …          …
   New arrangement (prospective)                                                    ……           …          …      0.0        0.0            0.0        0.0        0.0
Errors and omissions                                                           -0.2           ...         ...        ...        ...            ...        ...        ...
Residual financing gap                                                            ...       0.0         0.0        0.0        0.0            0.0        0.0        0.0
""
   Treasury account balance                                                   27.5         40.3        30.4       17.1         8.0            2.0        2.0        2.0
"   Gross international reserves (US$ million)                                1,542        2,347       1,501      1,568      1,635          1,755      1,822      1,832"
""
""
""
Sources: Mauritanian authorities; and IMF staff.
"1/ Sign convention: positive is financing source, negative is financing need."
"2/ In 2020, including on-lending to the budget of the Saudi deposit."
""
""
""
""
                                                                                                        INTERNATIONAL MONETARY FUND                                    45
