V1
                                                                                                                                                                                 MALAWI
""
""
""
"                                         Table 2b. Central Government Operations, 2016/17–22/23"
                                                              (Percent of GDP)
                                                                                                   2016/17        2017/18           2018/19   2019/20   2020/21        2021/22    2022/23
                                                                                                              Approved
                                                                                                       Est.                 Proj.                       Proj.
                                                                                                                Budget
""
Revenue                                                                                                23.6       23.9       22.4      22.6      22.1           22.4      22.5       22.5
     Tax and nontax revenue                                                                            20.1       20.8       19.5      19.5      19.5           19.5      19.6       19.6
         Tax Revenue                                                                                   17.9       18.9       17.6      17.6      17.6           17.7      17.7       17.8
          Taxes on income and profits                                                                   9.2       10.0        8.9       8.9       8.9            9.0       9.0        9.0
          Taxes on goods and services                                                                   7.4        7.6        7.4       7.5       7.5            7.5       7.5        7.6
          Taxes on international trade                                                                  1.7        1.7        1.6       1.6       1.6            1.6       1.6        1.6
          Other taxes                                                                                  -0.3       -0.4       -0.3      -0.4      -0.4           -0.4      -0.4       -0.4
                          1
         Nontax revenue                                                                                 2.2        1.9        1.9       1.8       1.8            1.8       1.8        1.8
     Grants                                                                                             3.5        3.1        2.8       3.1       2.7            2.9       2.9        2.9
         Budget support grants                                                                          0.3        1.2        0.0       1.1       0.0            0.0       0.0        0.0
         Project grants                                                                                 1.8        1.2        1.8       0.9       1.6            1.8       1.8        1.8
         Dedicated grants                                                                               1.5        0.7        1.0       1.1       1.1            1.1       1.1        1.1
""
Expenditure and net lending                                                                            28.7       28.0       29.7      26.0      24.7           24.8      24.6       24.3
     Current expenditure                                                                               22.1       20.5       23.0      20.2      18.9           18.6      18.4       18.1
         Wages and salaries                                                                             6.3        6.5        6.6       7.0       7.0            7.0       7.0        7.0
         Interest payments                                                                              4.4        3.7        4.0       3.5       2.8            2.5       2.3        2.0
            Domestic                                                                                    4.1        3.4        3.7       3.2       2.5            2.2       2.0        1.7
            Foreign                                                                                     0.3        0.3        0.3       0.3       0.3            0.3       0.3        0.3
         Goods and services                                                                             6.0        6.1        6.1       5.6       5.1            5.2       5.3        5.3
            Generic goods and services                                                                  2.3        2.7        2.7       2.4       2.4            2.4       2.4        2.4
            Road maintenance and storage levy expenses                                                  0.6        0.4        0.4       0.4       0.4            0.4       0.4        0.4
            Agricultural sector                                                                         0.1        0.1        0.1       0.1       0.1            0.1       0.2        0.2
            Health sector                                                                               0.9        0.8        0.8       0.8       0.9            1.0       1.0        1.1
            Education sector                                                                            0.6        0.5        0.5       0.5       0.6            0.6       0.7        0.7
            National / local elections                                                                  0.0        0.2        0.2       0.6       0.1            0.0       0.0        0.0
            PFEM                                                                                        0.0        0.1        0.1       0.0       0.0            0.0       0.0        0.0
            Statutory expenditures                                                                      0.1        0.0        0.0       0.0       0.1            0.1       0.1        0.1
            National AIDS Commission                                                                    0.2        0.2        0.2       0.0       0.0            0.0       0.0        0.0
            Maize purchases and winter cropping programs                                                0.7        0.7        0.5       0.2       0.2            0.2       0.2        0.2
            Rural electrification                                                                       0.5        0.3        0.4       0.3       0.3            0.3       0.3        0.3
         Subsidies and other current transfers                                                          3.8        4.1        5.0       4.0       3.9            3.9       3.8        3.7
            Pension and gratuities                                                                      1.2        1.4        1.4       1.5       1.5            1.5       1.5        1.5
            Transfers to road and revenue authorities                                                   0.6        0.6        0.5       0.5       0.5            0.5       0.5        0.5
            Transfers to public entities                                                                1.3        1.4        2.3       1.3       1.3            1.3       1.3        1.3
            Fertilizer and seed subsidy                                                                 0.7        0.7        0.7       0.6       0.6            0.5       0.4        0.3
              Of which : seed subsidy                                                                   0.0        0.1        0.1       0.1       0.1            0.1       0.1        0.1
         Arrears payments 1                                                                             1.5        0.1        1.3       0.1       0.1            0.1       0.1        0.1
         of which : Issuance of zero interest promissory notes for securitizing domestic arrears        1.4        0.0        1.2       0.0       0.0            0.0       0.0        0.0
     Development expenditure                                                                            6.5        7.4        6.6       5.7       5.8            6.1       6.1        6.2
         Foreign financed                                                                               5.9        4.6        4.8       4.1       3.8            4.0       4.1        4.1
         Domestically financed                                                                          0.7        2.8        1.9       1.7       2.0            2.1       2.1        2.2
     Net lending                                                                                        0.1        0.1        0.1       0.1       0.1            0.1       0.0        0.0
Overall balance (including grants)                                                                     -5.1       -4.1       -7.3      -3.4      -2.6           -2.3      -2.0       -1.8
""
Discrepancy                                                                                             0.0        0.0        0.3       0.0       0.0            0.0       0.0        0.0
Overall balance (including grants and discrepancy)                                                     -5.1       -4.1       -7.0      -3.4      -2.6           -2.3      -2.0       -1.8
Overall balance2                                                                                       -3.6       -4.1       -5.8      -3.4      -2.6           -2.3      -2.0       -1.8
Total financing (net)                                                                                   5.1        4.1        7.0       3.4       2.6            2.3       2.0        1.8
    Foreign financing (net)                                                                             2.5        3.5        3.2       1.3       1.9            2.0       2.0        1.9
         Borrowing                                                                                      3.1        4.1        3.8       2.0       2.6            2.7       2.7        2.7
            Budget support loans                                                                        0.0        1.3        1.3       0.0       0.0            0.0       0.0        0.0
            Project loans                                                                               2.5        2.6        2.1       2.0       2.1            2.2       2.3        2.3
            Other external loans 3                                                                      0.5        0.2        0.4       0.0       0.5            0.4       0.4        0.4
         Amortization                                                                                  -0.6       -0.6       -0.6      -0.7      -0.7           -0.7      -0.7       -0.7
    Sale of non-financial assets (privatization proceeds)                                               0.3        0.0        0.0       0.0       0.0            0.0       0.0        0.0
    Net issuance of promissory notes for securitizing domestic arrears                                 -0.4        0.0       -0.9      -1.0       0.0            0.0       0.0        0.0
    Net domestic financing (NDF)                                                                        2.7        0.6        4.7       3.1       0.7            0.4       0.1       -0.1
         of which: RBM financing of central government                                                  4.1                   1.7       0.0       0.0            0.0       0.0        0.0
    Financing gap                                                                                       0.0        0.0        0.0       0.0       0.0            0.0       0.0        0.0
Memorandum items:
    Primary balance (including grants and discrepancy)                                                 -0.6       -0.4       -3.0       0.1       0.2            0.2       0.2        0.2
    Primary balance (excluding issuance of promissory notes for securitization of arrears)              0.8       -0.4       -1.8       0.1       0.2            0.2       0.2        0.2
    Domestic fiscal balance4                                                                           -2.6       -2.5       -5.3      -2.4      -1.4           -1.2      -0.9       -0.6
    Maturing promissory notes for domestic arrears                                                      1.8        0.0        2.2       1.0       0.0            0.0       0.0        0.0
    NDF adjusted for payment of arrears                                                                 0.9        0.6        2.6       2.1       0.7            0.4       0.1       -0.1
"    Nominal GDP (fiscal year)                                                                         4,183      4,764      4,764     5,339     5,953      6,620         7,343      8,154"
""
Sources: Malawi Ministry of Finance and IMF staff projections.
1
    This includes promissory notes issued for the repayment of domestic arrears accumulated before FY2014/15.
2
    Excludes issuance of promissory notes for securitization of arrears.
3
    Other external loans include program loans other than budgetary support.
4
    Domestic fiscal balance is calculated by subtracting current and domestically-financed development expenditures from domestic revenues.
""
""
""
""
