V1
ISLAMIC REPUBLIC OF MAURITANIA
""
""
""
"                          Table 3b. Mauritania: Central Government Operations, 2014–23"
"                            (In percent of non-extractive GDP, unless otherwise indicated)"
""
                                                        2014     2015   2016            2017                 2018           2019   2020   2021    2022   2023
                                                                                  CR 17/369    Est.     CR 17/369   Proj.                 Proj.
""
     Revenues and grants                                 29.4    32.6     31.7          31.2     31.7        31.0   32.7    32.0   32.2    32.9   33.3   33.7
      Revenues                                           29.2    30.6     29.6          30.4     30.6        30.1   31.7    30.8   31.2    32.2   32.6   33.0
        Nonextractive revenue                            21.3    26.8     27.9          27.5     27.8        27.3   27.3    28.9   28.9    29.5   29.9   30.2
          Tax revenue                                    16.1    16.8     18.7          19.0     19.6        19.2   19.8    20.3   20.8    21.1   21.4   21.6
         Nontax revenue                                   5.2     9.9      9.1           8.4      8.2         8.1     7.6    8.6    8.0     8.4    8.5    8.6
       Extractive revenue                                 8.0     3.8      1.7           3.0      2.8         2.8     4.4    1.9    2.3     2.7    2.7    2.8
          Net revenue from oil                            0.4     0.9      0.7           1.3      1.2         0.9     2.5    0.2    0.1     0.1    0.1    0.1
          Mining revenue                                  7.5     2.8      1.0           1.7      1.6         1.9     1.9    1.7    2.2     2.5    2.6    2.7
      Grants                                              0.2     2.0      2.2           0.8      1.1         0.9     1.0    1.2    1.0     0.7    0.7    0.7
       Of which: Projects                                 0.1     0.6      0.4           0.3      0.4         0.2     0.2    0.2    0.2     0.2    0.2    0.2
     Expenditure and net lending                         34.7    36.3     32.3          31.3     31.8        31.2   32.1    31.8   31.8    32.3   32.6   33.1
       Current expenditure                               20.8    20.6     19.0          18.5     19.3        18.2   18.9    18.8   18.9    18.8   19.0   19.3
        Compensation of employees                         8.0     8.4      8.5           8.3      8.3         8.5    8.8     8.7    8.8     8.8    8.9    9.1
        Goods and services                                4.7     4.4      4.0           4.2      4.1         3.9    4.0     4.0    3.9     3.9    3.9    4.0
        Subsidies and transfers 1/                        5.3     4.8      3.8           3.6      3.5         3.5    3.5     3.5    3.6     3.6    3.7    3.8
          Of which: Emergency program                     1.3     1.5      1.1           1.0      1.0         1.3    1.3     1.4    1.4     1.4    1.4    1.4
                      Energy subsidies                    1.0     0.5      0.1           0.2      0.2         0.0    0.0     0.0    0.0     0.0    0.0    0.0
                      Arrears repayments                  0.3     0.3      0.2           0.2      0.2         0.0    0.0     0.0    0.0     0.0    0.0    0.0
        Interest                                          1.1     1.3      1.2           1.1      1.4         1.5    1.5     1.7    1.7     1.6    1.5    1.4
          External                                        0.9     0.9      0.9           0.9      1.1         1.1    1.1     1.1    1.2     1.1    1.1    1.1
          Domestic                                        0.3     0.4      0.3           0.3      0.3         0.4    0.4     0.6    0.5     0.4    0.4    0.3
        Special accounts                                  0.7     0.2      0.6           0.4      0.8         0.1    0.4     0.1    0.1     0.1    0.1    0.1
        Common reserves                                   0.8     0.8      0.8           0.8      0.7         0.7    0.7     0.7    0.8     0.9    0.9    1.0
        Others                                            0.2     0.6      0.1           0.0      0.4         0.0    0.0     0.0    0.0     0.0    0.0    0.0
       Capital expenditure                               13.9    15.6     13.3          12.7     12.4        12.7   13.0    13.0   12.9    13.5   13.6   13.8
        Foreign-financed investment                       4.2     5.5      3.1           3.4      2.4         4.4    4.5     4.4    4.3     4.0    4.0    3.7
        Domestically financed investment                  9.7    10.0     10.3           9.3      9.9         8.4    8.6     8.6    8.6     9.5    9.6   10.0
       Restructuring and net lending                      0.0     0.2      0.0           0.2      0.1         0.3    0.3     0.0    0.0     0.0    0.0    0.0
""
     Primary balance (excl. grants)                       -4.3   -4.5     -1.5           0.2      0.3         0.3     1.1    0.7    1.1     1.5    1.5    1.3
"     Primary balance (excl. grants, prog. def.) 2/          …      …        …             …        …           …      0.3     …      …       …      …      …"
     Primary balance                                      -4.2   -2.5      0.6           1.0      1.4         1.3     2.1    1.9    2.1     2.2    2.2    2.0
     Overal balance (excl. grants)                        -5.5   -5.8     -2.7          -0.9     -1.2        -1.2    -0.4   -1.0   -0.6    -0.1    0.0   -0.1
     Overall balance                                      -5.3   -3.8     -0.6          -0.1      0.0        -0.2     0.5    0.2    0.5     0.6    0.7    0.6
""
     Financing                                             5.3    3.8      0.6           0.1      0.0         0.2    -0.5   -0.2   -0.5    -0.6   -0.7   -0.6
       Domestic financing                                  0.8   -0.1     -1.6           0.3      1.4         0.2     0.0   -0.3   -0.4    -0.6   -1.1   -1.0
         Banking system                                    3.6    0.9     -1.1          -0.5      1.6         0.2    -0.5   -0.3   -0.3    -0.3   -0.9   -0.8
          Treasury account                                 3.6    2.6     -0.7          -0.5      2.1         0.2    -0.3    0.0    0.0    -0.1   -0.7   -0.6
          Commercial banks                                 0.1   -1.7     -0.4           0.0     -0.5         0.0    -0.2   -0.3   -0.3    -0.2   -0.2   -0.2
         Nonbanks                                          0.4    0.6     -0.5           0.8      0.8         0.0     0.5    0.0   -0.1    -0.2   -0.2   -0.2
         Domestic arrears                                 -0.6   -0.1      0.0           0.0      0.1         0.0     0.0    0.0    0.0     0.0    0.0    0.0
         Other deposits accounts                          -2.3    0.5      0.0           0.0     -0.4         0.0     0.0    0.0    0.0     0.0    0.0    0.0
       External financing                                  4.9    4.0      2.6          -0.2     -1.4         0.0    -0.5    0.1   -0.1    -0.1    0.4    0.4
         Oil account (net)                                 1.4    0.3      0.6          -0.1     -0.1        -0.2    -0.7    0.0    0.0     0.0    0.0    0.0
          Net revenue from oil (net)                      -0.4   -0.9     -0.7          -1.3     -1.2        -0.9    -2.5   -0.2   -0.1    -0.1   -0.1   -0.1
