V1
                                                                                                                            ISLAMIC REPUBLIC OF MAURITANIA
""
""
""
"                         Table 3a. Mauritania: Central Government Operations, 2014–23"
"                                   (In billions of MRO, unless otherwise indicated)"
""
                                                     2014     2015    2016             2017                       2018                2019    2020     2021   2022    2023
                                                                               CR 17/369      Est.         CR 17/369     Proj                         Proj.
Revenues and grants                                 406.0    460.2    461.3        491.0       493.3           526.3       542.0      573.6   629.1   699.4   770.8   844.0
 Revenues                                           403.8    431.9    430.0        478.2       476.2           510.5       526.1      552.7   608.7   684.2   754.2   827.2
   Nonextractive revenue                            293.9    378.5    404.9        431.8       432.7           462.8       453.2      518.6   562.9   627.3   692.1   756.4
    Tax revenue                                     222.7    238.0    272.1        299.1       304.7           325.7       327.7      364.1   405.9   448.9   495.7   540.2
    Nontax revenue                                   71.2    140.5    132.9        132.7       128.0           137.1       125.5      154.5   157.0   178.4   196.4   216.1
  Extractive revenue                                109.9     53.4     25.0         46.4        43.4            47.7        72.9       34.1    45.8    56.9    62.2    70.8
     Net revenue from oil                             6.1     13.2     10.9         20.0        18.9            15.0        41.2        2.8     2.8     2.9     2.9     3.0
     Mining revenue                                 103.8     40.2     14.1         26.4        24.6            32.7        31.7       31.3    43.0    54.1    59.2    67.8
 Grants                                               2.2     28.3     31.3         12.8        17.1            15.9        15.9       20.9    20.3    15.2    16.5    16.8
  Of which: Projects                                  1.6      7.8      6.3          4.4         6.2             3.4         3.4        3.7     4.1     4.1     4.1     4.1
""
""
Expenditure and net lending                         479.1    513.7    469.8        493.0       494.1           530.1       533.0      570.7   619.8   685.8   754.2   828.5
  Current expenditure                               287.6    290.9    276.4        290.6       300.4           309.6       312.6      337.6   367.8   399.0   439.3   483.8
   Compensation of employees                        110.4    119.4    123.1        131.0       129.8           145.1       145.1      156.7   171.2   187.1   206.4   227.6
   Goods and services                                64.7     62.4     58.7         66.3        64.1            66.0        66.0       71.5    75.8    81.8    90.4    99.1
   Subsidies and transfers 1/                        72.5     67.8     55.8         56.1        55.0            58.6        58.1       63.1    69.5    76.2    84.6    94.8
     Of which: Emergency program                     18.0     21.0     16.0         16.0        16.0            22.1        21.9       24.5    27.5    29.9    31.9    34.1
                 Energy subsidies                    14.0      6.9      1.9          3.5         3.5             0.0         0.0        0.0     0.0     0.0     0.0     0.0
                 Arrears repayments                   3.6      3.6      3.6          3.6         3.6             0.0         0.0        0.0     0.0     0.0     0.0     0.0
   Interest                                          15.8     17.8     17.4         18.0        22.3            25.2        25.2       30.4    32.3    33.0    33.8    35.0
     External                                        11.9     12.7     13.4         14.0        17.6            17.9        18.0       20.2    22.7    24.2    25.6    27.5
     Domestic                                         3.9      5.1      4.0          4.0         4.6             7.2         7.2       10.2     9.6     8.8     8.2     7.6
   Special accounts                                  10.3      3.2      9.3          7.0        12.2             2.5         6.0        2.5     2.5     2.5     2.5     2.5
   Common reserves                                   11.3     11.9     11.4         12.2        11.3            12.2        12.2       13.3    16.5    18.4    21.5    24.8
   Others                                             2.6      8.5      0.8          0.0         5.8             0.0         0.0        0.0     0.0     0.0     0.0     0.0
  Capital expenditure                               191.5    219.9    193.7        199.4       192.1           215.9       215.9      233.2   252.0   286.8   314.8   344.7
   Foreign-financed investment                       57.9     78.2     44.6         52.7        37.8            74.1        74.1       78.4    84.2    84.2    93.3    93.3
   Domestically financed investment                 133.6    141.7    149.1        146.7       154.3           141.8       141.8      154.8   167.8   202.5   221.6   251.4
  Restructuring and net lending                       0.0      2.9     -0.4          3.0         1.6             4.5         4.5        0.0     0.0     0.0     0.0     0.0
""
Primary balance (excl. grants)                       -59.5    -64.0    -22.4         3.2         4.4              5.6       18.3       12.4    21.3    31.5    33.9    33.7
"Primary balance (excl. grants, prog. def.) 2/           …        …        …           …           …                …         5.7         …       …       …       …       …"
Primary balance                                      -57.3    -35.7      8.9        16.0        21.5             21.4       34.2       33.2    41.6    46.6    50.4    50.5
Overal balance (excl. grants)                        -75.3    -81.8    -39.8       -14.8       -17.9            -19.6       -6.9      -18.0   -11.1    -1.6     0.1    -1.3
Overall balance                                      -73.2    -53.5     -8.5        -2.0        -0.8             -3.7        9.1        2.9     9.3    13.6    16.6    15.5
""
Financing                                             73.2     53.5      8.5         2.0         0.8              3.7       -9.1       -2.9    -9.3   -13.6   -16.6   -15.5
  Domestic financing                                  11.0     -1.2    -23.8         4.4        21.9              3.5       -0.8       -4.8    -7.8   -12.2   -26.3   -24.3
    Banking system                                    50.0     12.2    -16.0        -7.6        25.4              3.5       -8.8       -4.8    -5.8    -7.2   -21.3   -19.3
     Treasury account                                 49.2     36.9    -10.1        -7.6        33.4              3.5       -4.8        0.0    -0.8    -2.2   -16.3   -14.3
     Commercial banks                                  0.9    -24.7     -5.9         0.0        -8.1              0.0       -4.0       -4.8    -5.0    -5.0    -5.0    -5.0
    Nonbanks                                           5.3      8.9     -7.1        12.0        12.8              0.0        8.0        0.0    -2.0    -5.0    -5.0    -5.0
    Domestic arrears                                  -8.8     -1.3      0.0         0.0         1.8              0.0        0.0        0.0     0.0     0.0     0.0     0.0
    Other deposits accounts                          -31.4      7.5     -0.7         0.0        -6.5              0.0        0.0        0.0     0.0     0.0     0.0     0.0
  External financing                                  68.2     57.2     38.1        -2.4       -21.9              0.2       -8.3        1.9    -1.5    -1.4     9.7     8.8
    Oil account (net)                                 18.9      4.8      8.5        -2.0        -1.3             -3.4      -11.2        0.0     0.0     0.0     0.0     0.0
     Net revenue from oil (net)                       -6.1    -13.2    -10.9       -20.0       -18.9            -15.0      -41.2       -2.8    -2.8    -2.9    -2.9    -3.0
     Oil account contribution to the budget           25.0     18.0     19.4        18.0        17.6             11.6       30.0        2.8     2.8     2.9     2.9     3.0
    Other (net)                                       49.3     52.3     29.6        -0.4       -20.6              3.6        2.9        1.9    -1.5    -1.4     9.7     8.8
     Net borrowing (net)                              46.1     48.4     27.7        -0.4       -16.9              3.6        2.9        1.9    -1.5    -1.4     9.7     8.8
