V1
         ISLAMIC REPUBLIC OF MAURITANIA
""
""
""
"                                          Table 3a. Mauritania: Central Government Operations, 2015–24"
"                                                    (In billions of MRO, unless otherwise indicated)"
                                                2015    2016       2017             2018                   2019             2020     2021     2022      2023     2024
                                                                             CR/18/365     Est.     CR/18/365     Prog.                       Proj.
""
Revenues and grants                             460.2     461.3      493.3      538.9       568.4      585.1       563.5     632.5    688.7    779.2     869.5    954.7
  Revenues                                      431.9     430.0      476.2      524.8       556.2      564.1       548.7     613.6    674.2    763.4     853.4    938.4
   Nonextractive                                378.8     405.0      432.7      470.3       477.3      502.2       507.5     561.3    619.7    690.1     766.9    852.3
     Tax                                        238.2     272.1      304.7      337.0       352.0      368.3       377.3     419.7    463.7    517.6     580.4    651.4
     Nontax                                     140.6     132.9      128.0      133.3       125.2      133.8       130.1     141.7    156.0    172.5     186.4    200.9
   Extractive                                    53.2      25.0       43.4       54.5        78.9       62.0        41.3      52.2     54.5     73.3      86.6     86.1
      Oil and gas                                13.2      10.9       18.9       31.6        62.6       28.8        18.7      26.6     27.3     40.3      51.0     50.5
        of which gas                               …         …          …          …           …          …          0.0       6.8      6.2     18.0      27.5     25.8
      Mining                                     40.0      14.1       24.6       22.9        16.3       33.2        22.6      25.6     27.2     33.1      35.5     35.6
  Grants                                         28.3      31.3       17.1       14.1        12.2       20.9        14.8      19.0     14.6     15.8      16.1     16.3
   Of which: Projects                             7.8       6.3        6.2        9.4        10.2        5.3         3.7       4.1      4.1      4.1       4.1      4.1
Expenditure and net lending                     513.7     469.8      494.1      535.2       506.3      580.1       564.3     622.1    683.1    770.7     859.0    941.9
  Current                                       290.9     276.4      303.6      312.2       323.5      345.4       334.5     363.8    397.1    439.7     483.3    530.9
   Compensation of employees                    119.4     123.1      129.8      145.1       140.2      161.1       159.0     177.9    197.6    219.3     244.4    272.9
   Goods and services                            62.4      58.7       64.1       66.0        63.8       72.2        68.9      76.7     85.1     97.1     108.2    119.9
   Subsidies and transfers 1/                    67.8      55.8       55.0       61.0        60.1       63.8        59.1      60.0     62.3     66.2      69.7     73.3
     Of which: Emergency program                 21.0      16.0       16.0       21.5        21.5       23.0        19.9      20.8     21.8     22.7      23.7     24.7
                Energy subsidies                  6.9       1.9        3.5        7.5         7.5        7.8         7.9       8.0      8.4      8.9       9.4      9.8
                Arrears repayments                3.6       3.6        3.6        0.0         0.0        0.0         0.0       0.0      0.0      0.0       0.0      0.0
   Interest                                      17.8      17.4       22.3       23.9        30.6       25.1        32.6      31.6     33.0     34.3      35.5     37.0
     External                                    12.7      13.4       17.6       16.7        26.2       17.5        22.3      22.4     23.8     24.8      25.8     26.9
     Domestic                                     5.1       4.0        4.6        7.2         4.4        7.6        10.3       9.1      9.2      9.5       9.7     10.1
   Special accounts                               3.2       9.3       15.4        4.0        11.3       10.0         2.0       2.0      2.0      2.0       2.0      2.0
   Common reserves                               11.9      11.4       11.3       12.2        11.7       13.3        12.9      15.6     17.1     20.8      23.5     25.8
   Others                                         8.5       0.8        5.8        0.0         5.9        0.0         0.0       0.0      0.0      0.0       0.0      0.0
  Capital                                       219.9     193.7      188.9      216.0       180.8      234.7       222.1     251.3    279.0    324.0     368.7    404.0
   Foreign-financed                              78.2      44.6       37.8       62.8        28.1       78.4        72.1      81.1     84.5     88.4      86.8     85.2
   Domestically financed                        141.7     149.1      151.1      153.3       152.7      156.3       150.0     170.2    194.5    235.6     281.9    318.8
  Net lending                                     2.9      -0.4        1.6        7.0         2.0        0.0         7.7       7.0      7.0      7.0       7.0      7.0
Primary balance (excl. grants)                  -64.0     -22.4        4.4       13.5        80.4        9.1        17.0      23.0     24.1     27.0      29.8     33.5
"Primary balance (excl. grants, prog. def.) 2/      …         …          …        10.1        64.8        9.1        17.0      23.0       …        …         …        …"
Primary balance                                 -35.7       8.9       21.5       27.6        92.6       30.0        31.8      42.0     38.6     42.8      45.9     49.9
Overal balance (excl. grants)                   -81.8     -39.8      -17.9      -10.4        49.8      -15.9       -15.6      -8.6     -8.9     -7.3      -5.6     -3.5
Overall balance                                 -53.5      -8.5       -0.7        3.7        62.0        5.0        -0.8      10.4      5.7      8.5      10.5     12.8
Financing                                        53.5       8.5        0.7       -3.7       -62.0       -5.0         0.8     -10.4     -5.7     -8.5     -10.5    -12.8
  Domestic                                       -1.2     -23.8       21.9       12.6        16.5      -10.5       -10.0      -9.8      1.8     -0.8       4.9      4.1
   Banking system                                12.2     -16.0       25.4        4.5        10.3       -6.8        -8.3      -8.4      0.9     -0.4       2.5      2.0
     Treasury account                            36.9     -10.1       33.4        4.5         6.4       -6.8        -6.5      -7.0      0.0      0.0       0.0      0.0
     Commercial banks                           -24.7      -5.9       -8.1        0.0         3.9        0.0        -1.8      -1.4      0.9     -0.4       2.5      2.0
