V1
                                                                                                          ISLAMIC REPUBLIC OF MAURITANIA
""
""
""
"                 Table 3b. Mauritania: Central Government Operations, 2016–25"
"                   (in percent of non-extractive GDP, unless otherwise indicated)"
                                                         2016     2017       2018           2019                 2020          2021    2022    2023     2024    2025
                                                                                     4th Rev. 4/ Est.     4th Rev. 4/ Proj.                    Proj.
Revenues and grants                                        23.1    22.8       25.0        23.3    24.3          22.2    21.6    22.7    23.3     23.9    24.4    24.6
 Revenues                                                  21.5    22.0       24.5        22.1    22.4          21.5    21.1    22.3    22.9     23.5    24.0    24.3
   Nonextractive                                           20.2    20.0       21.0        20.6    20.5          19.9    19.4    20.6    21.0     21.2    21.3    21.7
    Tax                                                    13.6    14.1       15.5        15.4    14.9          15.4    13.8    15.5    15.7     15.8    15.9    16.0
    Nontax                                                  6.6     5.9        5.5         5.3     5.5           4.4     5.7     5.2     5.3      5.4     5.5     5.8
   Extractive                                               1.3     2.0        3.5         1.5     1.9           1.6     1.6     1.6     1.9      2.4     2.7     2.5
      Oil and gas                                           0.5     0.9        2.8         0.8     0.8           0.4     0.4     0.4     0.6      1.1     1.4     1.3
        of which gas                                         …       …          …          0.0     0.0           0.0     0.0     0.0     0.2      0.7     1.0     0.9
      Mining                                                0.7     1.1        0.7         0.7     1.2           1.3     1.2     1.2     1.2      1.3     1.2     1.2
 Grants                                                     1.6     0.8        0.5         1.2     1.9           0.7     0.6     0.4     0.4      0.4     0.4     0.3
   Of which: Projects                                       0.3     0.3        0.4         0.2     0.8           0.2     0.0     0.0     0.0      0.0     0.0     0.0
""
Expenditure and net lending                                23.5    22.9       22.3        21.4    21.8          21.9    25.6    23.5    23.4     24.0    24.5    24.7
 Current                                                   13.8    14.0       14.3        13.8    13.7          14.0    17.9    15.0    14.8     14.8    14.9    14.8
   Compensation of employees                                6.2     6.0        6.2         6.5     6.5           6.4     6.9     6.9     6.9      6.9     6.9     6.9
   Goods and services                                       2.9     3.0        2.8         2.9     2.8           3.1     3.1     3.4     3.3      3.2     3.2     3.1
   Subsidies and transfers 1/                               2.8     2.5        2.6         2.5     2.0           2.4     5.6     2.5     2.5      2.6     2.7     2.7
"     Of which: Emergency program, incl. COVID-19            0.8     0.7        0.9         0.8     0.8           0.8     4.1     0.9     0.9      1.0     1.2     1.3"
               Energy subsidies                             0.1     0.2        0.3         0.3     0.3           0.3     0.4     0.4     0.4      0.4     0.4     0.4
               Arrears repayments                           0.2     0.2        0.0         0.0     0.0           0.0     0.0     0.0     0.0      0.0     0.0     0.0
   Interest                                                 0.9     1.0        1.3         1.4     1.1           1.2     1.4     1.3     1.3      1.3     1.3     1.3
     External                                               0.7     0.8        1.2         0.9     0.9           0.8     0.9     0.9     0.8      0.8     0.8     0.7
     Domestic                                               0.2     0.2        0.2         0.4     0.2           0.3     0.4     0.4     0.5      0.5     0.5     0.5
   Special accounts                                         0.5     0.7        0.5         0.1     0.6           0.3     0.3     0.3     0.3      0.2     0.2     0.2
   Common reserves                                          0.6     0.5        0.5         0.5     0.6           0.8     0.6     0.5     0.5      0.5     0.5     0.5
   Others                                                   0.0     0.3        0.3         0.0     0.1           0.0     0.0     0.0     0.0      0.0     0.0     0.0
 Capital                                                    9.7     8.7        8.0         7.3     8.3           7.9     7.7     8.5     8.6      9.3     9.6     9.9
   Foreign-financed                                         2.2     1.7        1.2         1.6     1.9           1.6     1.7     1.7     1.9      2.4     2.5     2.5
   Domestically financed                                    7.5     7.0        6.7         5.7     6.4           6.3     6.0     6.8     6.7      6.8     7.1     7.4
 Net lending                                                0.0     0.1        0.1         0.3    -0.2           0.0     0.0     0.0     0.0      0.0     0.0     0.0
""
