V1
                                                                                                                                                                MONGOLIA
""
""
""
"                        Table 2b. Mongolia: Summary Operations of the General Government, 2016–23"
                                                                            (In percent of GDP)
""
                                                        2016                   2017                       2018                    2019      2020     2021        2022      2023
                                                                     EFF       2nd.         Proj.   EFF 2nd Rev.         Proj.                  Projections
                                                        Prelim
                                                                             Rev.Proj.                    Proj.
""
""
Total revenue and grants                                   23.5     24.7          25.9      29.2    26.3       25.9      27.0      27.3      27.3       27.2      27.2      27.1
Current revenue 1/                                         23.2     24.1          25.6      29.0    25.9       25.5      26.6      26.9      26.9       26.9      26.8      26.8
    Tax revenue and social security contributions          20.4     21.2          22.7      25.7    22.9       22.7      23.9      24.3      24.3       24.2      24.1      24.1
       Income taxes                                         4.4      4.3           4.9       5.9     4.7        4.6       4.9       5.4       5.7        5.8       5.7       5.7
         CIT                                                2.2      2.0           2.7       3.5     2.0        2.3       2.8       3.3       3.6        3.6       3.6       3.6
         PIT                                                2.2      2.3           2.2       2.4     2.7        2.4       2.1       2.1       2.1        2.2       2.1       2.2
       Social security contributions                        4.3      4.6           4.6       4.8     5.1        4.7       4.8       4.8       4.7        4.8       4.7       4.7
       VAT                                                  4.8      4.9           5.3       6.0     5.2        5.0       5.5       5.4       5.4        5.3       5.3       5.4
       Excise taxes                                         2.6      1.9           1.9       1.9     2.4        2.3       2.1       2.3       2.3        2.2       2.2       2.2
       Customs duties and export taxes                      1.4      1.6           1.8       1.9     1.7        1.8       1.9       1.8       1.6        1.6       1.5       1.6
       Other taxes                                          2.9      3.9           4.4       5.2     3.9        4.4       4.7       4.6       4.6        4.6       4.6       4.6
   Non-tax revenue                                          2.8      2.9           2.9       3.2     3.0        2.8       2.7       2.7       2.7        2.6       2.7       2.6
Capital revenue and grants                                  0.3      0.6           0.3       0.2     0.4        0.4       0.4       0.4       0.4        0.4       0.4       0.4
""
Total expenditure and net lending                          40.5     35.3          33.6      31.1    34.8       32.3      32.3      31.5      29.3       28.2      28.0      27.8
  Current expenditure                                      27.5     27.6          25.5      25.6    27.4       24.5      24.3      23.4      22.2       21.3      21.3      21.2
     Wages and salaries                                     7.3      6.8           6.4       6.5     6.5        5.9       6.0       5.8       5.8        5.8       5.8       5.8
     Purchase of goods and services                         5.8      5.5           4.8       4.9     5.4        4.8       4.7       4.7       4.7        4.7       4.7       4.7
     Subsidies                                              1.0      0.9           0.7       1.0     0.9        0.8       0.8       0.8       0.7        0.7       0.7       0.7
     Transfers                                              9.5      9.3           9.3       9.1     9.1        9.3       9.0       8.8       8.0        7.6       7.7       7.7
     Interest payments 2/                                   3.9      5.1           4.2       4.0     5.5        3.8       3.7       3.3       2.9        2.5       2.3       2.2
  Capital expenditure and net lending 3/                   13.1      7.7           8.1       5.5     7.5        7.8       8.0       8.1       7.2        6.8       6.7       6.7
    Capital expenditure                                     9.9      6.2           6.6       6.1     5.9        6.5       6.5       6.9       6.0        5.7       5.6       5.6
       Domestically-financed                                7.0      3.6           4.2       4.0     2.9        3.9       3.9       4.1       3.9        3.6       3.6       4.1
        o/w DBM noncommercial spending                      1.0      0.7           0.0       0.0     0.0        0.0       0.0       0.0       0.0        0.0       0.0       0.0
       Foreign-financed                                     2.9      2.5           2.4       2.0     2.9        2.7       2.6       2.8       2.0        2.0       2.0       1.5
     Net lending                                            3.2      1.5           1.5      -0.5     1.6        1.2       1.5       1.2       1.2        1.1       1.1       1.1
        o/w DBM commercial spending 4/                      1.0      0.6           0.3      -1.7     0.6        0.5       0.8       0.5       0.5        0.5       0.5       0.5
        o/w Mortgage program net lending                    0.0      0.4           0.4       0.0     0.4        0.4       0.4       0.4       0.4        0.4       0.4       0.3
""
Overall balance (Authorities' definition)                 -15.3      -8.9            …      -5.2    -7.7         …         …         …         …          …         …         …
Structural overall balance (Authorities' definition)      -15.3      -8.9            …      -6.4    -7.7         …         …         …         …          …         …         …
DBM spending                                                2.0       1.2           0.3     -1.7     0.6        0.5       0.8       0.5       0.5        0.5       0.5       0.5
Overall balance (IMF definition)                          -17.0     -10.6          -7.6     -1.9    -8.5       -6.4      -5.3      -4.2      -2.0       -0.9      -0.8      -0.7
Primary balance (IMF definition)                          -13.0      -5.5          -3.4      2.1    -3.1       -2.6      -1.5      -1.0       0.8        1.5       1.5       1.5
""
Financing                                                  17.0     10.6            7.6      0.6     8.5        6.4       5.3       4.2       2.0        0.9       0.8       0.7
 External                                                   5.1      7.8          10.2       6.3     9.2        5.1       3.8       6.1       1.6       -0.3      -1.1      -2.1
  Disbursement                                              5.6     10.2          12.4       6.9    11.8       11.5       9.5      10.8       6.6        7.3       8.2       6.6
  Amortization                                             -0.6     -2.4          -2.2      -0.6    -2.6       -6.4      -5.7      -4.7      -5.0       -7.6      -9.3      -8.7
 Domestic (net)                                            11.9      2.8          -2.5      -5.7    -0.7        1.3       1.5      -1.9       0.4        1.2       1.9       2.8
  Government bonds                                         10.3      4.1          -0.8      -4.8    -1.0        0.9       1.1      -1.9       0.4        1.2       1.9       2.8
  Privatization                                             0.0      0.4           0.4       0.0     0.3        0.3       0.3       0.0       0.0        0.0       0.0       0.0
  Other                                                     1.7     -1.7          -2.1      -0.9     0.0        0.0       0.0       0.0       0.0        0.0       0.0       0.0
""
Memorandum items:
 Mineral revenue (in percent of GDP)                        2.5…      3.7           4.5       5.1    3.7         4.3       3.9       4.2       4.5        4.6       4.6       4.4
 Non-mineral revenue (in percent of GDP)                  21.1…      20.9         21.4      24.0    22.6       21.6      23.1      23.1      22.8       22.7      22.5      22.7
